"Date","LFEACNTTCAM647N"
1976-01-01,560600
1976-02-01,575300
1976-03-01,569800
1976-04-01,623300
1976-05-01,697900
1976-06-01,750300
1976-07-01,779700
1976-08-01,780100
1976-09-01,734600
1976-10-01,730300
1976-11-01,712400
1976-12-01,664400
1977-01-01,591800
1977-02-01,599900
1977-03-01,600400
1977-04-01,626100
1977-05-01,713900
1977-06-01,756700
1977-07-01,778800
1977-08-01,774700
1977-09-01,730700
1977-10-01,730700
1977-11-01,707600
1977-12-01,648800
1978-01-01,592300
1978-02-01,590600
1978-03-01,598600
1978-04-01,616900
1978-05-01,705100
1978-06-01,748000
1978-07-01,774600
1978-08-01,776400
1978-09-01,728700
1978-10-01,734300
1978-11-01,704000
1978-12-01,651700
1979-01-01,593800
1979-02-01,575200
1979-03-01,598300
1979-04-01,623400
1979-05-01,708300
1979-06-01,739800
1979-07-01,787000
1979-08-01,798300
1979-09-01,754300
1979-10-01,760200
1979-11-01,727500
1979-12-01,666100
1980-01-01,613000
1980-02-01,601700
1980-03-01,591900
1980-04-01,621700
1980-05-01,685300
1980-06-01,719100
1980-07-01,742300
1980-08-01,762800
1980-09-01,725400
1980-10-01,708600
1980-11-01,680800
1980-12-01,638500
1981-01-01,603700
1981-02-01,616000
1981-03-01,625600
1981-04-01,657200
1981-05-01,713300
1981-06-01,768000
1981-07-01,805800
1981-08-01,806900
1981-09-01,754300
1981-10-01,747500
1981-11-01,716200
1981-12-01,673000
1982-01-01,610800
1982-02-01,584400
1982-03-01,593400
1982-04-01,603300
1982-05-01,656600
1982-06-01,701900
1982-07-01,721300
1982-08-01,708800
1982-09-01,666400
1982-10-01,649100
1982-11-01,636800
1982-12-01,592900
1983-01-01,535300
1983-02-01,533700
1983-03-01,544400
1983-04-01,575000
1983-05-01,651900
1983-06-01,682400
1983-07-01,714900
1983-08-01,716300
1983-09-01,685400
1983-10-01,665300
1983-11-01,635800
1983-12-01,575700
1984-01-01,509600
1984-02-01,518800
1984-03-01,510700
1984-04-01,550900
1984-05-01,612900
1984-06-01,657100
1984-07-01,691400
1984-08-01,693200
1984-09-01,669100
1984-10-01,666900
1984-11-01,623200
1984-12-01,585800
1985-01-01,545400
1985-02-01,545900
1985-03-01,553600
1985-04-01,586900
1985-05-01,657300
1985-06-01,694700
1985-07-01,722100
1985-08-01,734500
1985-09-01,697400
1985-10-01,691800
1985-11-01,661200
1985-12-01,629900
1986-01-01,582600
1986-02-01,576400
1986-03-01,584200
1986-04-01,623600
1986-05-01,671700
1986-06-01,709100
1986-07-01,732900
1986-08-01,738600
1986-09-01,708400
1986-10-01,710000
1986-11-01,691800
1986-12-01,645200
1987-01-01,602700
1987-02-01,605400
1987-03-01,619100
1987-04-01,649500
1987-05-01,725900
1987-06-01,782700
1987-07-01,811600
1987-08-01,827100
1987-09-01,794000
1987-10-01,797200
1987-11-01,765700
1987-12-01,738100
1988-01-01,668900
1988-02-01,674300
1988-03-01,672300
1988-04-01,691700
1988-05-01,773200
1988-06-01,813200
1988-07-01,844000
1988-08-01,862800
1988-09-01,836900
1988-10-01,815500
1988-11-01,794300
1988-12-01,750600
1989-01-01,704600
1989-02-01,696900
1989-03-01,707100
1989-04-01,726300
1989-05-01,823900
1989-06-01,855700
1989-07-01,896700
1989-08-01,911400
1989-09-01,871600
1989-10-01,870700
1989-11-01,832700
1989-12-01,776500
1990-01-01,733700
1990-02-01,730500
1990-03-01,731800
1990-04-01,758900
1990-05-01,839700
1990-06-01,872500
1990-07-01,916300
1990-08-01,913400
1990-09-01,882200
1990-10-01,870200
1990-11-01,799300
1990-12-01,741100
1991-01-01,662700
