"Date","LFEAINTTCAM647S"
1986-05-01,2224704.76397942
1986-06-01,2241259.72141804
1986-07-01,2225244.51171107
1986-08-01,2204729.76648848
1986-09-01,2214997.37295008
1986-10-01,2223111.88708202
1986-11-01,2221199.08700532
1986-12-01,2236577.60796777
1987-01-01,2299382.99911171
1987-02-01,2297477.69447005
1987-03-01,2312158.04608788
1987-04-01,2325438.45965798
1987-05-01,2354597.11070417
1987-06-01,2352244.97509495
1987-07-01,2347813.58950174
1987-08-01,2344255.69512006
1987-09-01,2341132.70049873
1987-10-01,2359182.50755265
1987-11-01,2370771.18465414
1987-12-01,2378483.73036219
1988-01-01,2386639.67189845
1988-02-01,2400878.92627023
1988-03-01,2393631.96360046
1988-04-01,2416095.8410839
1988-05-01,2427541.20764201
1988-06-01,2418783.3499276
1988-07-01,2426501.66900298
1988-08-01,2418756.22713049
1988-09-01,2414375.25575845
1988-10-01,2430237.62361796
1988-11-01,2433440.55040236
1988-12-01,2445208.07540122
1989-01-01,2469991.36878397
1989-02-01,2468535.90726928
1989-03-01,2455876.53418884
1989-04-01,2471456.63247605
1989-05-01,2463453.19802056
1989-06-01,2473389.18831847
1989-07-01,2471160.45786247
1989-08-01,2469314.16481682
1989-09-01,2442750.56836849
1989-10-01,2444846.7338896
1989-11-01,2447213.28293142
1989-12-01,2442148.0373441
1990-01-01,2424927.3336011
1990-02-01,2435972.87125047
1990-03-01,2422013.79194617
1990-04-01,2423129.44289354
1990-05-01,2398846.22546893
1990-06-01,2411225.42790754
1990-07-01,2391185.07220554
1990-08-01,2396841.77918217
1990-09-01,2358274.23770951
1990-10-01,2337271.00594597
1990-11-01,2302926.5065473
1990-12-01,2288657.28874408
1991-01-01,2282961.9502813
1991-02-01,2234239.20234906
1991-03-01,2216256.59858062
1991-04-01,2219380.48658339
1991-05-01,2230243.60867637
1991-06-01,2232786.75110384
1991-07-01,2210099.43528104
1991-08-01,2205447.54379978
1991-09-01,2227643.64859017
1991-10-01,2208986.37681324
1991-11-01,2181130.21711603
1991-12-01,2182845.64950773
1992-01-01,2173487.5815857
1992-02-01,2158666.40891208
1992-03-01,2137033.19861809
1992-04-01,2155301.26679202
1992-05-01,2145693.21375796
1992-06-01,2141576.42583734
1992-07-01,2141346.12879756
1992-08-01,2122176.92301184
1992-09-01,2121578.51087295
1992-10-01,2103806.50990711
1992-11-01,2088933.3773702
1992-12-01,2088316.23980485
1993-01-01,2080596.50739265
1993-02-01,2089722.25391993
1993-03-01,2093789.63804066
1993-04-01,2088973.26940841
1993-05-01,2064554.37273993
1993-06-01,2080036.29741354
1993-07-01,2080699.40194809
1993-08-01,2062563.03598168
1993-09-01,2076923.42563591
1993-10-01,2078881.53644192
1993-11-01,2091247.31772217
1993-12-01,2078585.87220956
1994-01-01,2056050.94797843
1994-02-01,2061924.83479434
1994-03-01,2089916.84844222
1994-04-01,2100724.36849267
1994-05-01,2100361.51557163
1994-06-01,2118355.48901498
1994-07-01,2127324.82589875
1994-08-01,2118790.49978586
1994-09-01,2136305.29276189
1994-10-01,2149425.80519637
1994-11-01,2164410.90679488
1994-12-01,2172256.84540908
1995-01-01,2184387.33187693
1995-02-01,2190087.0588885
1995-03-01,2192209.90787543
1995-04-01,2197163.03531428
1995-05-01,2215572.92112532
1995-06-01,2206926.87654475
1995-07-01,2196247.28868804
1995-08-01,2193407.35127297
1995-09-01,2211030.24228642
1995-10-01,2206756.00741786
1995-11-01,2211622.55018111
1995-12-01,2203469.84610361
1996-01-01,2203634.9889068
1996-02-01,2203751.49323887
1996-03-01,2197878.00175089
1996-04-01,2213094.25089043
1996-05-01,2215291.89524629
1996-06-01,2206633.63444126
1996-07-01,2225462.13369838
1996-08-01,2250195.61060833
1996-09-01,2264681.04903632
1996-10-01,2241768.31168942
1996-11-01,2255070.16461089
1996-12-01,2259574.16679336
1997-01-01,2275502.51338906
1997-02-01,2280329.71490275
1997-03-01,2295851.44288368
1997-04-01,2292973.55637275
1997-05-01,2307459.31994002
1997-06-01,2320997.45715147
1997-07-01,2318915.42444305
1997-08-01,2332789.92909684
1997-09-01,2349834.38437758
1997-10-01,2351760.71460409
1997-11-01,2362983.15481714
1997-12-01,2383339.64601943
1998-01-01,2372145.34066054
1998-02-01,2389337.23133575
1998-03-01,2383808.22857215
1998-04-01,2391831.2122401
1998-05-01,2388026.59794868
1998-06-01,2403839.66608039
1998-07-01,2400943.69169882
1998-08-01,2409602.30070821
1998-09-01,2396740.52546484
1998-10-01,2408674.24030654
1998-11-01,2422255.2605623
1998-12-01,2412776.0547343
1999-01-01,2426776.98040104
1999-02-01,2425111.25041022
1999-03-01,2431925.13965571
1999-04-01,2429035.8584382
1999-05-01,2434845.81708065
1999-06-01,2449720.9237241
1999-07-01,2465902.58452644
1999-08-01,2458720.98842577
1999-09-01,2477445.91033287
1999-10-01,2502722.98923059
1999-11-01,2483483.44613674
1999-12-01,2502622.17612016
2000-01-01,2510151.59440751
2000-02-01,2497311.41998423
2000-03-01,2501477.40803104
2000-04-01,2520007.94955917
2000-05-01,2527584.1988154
2000-06-01,2510922.21965696
2000-07-01,2493817.73152063
2000-08-01,2501958.8285219
2000-09-01,2512346.31384765
2000-10-01,2537015.32302912
2000-11-01,2539406.63710279
2000-12-01,2557895.15462947
2001-01-01,2551132.32770266
2001-02-01,2527840.57386308
2001-03-01,2538563.09280393
2001-04-01,2532640.44961003
2001-05-01,2528149.43481648
2001-06-01,2516043.91623701
2001-07-01,2519366.5531962
2001-08-01,2528873.68456036
2001-09-01,2521894.37800614
2001-10-01,2517324.17816119
2001-11-01,2486219.68717116
2001-12-01,2488762.79963267
2002-01-01,2509434.70085281
2002-02-01,2540615.55760573
2002-03-01,2568895.83010122
2002-04-01,2563520.66140141
2002-05-01,2576214.46053838
2002-06-01,2594182.89434047
2002-07-01,2604792.17344063
2002-08-01,2633441.89642548
2002-09-01,2624652.97783532
2002-10-01,2608368.75717791
2002-11-01,2635233.47671467
2002-12-01,2615492.16079399
2003-01-01,2604477.70383291
2003-02-01,2617725.63601551
2003-03-01,2591365.09228977
2003-04-01,2587475.59176866
2003-05-01,2587356.23611274
2003-06-01,2577500.62449487
2003-07-01,2589774.78600765
2003-08-01,2581347.25360157
2003-09-01,2560790.80774312
2003-10-01,2568859.2999368
2003-11-01,2585540.43160072
2003-12-01,2572308.93562256
2004-01-01,2587607.82319532
2004-02-01,2602989.91150093
2004-03-01,2620673.98261978
2004-04-01,2632022.21167309
2004-05-01,2629733.79731084
2004-06-01,2623235.02661857
2004-07-01,2634497.03779429
2004-08-01,2628213.32418673
2004-09-01,2622643.21835901
2004-10-01,2622417.81988902
2004-11-01,2600810.4150563
2004-12-01,2586410.05990991
2005-01-01,2605396.35153972
2005-02-01,2574176.28213128
2005-03-01,2575100.55136088
2005-04-01,2552916.19775088
2005-05-01,2540537.74320603
2005-06-01,2556219.7051236
2005-07-01,2539978.87645824
2005-08-01,2537865.77002414
2005-09-01,2517319.26680288
2005-10-01,2499518.903025
2005-11-01,2495775.27901572
2005-12-01,2488480.31199326
2006-01-01,2439633.63418702
2006-02-01,2469292.67900073
2006-03-01,2475533.76876801
2006-04-01,2487186.77553076
2006-05-01,2478043.54131329
2006-06-01,2460729.59229529
2006-07-01,2447585.14112825
2006-08-01,2441012.98147923
2006-09-01,2438933.08351141
2006-10-01,2442024.04079678
2006-11-01,2444356.05177982
2006-12-01,2446440.82950862
2007-01-01,2443451.9439351
2007-02-01,2427963.60353714
2007-03-01,2408073.20553428
2007-04-01,2387171.88981703
2007-05-01,2399967.09209413
2007-06-01,2399591.01770614
2007-07-01,2408389.38233625
2007-08-01,2418158.77129661
2007-09-01,2386269.26361943
2007-10-01,2380536.00456839
2007-11-01,2360582.12335363
2007-12-01,2346609.83216371
2008-01-01,2355631.79541153
2008-02-01,2337181.51146131
2008-03-01,2337627.71964023
2008-04-01,2331684.30597107
2008-05-01,2359034.58736574
2008-06-01,2363394.56856098
2008-07-01,2328557.51850407
2008-08-01,2351178.09591421
2008-09-01,2335074.41971395
2008-10-01,2319119.77891663
2008-11-01,2294664.09656681
2008-12-01,2297847.87818501
2009-01-01,2214992.34920667
2009-02-01,2185756.61078725
2009-03-01,2184745.17032745
2009-04-01,2165587.93648678
2009-05-01,2145399.18216372
2009-06-01,2127566.18248855
2009-07-01,2121637.17115299
2009-08-01,2129391.97076516
2009-09-01,2155334.0674611
2009-10-01,2155350.93138723
2009-11-01,2157026.16316481
2009-12-01,2142888.95941647
2010-01-01,2136177.39725419
2010-02-01,2147867.88747559
2010-03-01,2123291.57973386
2010-04-01,2119551.86467145
2010-05-01,2111320.13843812
2010-06-01,2124766.3686405
2010-07-01,2131386.85882968
2010-08-01,2117550.18364535
2010-09-01,2134290.23690058
2010-10-01,2123640.03486006
2010-11-01,2135689.68699126
2010-12-01,2150209.79985633
2011-01-01,2155692.35635447
2011-02-01,2162698.54677347
2011-03-01,2167352.52530579
2011-04-01,2170997.53641947
2011-05-01,2180482.07481561
2011-06-01,2157787.05191858
2011-07-01,2145024.76536573
2011-08-01,2131759.75620148
2011-09-01,2145796.48267131
2011-10-01,2134222.46971471
2011-11-01,2155997.53641922
2011-12-01,2176075.35416271
2012-01-01,2180712.67289068
2012-02-01,2187241.15221349
2012-03-01,2213561.96334429
2012-04-01,2218252.4429193
2012-05-01,2213834.07923148
2012-06-01,2218520.34671421
2012-07-01,2223776.54464278
2012-08-01,2224000.47870039
2012-09-01,2215743.85745829
2012-10-01,2215696.11036211
2012-11-01,2205374.97236521
2012-12-01,2197725.05684425
2013-01-01,2185394.14881752
2013-02-01,2183790.67170814
2013-03-01,2167177.96946092
2013-04-01,2165987.6795676
2013-05-01,2162482.48624784
2013-06-01,2151092.13708524
2013-07-01,2161818.48539072
2013-08-01,2155402.8681962
2013-09-01,2149466.82594766
2013-10-01,2164914.680949
2013-11-01,2177607.20618762
2013-12-01,2169335.02503242
2014-01-01,2156175.67614891
2014-02-01,2163609.7758768
2014-03-01,2159012.94693528
2014-04-01,2160823.83008705
2014-05-01,2138849.48175929
2014-06-01,2153781.13468008
2014-07-01,2163508.39495544
2014-08-01,2162979.43479813
2014-09-01,2169792.66024654
2014-10-01,2181014.56314237
2014-11-01,2177377.20315045
2014-12-01,2164858.31778408
2015-01-01,2151709.63544283
2015-02-01,2129118.5642711
2015-03-01,2133117.52933389
2015-04-01,2146071.53092048
2015-05-01,2161970.36513471
2015-06-01,2163939.54627147
2015-07-01,2162193.46250943
2015-08-01,2162952.23817499
2015-09-01,2163155.83854994
2015-10-01,2161159.00441425
2015-11-01,2177682.5838519
2015-12-01,2175844.69637513
2016-01-01,2168635.93163054
2016-02-01,2160762.85579792
2016-03-01,2143409.86388811
2016-04-01,2129244.22936893
2016-05-01,2116322.88397045
2016-06-01,2098729.64219306
2016-07-01,2102555.84747983
2016-08-01,2118589.54556886
2016-09-01,2129610.96853613
2016-10-01,2113615.82649826
2016-11-01,2103449.1284675
2016-12-01,2108832.45485839
2017-01-01,2120704.89837755
2017-02-01,2119170.69723564
2017-03-01,2123692.95964356
2017-04-01,2134008.11621412
2017-05-01,2153582.75360404
2017-06-01,2150340.06155631
2017-07-01,2169506.45025453
2017-08-01,2160192.78824905
2017-09-01,2156285.42450584
2017-10-01,2165666.90907779
2017-11-01,2176178.04482838
2017-12-01,2185365.30521177
2018-01-01,2194547.10713494
2018-02-01,2181145.35057123
2018-03-01,2196375.56258837
2018-04-01,2198678.81261304
2018-05-01,2195686.65792963
2018-06-01,2199840.76080007
2018-07-01,2179689.96427921
2018-08-01,2171780.99634131
2018-09-01,2164423.34432315
2018-10-01,2182990.24205066
2018-11-01,2184560.34148323
2018-12-01,2195301.8932467
2019-01-01,2178655.92152622
2019-02-01,2165604.28361766
2019-03-01,2163991.39160112
2019-04-01,2175804.37437405
2019-05-01,2188760.01616103
2019-06-01,2170359.31339177
2019-07-01,2157725.77987546
2019-08-01,2160468.04567953
2019-09-01,2148392.37565283
2019-10-01,2126543.65167919
2019-11-01,2100150.55365496
2019-12-01,2103249.15981004
2020-01-01,2130591.51197849
2020-02-01,2135684.08173296
2020-03-01,2100087.78592624
2020-04-01,1813779.79349352
2020-05-01,1887770.86340866
2020-06-01,1954066.34021822
2020-07-01,1992143.06904839
2020-08-01,2024145.77617463
2020-09-01,2088776.85843124
2020-10-01,2116037.99253735
2020-11-01,2113977.45344158
2020-12-01,2130788.06317559
2021-01-01,2133616.06871189
2021-02-01,2146419.73549252
2021-03-01,2159604.13362925
2021-04-01,2148995.61525823
2021-05-01,2132993.97930142
2021-06-01,2132086.50703436
2021-07-01,2117225.71646088
2021-08-01,2121046.56656842
2021-09-01,2143270.57519451
2021-10-01,2150642.88807836
2021-11-01,2163432.90731817
2021-12-01,2184453.27744129
2022-01-01,2187091.32756064
2022-02-01,2203459.89748114
2022-03-01,2211470.09423857
2022-04-01,2213684.55498273
2022-05-01,2189767.78752173
2022-06-01,2189000.36066601
2022-07-01,2199890.73572263
2022-08-01,2201988.50635472
2022-09-01,2185391.65347188
2022-10-01,2205959.27846419
2022-11-01,2206798.69994143
2022-12-01,2200693.32506468
2023-01-01,2221221.48594854
2023-02-01,2236299.31856235
2023-03-01,2233956.58357837
2023-04-01,2232372.15652391
2023-05-01,2253128.58217295
2023-06-01,2258946.98404373
2023-07-01,2269706.36569074
2023-08-01,2241432.21226433
2023-09-01,2236240.69049672
2023-10-01,2216535.70229595
2023-11-01,2251323.53882696
