"Date","LFEAINTTCAM647S"
1976-01-01,2112293.68305659
1976-02-01,2103975.26070434
1976-03-01,2130760.23747178
1976-04-01,2118707.82784055
1976-05-01,2119891.78319745
1976-06-01,2131591.3871092
1976-07-01,2152791.79799471
1976-08-01,2142901.76911993
1976-09-01,2149015.88193493
1976-10-01,2131382.47610576
1976-11-01,2140827.09769196
1976-12-01,2126129.78898972
1977-01-01,2141034.91107245
1977-02-01,2125971.91090529
1977-03-01,2101268.71566338
1977-04-01,2096670.39828845
1977-05-01,2088602.20114911
1977-06-01,2076208.93584329
1977-07-01,2031997.30523504
1977-08-01,2060537.60391497
1977-09-01,2101519.07963513
1977-10-01,2082969.98909362
1977-11-01,2110059.5323308
1977-12-01,2112852.01399886
1978-01-01,2107055.70170045
1978-02-01,2118169.67793435
1978-03-01,2130198.67490917
1978-04-01,2150527.61393983
1978-05-01,2172953.71545662
1978-06-01,2187490.00326905
1978-07-01,2190242.50130795
1978-08-01,2212439.23472859
1978-09-01,2197250.97916444
1978-10-01,2219119.55863195
1978-11-01,2252460.76173209
1978-12-01,2271289.08686445
1979-01-01,2278090.37525236
1979-02-01,2277365.15141665
1979-03-01,2277420.95985851
1979-04-01,2289791.63829622
1979-05-01,2258398.05648004
1979-06-01,2268407.86590235
1979-07-01,2317779.66595373
1979-08-01,2337331.94511602
1979-09-01,2329109.92987603
1979-10-01,2352808.65183227
1979-11-01,2350192.63315489
1979-12-01,2358867.29322427
1980-01-01,2355835.60724476
1980-02-01,2362823.57288783
1980-03-01,2381763.46349858
1980-04-01,2375185.41880264
1980-05-01,2363011.78799025
1980-06-01,2413155.58624214
1980-07-01,2386381.67961626
1980-08-01,2372923.76988063
1980-09-01,2392404.7093313
1980-10-01,2406355.41509177
1980-11-01,2380255.7641958
1980-12-01,2374589.29585181
1981-01-01,2373992.2163011
1981-02-01,2393493.80682166
1981-03-01,2398245.23116519
1981-04-01,2398398.44911769
1981-05-01,2432366.16164544
1981-06-01,2415759.42496706
1981-07-01,2444058.95534992
1981-08-01,2448841.72829707
1981-09-01,2430980.87515655
1981-10-01,2401690.9582736
1981-11-01,2394813.13878888
1981-12-01,2313622.2135273
1982-01-01,2293962.29524038
1982-02-01,2287675.14087259
1982-03-01,2267381.68912607
1982-04-01,2230638.77339486
1982-05-01,2206561.82379754
1982-06-01,2170522.31889994
1982-07-01,2154322.30612123
1982-08-01,2142731.86497043
1982-09-01,2115866.74758693
1982-10-01,2090404.49514859
1982-11-01,2056027.97639327
1982-12-01,2044401.65564149
1983-01-01,2055735.94848421
1983-02-01,2044395.14317577
1983-03-01,2062861.24783626
1983-04-01,2050280.42453785
1983-05-01,2075985.91524282
1983-06-01,2078368.78226336
1983-07-01,2101524.65255419
1983-08-01,2121271.04546604
1983-09-01,2152993.50277824
1983-10-01,2146134.2833728
1983-11-01,2158049.7428747
1983-12-01,2152467.67143159
1984-01-01,2138066.33066839
1984-02-01,2166821.88483611
1984-03-01,2171840.91705909
1984-04-01,2187245.72113751
1984-05-01,2207703.62412609
1984-06-01,2222926.07175551
1984-07-01,2237129.04700949
1984-08-01,2232998.68425907
1984-09-01,2227293.82253226
1984-10-01,2251114.35516571
1984-11-01,2233978.5669487
1984-12-01,2228146.18940373
1985-01-01,2168025.20054067
1985-02-01,2170664.28013766
1985-03-01,2188850.93219047
1985-04-01,2181669.37863457
1985-05-01,2216309.70573944
1985-06-01,2183797.67319268
1985-07-01,2217281.45811464
1985-08-01,2216925.39014956
1985-09-01,2192422.57395644
1985-10-01,2229734.64176626
1985-11-01,2261112.30075773
1985-12-01,2258165.2794859
1986-01-01,2277567.84337576
1986-02-01,2299297.77446424
1986-03-01,2287598.18431373
1986-04-01,2266768.60117849
