"Date","LFIN25FECAM647S"
1995-01-01,1560478.66678953
1995-02-01,1556538.38472252
1995-03-01,1545484.39166075
1995-04-01,1593372.61717498
1995-05-01,1590877.39477638
1995-06-01,1595052.26973182
1995-07-01,1592105.67690008
1995-08-01,1593958.5677689
1995-09-01,1596320.09369763
1995-10-01,1604963.48588272
1995-11-01,1620704.78957685
1995-12-01,1609120.50932537
1996-01-01,1600234.12926252
1996-02-01,1594457.64048833
1996-03-01,1596044.85754679
1996-04-01,1615818.45677083
1996-05-01,1617632.50517004
1996-06-01,1597254.66860171
1996-07-01,1580093.98849352
1996-08-01,1591864.30048772
1996-09-01,1564141.27800541
1996-10-01,1572803.40211706
1996-11-01,1583874.21095084
1996-12-01,1571771.91544264
1997-01-01,1566569.34335086
1997-02-01,1580499.25145468
1997-03-01,1578164.69058838
1997-04-01,1557011.55403524
1997-05-01,1550529.83544064
1997-06-01,1547748.5754108
1997-07-01,1546666.16259408
1997-08-01,1543293.72675404
1997-09-01,1539930.19085981
1997-10-01,1518928.98637577
1997-11-01,1522027.61734789
1997-12-01,1541031.29248668
1998-01-01,1522360.06553275
1998-02-01,1518207.97586375
1998-03-01,1522395.3912867
1998-04-01,1514727.27151768
1998-05-01,1515073.48040678
1998-06-01,1524362.93657778
1998-07-01,1518347.05280219
1998-08-01,1522745.78593076
1998-09-01,1509456.95032861
1998-10-01,1520778.53215442
1998-11-01,1509567.06335483
1998-12-01,1493883.52187322
1999-01-01,1491500.07644344
1999-02-01,1489370.08846755
1999-03-01,1500244.40484811
1999-04-01,1477121.53258867
1999-05-01,1472306.55737254
1999-06-01,1475230.54562986
1999-07-01,1464364.79344177
1999-08-01,1454602.57326384
1999-09-01,1485790.76523896
1999-10-01,1485455.35529154
1999-11-01,1491973.37752424
1999-12-01,1502523.53270274
2000-01-01,1507078.09935617
2000-02-01,1483684.89434694
2000-03-01,1473414.81514169
2000-04-01,1475487.09170162
2000-05-01,1480241.37341846
2000-06-01,1472303.43135349
2000-07-01,1478797.20797733
2000-08-01,1480485.44660453
2000-09-01,1477186.26201474
2000-10-01,1461169.63102016
2000-11-01,1458122.04972707
2000-12-01,1455247.02475645
2001-01-01,1455695.63934414
2001-02-01,1457343.9410293
2001-03-01,1451216.79778675
2001-04-01,1434494.79197765
2001-05-01,1421578.22343654
2001-06-01,1443171.95522206
2001-07-01,1447531.68795112
2001-08-01,1439171.18369447
2001-09-01,1457487.24681464
2001-10-01,1457100.41063051
2001-11-01,1448920.22776684
2001-12-01,1444454.57499879
2002-01-01,1417959.00060306
2002-02-01,1415741.53993547
2002-03-01,1395212.54043839
2002-04-01,1377068.1744451
2002-05-01,1371818.12424909
2002-06-01,1354502.49216324
2002-07-01,1347538.86451093
2002-08-01,1354731.90378905
2002-09-01,1316800.12580651
2002-10-01,1340466.90822544
2002-11-01,1340235.55818705
2002-12-01,1327928.52125072
2003-01-01,1348975.03768151
2003-02-01,1345748.06850303
2003-03-01,1344789.34874836
2003-04-01,1341148.78930146
2003-05-01,1323002.95052558
2003-06-01,1320289.25645903
2003-07-01,1308581.78662012
2003-08-01,1301363.5308133
2003-09-01,1289496.34377109
2003-10-01,1280826.07304678
2003-11-01,1287765.02195136
2003-12-01,1276824.6013556
2004-01-01,1300198.93348252
2004-02-01,1286646.08910912
2004-03-01,1285580.59077371
2004-04-01,1279893.91736885
2004-05-01,1278884.20271767
2004-06-01,1265031.04061714
2004-07-01,1298565.58085514
2004-08-01,1298465.84999481
2004-09-01,1313911.72207585
2004-10-01,1317513.94127313
2004-11-01,1292631.98970909
2004-12-01,1295618.38378079
2005-01-01,1300770.65637204
2005-02-01,1293007.63291469
2005-03-01,1311245.54465093
2005-04-01,1328137.15007902
2005-05-01,1342223.82794658
2005-06-01,1325349.4799693
2005-07-01,1348974.5856924
2005-08-01,1337180.29194078
2005-09-01,1341220.1165008
2005-10-01,1328727.26289049
2005-11-01,1345140.19184577
2005-12-01,1339028.05005286
2006-01-01,1311705.85432921
2006-02-01,1343743.32800797
2006-03-01,1347034.48537795
2006-04-01,1306715.64025377
2006-05-01,1319561.90679388
2006-06-01,1313966.8866632
2006-07-01,1323352.02272462
2006-08-01,1353820.36045636
2006-09-01,1343480.96841559
2006-10-01,1320744.71366266
2006-11-01,1323219.27525668
2006-12-01,1295904.3408235
2007-01-01,1279491.50852052
2007-02-01,1287787.5650059
2007-03-01,1269680.21201953
2007-04-01,1294223.14161413
2007-05-01,1289934.3378467
2007-06-01,1287274.59380779
2007-07-01,1275891.77026696
2007-08-01,1282346.11181898
2007-09-01,1274550.44262992
2007-10-01,1282305.27464141
2007-11-01,1281741.31809574
2007-12-01,1294496.50280537
2008-01-01,1312795.33410535
2008-02-01,1296860.12254253
2008-03-01,1322428.32174439
2008-04-01,1330687.4200245
2008-05-01,1297278.49042935
2008-06-01,1317581.89469632
2008-07-01,1303818.54977012
2008-08-01,1289585.42614265
2008-09-01,1299753.09334042
2008-10-01,1285325.38223932
2008-11-01,1292203.91134551
2008-12-01,1261844.65692445
2009-01-01,1292560.02616043
2009-02-01,1281526.98087173
2009-03-01,1270982.32957761
2009-04-01,1279581.2018114
