"Date","CANCP040000GYM"
2015-12-01,0.720886799999998
2016-01-01,0.739098434620191
2016-02-01,0.903202888957894
2016-03-01,0.839343638640948
2016-04-01,1.12992691512754
2016-05-01,1.22466293059143
2016-06-01,1.43427696909586
2016-07-01,1.49984157587461
2016-08-01,1.62794598709328
2016-09-01,1.65574993234107
2016-10-01,1.96277398696519
2016-11-01,2.01498632668451
2016-12-01,2.06423242095601
2017-01-01,2.35352894616117
2017-02-01,2.0760605791887
2017-03-01,2.09290322889086
2017-04-01,2.21972062847663
2017-05-01,1.71140428465531
2017-06-01,1.48999029770457
2017-07-01,1.10409380861085
2017-08-01,1.13298231518995
2017-09-01,1.14304231695032
2017-10-01,1.08420490995774
2017-11-01,1.13722216342073
2017-12-01,1.26459143968871
2018-01-01,1.25968992248061
2018-02-01,1.65048543689322
2018-03-01,1.55189136760429
2018-04-01,1.54888673765733
2018-05-01,1.84466019417477
2018-06-01,1.93986420950534
2018-07-01,2.33009708737864
2018-08-01,2.22868217054263
2018-09-01,1.64728682170544
2018-10-01,2.31436837029892
2018-11-01,2.3099133782483
2018-12-01,2.1133525456292
2019-01-01,2.29665071770337
2019-02-01,2.29226361031517
2019-03-01,2.57879656160458
2019-04-01,2.57387988560533
2019-05-01,2.66920877025737
2019-06-01,2.28353948620362
2019-07-01,2.18216318785578
2019-08-01,2.36966824644551
2019-09-01,2.66920877025737
2019-10-01,2.54476908576816
2019-11-01,2.44590780809033
2019-12-01,2.72812793979305
2020-01-01,2.24508886810101
2020-02-01,2.14752567693745
2020-03-01,1.67597765363129
2020-04-01,1.11524163568773
2020-05-01,0.649953574744672
2020-06-01,1.39534883720931
2020-07-01,1.20024295564996
2020-08-01,1.20370370370369
2020-09-01,1.76415970287836
2020-10-01,1.47058823529412
2020-11-01,1.65289256198345
2020-12-01,1.37362637362636
2021-01-01,1.00640439158281
2021-02-01,1.18829981718463
2021-03-01,2.1062271062271
2021-04-01,2.94117647058824
2021-05-01,4.05904059040589
2021-06-01,3.94495412844036
2021-07-01,4.31894979435378
2021-08-01,4.20860018298262
2021-09-01,4.19708029197083
2021-10-01,4.16666666666667
2021-11-01,4.24570912375792
2021-12-01,4.6070460704607
2022-01-01,5.34420289855072
2022-02-01,5.6910569105691
2022-03-01,5.73991031390135
2022-04-01,6.33928571428571
2022-05-01,6.47163120567378
2022-06-01,6.44307149161518
2022-07-01,6.68425681618294
2022-08-01,6.49692712906058
2022-09-01,6.83012259194394
2022-10-01,7.04347826086954
2022-11-01,7.53899480069322
2022-12-01,7.426597582038
2023-01-01,7.22269991401548
2023-02-01,6.75213675213677
2023-03-01,6.36132315521628
2023-04-01,5.96137699412258
2023-05-01,5.57868442964196
2023-06-01,5.4726368159204
2023-07-01,5.68837592745257
2023-08-01,6.51277823577904
2023-09-01,6.47540983606559
2023-10-01,6.58001624695369
