"Date","M0501AUSM391NNBR"
1873-12-01,9.62
1874-01-01,10.53
1874-02-01,11.66
1874-03-01,11.3
1874-04-01,10.99
1874-05-01,9.71
1874-06-01,7.12
1874-07-01,6.44
1874-08-01,8.39
1874-09-01,9.12
1874-10-01,10.25
1874-11-01,9.77
1874-12-01,12
1875-01-01,12.13
1875-02-01,12.18
1875-03-01,11.29
1875-04-01,10.85
1875-05-01,11
1875-06-01,8.97
1875-07-01,9.38
1875-08-01,6.1
1875-09-01,8.95
1875-10-01,12.32
1875-11-01,15.76
1875-12-01,17.38
1876-01-01,16.99
1876-02-01,17.03
1876-03-01,15.65
1876-04-01,11.54
1876-05-01,10.09
1876-06-01,9.89
1876-07-01,9.18
1876-08-01,7.25
1876-09-01,8.91
1876-10-01,10.97
1876-11-01,9.88
1876-12-01,12.46
1877-01-01,11.89
1877-02-01,10.78
1877-03-01,9.35
1877-04-01,6.79
1877-05-01,4.37
1877-06-01,2.92
1877-07-01,1.98
1877-08-01,4.35
1877-09-01,8.49
1877-10-01,9.51
1877-11-01,11.56
1877-12-01,10.19
1878-01-01,9.92
1878-02-01,8.64
1878-03-01,7.75
1878-04-01,7.92
1878-05-01,6.98
1878-06-01,4.94
1878-07-01,6.09
1878-08-01,11
1878-09-01,12.48
1878-10-01,16.29
1878-11-01,16.2
1878-12-01,18.28
1879-01-01,20.44
1879-02-01,21.1
1879-03-01,19.31
1879-04-01,15.97
1879-05-01,15.29
1879-06-01,13.44
1879-07-01,14.35
1879-08-01,15.75
1879-09-01,17.18
1879-10-01,28.82
1879-11-01,28.22
1879-12-01,29.62
1880-01-01,30.09
1880-02-01,28.03
1880-03-01,24.38
1880-04-01,22.18
1880-05-01,20.39
1880-06-01,12.26
1880-07-01,14.27
1880-08-01,14.41
1880-09-01,14.36
1880-10-01,19.12
1880-11-01,24.62
1880-12-01,28.51
1881-01-01,28.01
1881-02-01,25.75
1881-03-01,21.75
1881-04-01,18.53
1881-05-01,14.91
1881-06-01,15.97
1881-07-01,16.77
1881-08-01,19.51
1881-09-01,19.49
1881-10-01,21.25
1881-11-01,18.88
1881-12-01,17.76
1882-01-01,17.75
1882-02-01,17.05
1882-03-01,12.1
1882-04-01,10.58
1882-05-01,9.55
1882-06-01,10.11
1882-07-01,13.57
1882-08-01,12.05
1882-09-01,13.15
1882-10-01,16.08
1882-11-01,19.99
1882-12-01,21.05
1883-01-01,22.29
1883-02-01,23.33
1883-03-01,22.86
1883-04-01,20.78
1883-05-01,20.28
1883-06-01,20.24
1883-07-01,17.7
1883-08-01,21.4
1883-09-01,26.96
1883-10-01,31.13
1883-11-01,33.23
1883-12-01,35.51
1884-01-01,32.79
1884-02-01,31.01
1884-03-01,28.58
1884-04-01,21.2
1884-05-01,16.78
1884-06-01,14.22
1884-07-01,15.08
1884-08-01,18.16
1884-09-01,24.17
1884-10-01,34.3
1884-11-01,39.24
1884-12-01,43.37
1885-01-01,42.65
1885-02-01,43.44
1885-03-01,43.66
1885-04-01,39.46
1885-05-01,36.73
1885-06-01,37.95
1885-07-01,38.41
1885-08-01,41.67
1885-09-01,43.63
1885-10-01,46.76
1885-11-01,55.68
1885-12-01,58.64
