"Date","LFACTTMACAM657S"
1960-01-01,0.117772510507797
1960-02-01,0.288439385958339
1960-03-01,-0.0427070571281021
1960-04-01,0.364404888106547
1960-05-01,0.0575850821022404
1960-06-01,-0.269254668498904
1960-07-01,0.191033357347058
1960-08-01,0.153576533711203
1960-09-01,0.20252111191887
1960-10-01,0.221856751865574
1960-11-01,0.16728253007433
1960-12-01,-0.225884446534815
1961-01-01,0.409479608916344
1961-02-01,-0.239049160614961
1961-03-01,-0.0205106086925637
1961-04-01,0.124152765146995
1961-05-01,0.0589214480898608
1961-06-01,-0.647423896253063
1961-07-01,0.318843128382484
1961-08-01,0.00215736991739702
1961-09-01,0.179122392133503
1961-10-01,0.00358819764408067
1961-11-01,-0.0358373823703093
1961-12-01,0.136516233356769
1962-01-01,-0.0388162016402656
1962-02-01,0.754517196067353
1962-03-01,-0.162307242304762
1962-04-01,-0.0623749502025043
1962-05-01,0.169307628188124
1962-06-01,0.190446557429638
1962-07-01,-0.176300831557125
1962-08-01,0.105716765748321
1962-09-01,-0.128954297307068
1962-10-01,-0.29939565719892
1962-11-01,0.411037461791158
1962-12-01,0.339310500337973
1963-01-01,0.0680106350643538
1963-02-01,0.21281662093912
1963-03-01,0.166753421158324
1963-04-01,0.162199615742686
1963-05-01,-0.234937657236859
1963-06-01,0.29514242637839
1963-07-01,0.155728639016055
1963-08-01,0.0264846392240832
1963-09-01,0.15730905721656
1963-10-01,0.305263303359696
1963-11-01,0.102270927173878
1963-12-01,-0.0340329305176476
1964-01-01,0.229798009288938
1964-02-01,0.109214835724919
1964-03-01,0.0734333675086978
1964-04-01,0.144363344015787
1964-05-01,0.300218174899455
1964-06-01,0.0914624755797272
1964-07-01,0.474663210099013
1964-08-01,0.177425381750831
1964-09-01,0.0111028923546084
1964-10-01,-0.0212666512952875
1964-11-01,0.173771239354955
1964-12-01,-0.332067758015262
1965-01-01,1.08818509132412
1965-02-01,0.119213192926684
1965-03-01,0.218297281206589
1965-04-01,-0.217821782178218
1965-05-01,0.119071244294503
1965-06-01,0.138751238850347
1965-07-01,0.277117973079968
1965-08-01,0.19739439399921
1965-09-01,-0.295508274231678
1965-10-01,-0.158071527366133
1965-11-01,0.910350286958243
1965-12-01,0.745244165522652
1966-01-01,-0.564531827915126
1966-02-01,0.880971025841817
1966-03-01,-0.310498738598874
1966-04-01,0.116799688534164
1966-05-01,-0.563873225743729
1966-06-01,-0.743058271411811
1966-07-01,1.2214342001576
1966-08-01,0.17516543402102
1966-09-01,0.272003108606956
1966-10-01,0.213136988955629
1966-11-01,0.328692962103635
1966-12-01,0.59741761418385
1967-01-01,0.383141762452107
1967-02-01,-0.190839694656489
1967-03-01,0.478011472275335
1967-04-01,-0.323501427212179
1967-05-01,0.343642611683849
1967-06-01,-0.780060882800609
1967-07-01,1.1888782358581
1967-08-01,0.246352093992799
1967-09-01,-0.189035916824197
1967-10-01,-0.189393939393939
1967-11-01,0.303605313092979
1967-12-01,0.264850548618994
1968-01-01,-0.433962264150943
1968-02-01,0.303202577221906
1968-03-01,-0.151143019081806
1968-04-01,0.813623462630085
1968-05-01,-0.15015015015015
1968-06-01,0.93984962406015
1968-07-01,-0.074487895716946
1968-08-01,0.130450987700335
1968-09-01,0.0558347292015634
1968-10-01,0.37202380952381
1968-11-01,0.352112676056338
1968-12-01,0.110803324099723
1969-01-01,0.627190555248109
1969-02-01,-0.0183318056828598
1969-03-01,0.22002200220022
1969-04-01,0.182949140139041
1969-05-01,0.0913075237399562
1969-06-01,-0.328407224958949
1969-07-01,-0.183049606443346
1969-08-01,0.0366770584999083
1969-09-01,-0.183318056828598
1969-10-01,0.275482093663912
1969-11-01,0.421245421245421
1969-12-01,0.437716578515411
1970-01-01,-0.254221899400763
1970-02-01,0.418714727835427
1970-03-01,-0.0725163161711385
1970-04-01,0.145137880986938
1970-05-01,0.688405797101449
1970-06-01,0.413817920115149
1970-07-01,0.215015230245476
1970-08-01,0.268192383336313
1970-09-01,0.303138373751783
1970-10-01,0.142222222222222
1970-11-01,0.177525297354873
1970-12-01,-0.301258195995038
1971-01-01,-0.0710984713828653
1971-02-01,-0.0711490572749911
1971-03-01,-0.355998576005696
1971-04-01,0.0178635226866738
1971-05-01,0.785854616895874
1971-06-01,0.372142477405635
1971-07-01,0.423728813559322
1971-08-01,0.0527426160337553
1971-09-01,0.228430855737129
1971-10-01,0.17531556802244
1971-11-01,0.105005250262513
1971-12-01,0.104895104895105
1972-01-01,0.122249388753056
1972-02-01,0.156985871271586
1972-03-01,0.679205851619645
1972-04-01,-0.121086317246151
1972-05-01,0.173190162798753
1972-06-01,0.259336099585062
1972-07-01,0.517330574236937
1972-08-01,-0.171556013038257
1972-09-01,-0.103110500085925
1972-10-01,0.275245140202993
1972-11-01,0.0514668039114771
1972-12-01,0.291495198902606
1973-01-01,0.410326551547273
1973-02-01,0.25540609569215
1973-03-01,0.628396739130435
1973-04-01,0.675105485232068
1973-05-01,-0.234702430846605
1973-06-01,0.638548143169215
1973-07-01,-0.45082651527801
1973-08-01,0.18450184501845
1973-09-01,-0.0502260170768458
1973-10-01,1.00502512562814
1973-11-01,0.149253731343284
1973-12-01,0.529889054479218
1974-01-01,0.428265524625268
1974-02-01,0.475643759225849
1974-03-01,-0.19588638589618
1974-04-01,0.637880274779195
1974-05-01,-0.390053632374452
1974-06-01,-0.424212759014521
1974-07-01,0.655415369490414
1974-08-01,0.862770633241087
1974-09-01,0.0484183344092963
1974-10-01,0.0161316341345378
1974-11-01,0.548387096774194
1974-12-01,0.240615976900866
