"Date","LFHUTTFECAM647N"
1960-01-01,67000
1960-02-01,65000
1960-03-01,61000
1960-04-01,59000
1960-05-01,52000
1960-06-01,54000
1960-07-01,53000
1960-08-01,57000
1960-09-01,59000
1960-10-01,62000
1960-11-01,66000
1960-12-01,63000
1961-01-01,87000
1961-02-01,78000
1961-03-01,75000
1961-04-01,72000
1961-05-01,60000
1961-06-01,60000
1961-07-01,63000
1961-08-01,56000
1961-09-01,58000
1961-10-01,56000
1961-11-01,58000
1961-12-01,58000
1962-01-01,69000
1962-02-01,72000
1962-03-01,60000
1962-04-01,58000
1962-05-01,52000
1962-06-01,59000
1962-07-01,62000
1962-08-01,52000
1962-09-01,52000
1962-10-01,56000
1962-11-01,65000
1962-12-01,57000
1963-01-01,74000
1963-02-01,73000
1963-03-01,65000
1963-04-01,60000
1963-05-01,55000
1963-06-01,66000
1963-07-01,63000
1963-08-01,60000
1963-09-01,59000
1963-10-01,59000
1963-11-01,59000
1963-12-01,52000
1964-01-01,71000
1964-02-01,65000
1964-03-01,61000
1964-04-01,58000
1964-05-01,59000
1964-06-01,71000
1964-07-01,62000
1964-08-01,61000
1964-09-01,56000
1964-10-01,60000
1964-11-01,56000
1964-12-01,60000
1965-01-01,70000
1965-02-01,60000
1965-03-01,63000
1965-04-01,60000
1965-05-01,53000
1965-06-01,65000
1965-07-01,62000
1965-08-01,49000
1965-09-01,46000
1965-10-01,45000
1965-11-01,52000
1965-12-01,50000
1966-01-01,81000
1966-02-01,79000
1966-03-01,74000
1966-04-01,69000
1966-05-01,77000
1966-06-01,82000
1966-07-01,85000
1966-08-01,91000
1966-09-01,82000
1966-10-01,82000
1966-11-01,83000
1966-12-01,70000
1967-01-01,93000
1967-02-01,98000
1967-03-01,89000
1967-04-01,92000
1967-05-01,91000
1967-06-01,106000
1967-07-01,102000
1967-08-01,90000
1967-09-01,87000
1967-10-01,88000
1967-11-01,88000
1967-12-01,90000
1968-01-01,109000
1968-02-01,106000
1968-03-01,1e+05
1968-04-01,105000
1968-05-01,110000
1968-06-01,138000
1968-07-01,137000
1968-08-01,128000
1968-09-01,107000
1968-10-01,112000
1968-11-01,107000
1968-12-01,103000
1969-01-01,138000
1969-02-01,125000
1969-03-01,112000
1969-04-01,120000
1969-05-01,132000
1969-06-01,140000
1969-07-01,132000
1969-08-01,133000
1969-09-01,117000
1969-10-01,133000
1969-11-01,128000
1969-12-01,114000
1970-01-01,143000
1970-02-01,145000
1970-03-01,133000
1970-04-01,141000
1970-05-01,161000
1970-06-01,190000
1970-07-01,204000
1970-08-01,179000
1970-09-01,155000
1970-10-01,171000
1970-11-01,180000
1970-12-01,169000
1971-01-01,213000
1971-02-01,207000
1971-03-01,180000
1971-04-01,201000
1971-05-01,190000
1971-06-01,206000
1971-07-01,205000
1971-08-01,189000
1971-09-01,181000
1971-10-01,215000
1971-11-01,202000
1971-12-01,174000
1972-01-01,239000
1972-02-01,213000
1972-03-01,212000
1972-04-01,190000
1972-05-01,210000
1972-06-01,227000
1972-07-01,223000
1972-08-01,216000
1972-09-01,208000
1972-10-01,222000
1972-11-01,228000
1972-12-01,204000
1973-01-01,264000
1973-02-01,238000
1973-03-01,210000
1973-04-01,212000
1973-05-01,216000
1973-06-01,228000
1973-07-01,221000
1973-08-01,217000
1973-09-01,215000
1973-10-01,233000
1973-11-01,205000
1973-12-01,184000
1974-01-01,241000
1974-02-01,218000
1974-03-01,210000
1974-04-01,204000
1974-05-01,213000
1974-06-01,219000
1974-07-01,232000
1974-08-01,235000
1974-09-01,226000
1974-10-01,213000
1974-11-01,222000
1974-12-01,218000
1975-01-01,294000
1975-02-01,291000
1975-03-01,284000
1975-04-01,276000
1975-05-01,294000
1975-06-01,307000
1975-07-01,324000
1975-08-01,326000
1975-09-01,288000
1975-10-01,305000
1975-11-01,317000
1975-12-01,281000
1976-01-01,320400
1976-02-01,319500
1976-03-01,304800
1976-04-01,309200
1976-05-01,307300
1976-06-01,314100
1976-07-01,353900
1976-08-01,355500
1976-09-01,345100
1976-10-01,316000
1976-11-01,324600
1976-12-01,310800
1977-01-01,357400
1977-02-01,371500
1977-03-01,369200
1977-04-01,370800
1977-05-01,352900
1977-06-01,366500
1977-07-01,393400
1977-08-01,407400
1977-09-01,393300
1977-10-01,386900
1977-11-01,386300
1977-12-01,362800
1978-01-01,396500
1978-02-01,404400
1978-03-01,423500
1978-04-01,394500
1978-05-01,413800
1978-06-01,420500
1978-07-01,434700
1978-08-01,444100
1978-09-01,428000
1978-10-01,392100
1978-11-01,404400
1978-12-01,388200
1979-01-01,420200
1979-02-01,412400
1979-03-01,417300
1979-04-01,402700
1979-05-01,382500
1979-06-01,402700
1979-07-01,399800
1979-08-01,407500
1979-09-01,383900
1979-10-01,388700
1979-11-01,368200
1979-12-01,343400
1980-01-01,403800
1980-02-01,400300
1980-03-01,412600
1980-04-01,396400
1980-05-01,403200
1980-06-01,417700
1980-07-01,407100
1980-08-01,419900
