"Date","LFEM64MACAM647S"
1976-01-01,5961900
1976-02-01,5976200
1976-03-01,5998100
1976-04-01,6026600
1976-05-01,6004400
1976-06-01,5995500
1976-07-01,6000700
1976-08-01,6004900
1976-09-01,6032100
1976-10-01,6001600
1976-11-01,6033200
1976-12-01,6053200
1977-01-01,6063700
1977-02-01,6055500
1977-03-01,6048000
1977-04-01,6066600
1977-05-01,6062200
1977-06-01,6049300
1977-07-01,6050200
1977-08-01,6069400
1977-09-01,6075000
1977-10-01,6089400
1977-11-01,6099200
1977-12-01,6104900
1978-01-01,6109900
1978-02-01,6133500
1978-03-01,6147800
1978-04-01,6151900
1978-05-01,6166000
1978-06-01,6197700
1978-07-01,6217600
1978-08-01,6226500
1978-09-01,6231200
1978-10-01,6259000
1978-11-01,6264600
1978-12-01,6281400
1979-01-01,6321000
1979-02-01,6300100
1979-03-01,6334400
1979-04-01,6349200
1979-05-01,6393800
1979-06-01,6408800
1979-07-01,6435900
1979-08-01,6449300
1979-09-01,6461400
1979-10-01,6462100
1979-11-01,6475300
1979-12-01,6478900
1980-01-01,6487200
1980-02-01,6489700
1980-03-01,6478400
1980-04-01,6481800
1980-05-01,6461100
1980-06-01,6490700
1980-07-01,6482300
1980-08-01,6512200
1980-09-01,6535500
1980-10-01,6547100
1980-11-01,6585300
1980-12-01,6597800
1981-01-01,6626000
1981-02-01,6647600
1981-03-01,6645700
1981-04-01,6669100
1981-05-01,6656500
1981-06-01,6659300
1981-07-01,6657700
1981-08-01,6666400
1981-09-01,6610800
1981-10-01,6589900
1981-11-01,6586800
1981-12-01,6542100
1982-01-01,6505000
1982-02-01,6478500
1982-03-01,6459600
1982-04-01,6407500
1982-05-01,6377600
1982-06-01,6308100
1982-07-01,6261100
1982-08-01,6212000
1982-09-01,6209800
1982-10-01,6194200
1982-11-01,6173900
1982-12-01,6176900
1983-01-01,6190200
1983-02-01,6199000
1983-03-01,6226200
1983-04-01,6240900
1983-05-01,6250900
1983-06-01,6283600
1983-07-01,6314500
1983-08-01,6349700
1983-09-01,6396100
1983-10-01,6376300
1983-11-01,6376000
1983-12-01,6382900
1984-01-01,6369600
1984-02-01,6388300
1984-03-01,6377200
1984-04-01,6376500
1984-05-01,6394600
1984-06-01,6455900
1984-07-01,6476700
1984-08-01,6462400
1984-09-01,6475700
1984-10-01,6487700
1984-11-01,6464600
1984-12-01,6491100
1985-01-01,6507300
1985-02-01,6513800
1985-03-01,6524600
1985-04-01,6551600
1985-05-01,6582800
1985-06-01,6580700
1985-07-01,6605200
1985-08-01,6614600
1985-09-01,6607500
1985-10-01,6601600
1985-11-01,6654700
1985-12-01,6676300
1986-01-01,6710500
1986-02-01,6706800
1986-03-01,6718300
1986-04-01,6773200
1986-05-01,6751400
1986-06-01,6752800
1986-07-01,6747500
1986-08-01,6748000
1986-09-01,6755400
1986-10-01,6767800
1986-11-01,6792400
1986-12-01,6795000
1987-01-01,6791000
1987-02-01,6810600
1987-03-01,6835900
1987-04-01,6862300
1987-05-01,6891200
1987-06-01,6896100
1987-07-01,6898900
1987-08-01,6914300
1987-09-01,6939200
1987-10-01,6970800
1987-11-01,6992700
1987-12-01,7025700
1988-01-01,7032600
1988-02-01,7047700
1988-03-01,7051500
1988-04-01,7050300
1988-05-01,7050600
1988-06-01,7047600
1988-07-01,7056600
1988-08-01,7073600
1988-09-01,7046700
1988-10-01,7053600
1988-11-01,7073300
1988-12-01,7099000
1989-01-01,7135000
1989-02-01,7147500
1989-03-01,7162900
1989-04-01,7156100
1989-05-01,7159500
1989-06-01,7171900
1989-07-01,7171600
1989-08-01,7207300
1989-09-01,7193400
1989-10-01,7186500
1989-11-01,7185600
1989-12-01,7171100
1990-01-01,7176800
1990-02-01,7188800
1990-03-01,7182900
1990-04-01,7190800
1990-05-01,7151500
1990-06-01,7167900
1990-07-01,7162000
1990-08-01,7153300
