"Date","M0124B45M601NNBR"
1937-01-01,352
1937-02-01,319
1937-03-01,394
1937-04-01,422
1937-05-01,396
1937-06-01,417
1937-07-01,404
1937-08-01,430
1937-09-01,407
1937-10-01,451
1937-11-01,487
1937-12-01,496
1938-01-01,244
1938-02-01,239
1938-03-01,265
1938-04-01,286
1938-05-01,280
1938-06-01,295
1938-07-01,302
1938-08-01,291
1938-09-01,332
1938-10-01,355
1938-11-01,377
1938-12-01,331
1939-01-01,289
1939-02-01,262
1939-03-01,304
1939-04-01,308
1939-05-01,384
1939-06-01,337
1939-07-01,317
1939-08-01,349
1939-09-01,376
1939-10-01,385
1939-11-01,394
1939-12-01,362
1940-01-01,353
1940-02-01,314
1940-03-01,348
1940-04-01,382
1940-05-01,464
1940-06-01,462
1940-07-01,466
1940-08-01,436
1940-09-01,392
1940-10-01,404
1940-11-01,398
1940-12-01,398
1941-01-01,358
1941-02-01,341
1941-03-01,376
1941-04-01,408
1941-05-01,404
1941-06-01,395
1941-07-01,419
1941-08-01,409
1941-09-01,409
1941-10-01,431
1941-11-01,435
1941-12-01,439
1942-01-01,396
1942-02-01,356
1942-03-01,413
1942-04-01,346
1942-05-01,360
1942-06-01,357
1942-07-01,342
1942-08-01,361
1942-09-01,406
1942-10-01,408
1942-11-01,359
1942-12-01,336
1943-01-01,297
1943-02-01,299
1943-03-01,333
1943-04-01,335
1943-05-01,338
1943-06-01,372
1943-07-01,381
1943-08-01,353
1943-09-01,334
1943-10-01,335
1943-11-01,357
1943-12-01,341
1944-01-01,284
1944-02-01,297
1944-03-01,315
1944-04-01,337
1944-05-01,351
1944-06-01,360
1944-07-01,340
1944-08-01,348
1944-09-01,345
1944-10-01,359
1944-11-01,337
1944-12-01,323
1945-01-01,313
1945-02-01,300
1945-03-01,355
1945-04-01,340
1945-05-01,354
1945-06-01,355
1945-07-01,373
1945-08-01,395
1945-09-01,358
1945-10-01,391
1945-11-01,388
1945-12-01,357
1946-01-01,412
1946-02-01,364
1946-03-01,412
1946-04-01,447
1946-05-01,463
1946-06-01,416
1946-07-01,451
1946-08-01,461
1946-09-01,423
1946-10-01,477
1946-11-01,489
1946-12-01,443
1947-01-01,437
1947-02-01,407
1947-03-01,466
1947-04-01,481
1947-05-01,501
1947-06-01,491
1947-07-01,482
1947-08-01,488
1947-09-01,482
1947-10-01,501
1947-11-01,489
1947-12-01,481
1948-01-01,441
1948-02-01,409
1948-03-01,469
1948-04-01,478
1948-05-01,514
1948-06-01,495
1948-07-01,478
1948-08-01,494
1948-09-01,501
1948-10-01,493
1948-11-01,514
1948-12-01,516
1949-01-01,485
1949-02-01,455
1949-03-01,497
1949-04-01,503
1949-05-01,539
1949-06-01,526
1949-07-01,489
1949-08-01,512
1949-09-01,507
1949-10-01,508
1949-11-01,533
1949-12-01,507
1950-01-01,479
1950-02-01,448
1950-03-01,506
1950-04-01,511
1950-05-01,566
1950-06-01,531
1950-07-01,549
1950-08-01,511
1950-09-01,571
1950-10-01,558
1950-11-01,563
1950-12-01,537
1951-01-01,517
1951-02-01,486
1951-03-01,566
1951-04-01,534
1951-05-01,580
1951-06-01,572
1951-07-01,534
1951-08-01,581
1951-09-01,520
1951-10-01,595
1951-11-01,590
1951-12-01,553
1952-01-01,540
1952-02-01,538
1952-03-01,552
1952-04-01,562
1952-05-01,596
1952-06-01,592
1952-07-01,578
1952-08-01,588
1952-09-01,553
1952-10-01,584
1952-11-01,589
1952-12-01,546
1953-01-01,562
1953-02-01,492
1953-03-01,536
1953-04-01,588
1953-05-01,559
1953-06-01,576
1953-07-01,585
1953-08-01,591
1953-09-01,568
1953-10-01,603
1953-11-01,582
1953-12-01,579
1954-01-01,548
1954-02-01,524
1954-03-01,582
1954-04-01,592
1954-05-01,596
1954-06-01,620
1954-07-01,578
1954-08-01,617
1954-09-01,581
1954-10-01,649
1954-11-01,651
1954-12-01,618
1955-01-01,580
1955-02-01,575
1955-03-01,637
1955-04-01,662
1955-05-01,656
1955-06-01,677
1955-07-01,624
