"Date","LFACTTFECAM647S"
1960-01-01,1607538.5381051
1960-02-01,1631329.39455495
1960-03-01,1637554.63704174
1960-04-01,1604349.39059279
1960-05-01,1649429.17438981
1960-06-01,1636898.80270075
1960-07-01,1637271.96441549
1960-08-01,1673133.52746627
1960-09-01,1683021.30636936
1960-10-01,1703166.89656145
1960-11-01,1698253.02726093
1960-12-01,1715988.49869699
1961-01-01,1731151.99816448
1961-02-01,1730594.8534632
1961-03-01,1707996.0955568
1961-04-01,1749982.2308052
1961-05-01,1760856.6829537
1961-06-01,1739195.23314843
1961-07-01,1740251.97033032
1961-08-01,1721303.29654506
1961-09-01,1734501.9553269
1961-10-01,1734815.84968418
1961-11-01,1749097.18953676
1961-12-01,1769242.06814306
1962-01-01,1761001.30465437
1962-02-01,1761382.66013026
1962-03-01,1784073.25371024
1962-04-01,1788200.08948643
1962-05-01,1787281.74796415
1962-06-01,1819442.62130037
1962-07-01,1811971.26824799
1962-08-01,1816254.30051454
1962-09-01,1809399.30114602
1962-10-01,1795017.86299416
1962-11-01,1820014.64429798
1962-12-01,1801062.8458127
1963-01-01,1804902.55002699
1963-02-01,1817916.7720574
1963-03-01,1805340.58410038
1963-04-01,1809656.51397925
1963-05-01,1823543.89434912
1963-06-01,1852956.05211939
1963-07-01,1890588.88312711
1963-08-01,1899892.28316425
1963-09-01,1915266.40041494
1963-10-01,1937178.96060801
1963-11-01,1927875.41787682
1963-12-01,1940856.82743133
1964-01-01,1941993.66798294
1964-02-01,1954660.27692584
1964-03-01,1968988.81711904
1964-04-01,1961243.1220921
1964-05-01,1974848.7866669
1964-06-01,1962979.90230648
1964-07-01,1969220.61279905
1964-08-01,1964835.42144109
1964-09-01,1978267.40546187
1964-10-01,1985201.22006914
1964-11-01,2001891.03414721
1964-12-01,1999905.94269571
1965-01-01,2027000
1965-02-01,2030000
1965-03-01,2046000
1965-04-01,2065000
1965-05-01,2073000
1965-06-01,2083000
1965-07-01,2084000
1965-08-01,2095000
1965-09-01,2063000
1965-10-01,2096000
1965-11-01,2104000
1965-12-01,2142000
1966-01-01,2274000
1966-02-01,2267000
1966-03-01,2293000
