"Date","CANPRCNTO01GYSAM"
1962-01-01,0.393939393939382
1962-02-01,1.39385275196569
1962-03-01,2.15629301116377
1962-04-01,3.22679464923924
1962-05-01,2.41894501473728
1962-06-01,4.90567946189248
1962-07-01,3.72396486825594
1962-08-01,3.33116915547123
1962-09-01,3.18174996247935
1962-10-01,3.40112025029014
1962-11-01,2.21953797372792
1962-12-01,0.180786420931059
1963-01-01,-1.19730355166516
1963-02-01,-0.755325041542862
1963-03-01,-0.958083832335334
1963-04-01,-1.300821050549
1963-05-01,0.16373920809763
1963-06-01,-2.14530202960035
1963-07-01,-1.56771664973145
1963-08-01,-1.49347510874821
1963-09-01,0.252121212121224
1963-10-01,2.00087843443462
1963-11-01,2.83604135893648
1963-12-01,4.20071181512858
1964-01-01,7.63238289205702
1964-02-01,9.80262824090514
1964-03-01,7.00826279725918
1964-04-01,5.93335003758454
1964-05-01,4.07192747807996
1964-06-01,3.05448812690904
1964-07-01,2.94450179422898
1964-08-01,3.08130121191304
1964-09-01,2.0892779416743
1964-10-01,3.19123486914504
1964-11-01,5.59705065594179
1964-12-01,10.3381921393178
1965-01-01,10.0193954302474
1965-02-01,5.38330021718034
1965-03-01,7.99943500164789
1965-04-01,7.99943232887083
1965-05-01,8.27264505688042
1965-06-01,9.05440290658764
1965-07-01,9.60271225288893
1965-08-01,10.2241896330144
1965-09-01,10.0288976266048
1965-10-01,8.70734421364984
1965-11-01,7.03695307186579
1965-12-01,4.67823508894315
1966-01-01,3.48282237605884
1966-02-01,5.34508462685259
1966-03-01,5.96390269421922
1966-04-01,5.02409110819099
1966-05-01,4.34782608695649
1966-06-01,2.93705067508326
1966-07-01,1.8733934561931
1966-08-01,0.367059636395056
1966-09-01,-0.908464651683453
1966-10-01,-0.801842531775146
1966-11-01,-0.804846020248226
1966-12-01,-1.48694239660129
1967-01-01,-0.46952258278973
1967-02-01,-2.28511966701353
1967-03-01,-4.71488521352754
1967-04-01,-3.69937857113068
1967-05-01,-0.95214020896527
1967-06-01,1.75027680776767
1967-07-01,2.54886028311166
1967-08-01,3.47216246450391
1967-09-01,4.85770149902237
1967-10-01,3.66325565396854
1967-11-01,3.31383183157535
1967-12-01,2.45645188567564
1968-01-01,1.42773649494866
1968-02-01,4.78360879195775
1968-03-01,9.38255613126081
1968-04-01,11.4205283672585
1968-05-01,10.6890684814972
1968-06-01,8.46272966977774
1968-07-01,9.11631010467491
1968-08-01,7.63025489625348
1968-09-01,5.8509095429495
1968-10-01,5.74865201161345
1968-11-01,4.16236101351629
1968-12-01,-1.38653901704289
1969-01-01,0.991932828449137
1969-02-01,1.1219968291394
1969-03-01,-0.410531717522602
1969-04-01,-2.70921599875617
1969-05-01,-5.71033316681397
1969-06-01,-9.29577464788731
1969-07-01,-7.71259315879991
1969-08-01,-5.64827692783184
1969-09-01,-4.16519866901547
1969-10-01,-3.59664261060559
1969-11-01,-2.19047619047618
1969-12-01,3.73268611122738
1970-01-01,0.965888250397351
1970-02-01,1.15376884422108
1970-03-01,-1.01470529945699
1970-04-01,-1.38234119057131
1970-05-01,1.36936055752537
1970-06-01,4.57755466689357
1970-07-01,2.12862881517374
1970-08-01,1.11784456637456
1970-09-01,2.54483068502103
1970-10-01,1.82676268359168
1970-11-01,2.75073028237586
1970-12-01,0.988341603130414
1971-01-01,-3.58843949301686
1971-02-01,-4.17295922422699
1971-03-01,-3.0472910743603
1971-04-01,0.927726462485828
1971-05-01,-0.0201021187633145
1971-06-01,2.47335448702303
1971-07-01,3.03312923239122
1971-08-01,3.71735169062565
1971-09-01,1.08349267049076
1971-10-01,1.15071120345212
1971-11-01,-0.687040985548457
1971-12-01,-0.447391547495411
1972-01-01,4.13230060707555
1972-02-01,2.38470471134706
1972-03-01,1.78836940360153
1972-04-01,3.32757997832456
1972-05-01,0.872607366897222
1972-06-01,-1.19888844779674
1972-07-01,-1.58605218623324
1972-08-01,-1.83110139382348
1972-09-01,-2.218631778058
1972-10-01,-3.66961605308895
1972-11-01,-2.30200381679389
1972-12-01,-1.87785891982986
1973-01-01,0.68752010292699
1973-02-01,0.745331551018741
1973-03-01,1.70825725299249
1973-04-01,-1.5033796907777
1973-05-01,1.83376519832568
1973-06-01,1.69559627129538
1973-07-01,2.22746540830201
1973-08-01,1.25676105631562
1973-09-01,3.54249788417363
1973-10-01,6.6592856849961
1973-11-01,6.16123387457779
1973-12-01,7.19309724380468
1974-01-01,6.84023479615062
1974-02-01,7.16497125165858
1974-03-01,6.48687465092156
1974-04-01,3.98343521987772
1974-05-01,0.857310628303008
1974-06-01,0.268668510470183
1974-07-01,1.16183546532099
1974-08-01,2.12490180675573
1974-09-01,2.22248170636776
1974-10-01,2.44127484525777
1974-11-01,2.42266262889561
1974-12-01,2.70857971235648
1975-01-01,2.86664673344297
1975-02-01,4.17213822083816
1975-03-01,0.49827663719467
1975-04-01,5.84866300018965
1975-05-01,10.3477720850799
1975-06-01,11.6478839940106
1975-07-01,12.9118329466357
1975-08-01,15.7609322718357
1975-09-01,16.4528043254769
1975-10-01,17.7024694137957
1975-11-01,18.2454433174894
1975-12-01,19.9754856442447
1976-01-01,16.7641608836246
1976-02-01,17.100666306501
1976-03-01,23.5824790307549
1976-04-01,21.0233991471673
1976-05-01,18.9588462891312
1976-06-01,20.999505893979
1976-07-01,13.8874618993801
1976-08-01,9.04348981693743
1976-09-01,3.98247449646872
1976-10-01,2.48381851225963
1976-11-01,3.44369184022284
1976-12-01,2.37453948794157
1977-01-01,3.10856644988644
1977-02-01,4.04453603174117
