"Date","LFWA55FECAM647N"
1976-01-01,972900
1976-02-01,976100
1976-03-01,979400
1976-04-01,982600
1976-05-01,985800
1976-06-01,989100
1976-07-01,992200
1976-08-01,995400
1976-09-01,997900
1976-10-01,1000400
1976-11-01,1002900
1976-12-01,1005500
1977-01-01,1008600
1977-02-01,1011500
1977-03-01,1014000
1977-04-01,1016600
1977-05-01,1019800
1977-06-01,1022300
1977-07-01,1024800
1977-08-01,1027800
1977-09-01,1030200
1977-10-01,1032600
1977-11-01,1034800
1977-12-01,1036800
1978-01-01,1039400
1978-02-01,1042000
1978-03-01,1043900
1978-04-01,1046000
1978-05-01,1048500
1978-06-01,1050500
1978-07-01,1052500
1978-08-01,1054800
1978-09-01,1056700
1978-10-01,1058600
1978-11-01,1060400
1978-12-01,1062200
1979-01-01,1064300
1979-02-01,1066500
1979-03-01,1068100
1979-04-01,1070400
1979-05-01,1072100
1979-06-01,1073900
1979-07-01,1075900
1979-08-01,1077800
1979-09-01,1079400
1979-10-01,1081500
1979-11-01,1083300
1979-12-01,1084900
1980-01-01,1087100
1980-02-01,1088800
1980-03-01,1090400
1980-04-01,1092600
1980-05-01,1094500
1980-06-01,1096900
1980-07-01,1098700
1980-08-01,1100700
1980-09-01,1103100
1980-10-01,1105000
1980-11-01,1106900
1980-12-01,1109000
1981-01-01,1111200
1981-02-01,1113500
1981-03-01,1115500
1981-04-01,1117300
1981-05-01,1119200
1981-06-01,1121700
1981-07-01,1123600
1981-08-01,1125400
1981-09-01,1127800
1981-10-01,1129600
1981-11-01,1131500
1981-12-01,1133100
1982-01-01,1135400
1982-02-01,1137500
1982-03-01,1139400
1982-04-01,1141100
1982-05-01,1143100
1982-06-01,1145600
1982-07-01,1147300
1982-08-01,1149700
1982-09-01,1151900
1982-10-01,1154000
1982-11-01,1156000
1982-12-01,1157900
1983-01-01,1160400
1983-02-01,1162700
1983-03-01,1164800
1983-04-01,1166700
1983-05-01,1169100
1983-06-01,1170900
1983-07-01,1172700
1983-08-01,1174900
1983-09-01,1176700
1983-10-01,1178300
1983-11-01,1179900
1983-12-01,1181500
1984-01-01,1183300
1984-02-01,1185100
1984-03-01,1186500
1984-04-01,1188100
1984-05-01,1189500
1984-06-01,1190800
1984-07-01,1192200
1984-08-01,1193400
1984-09-01,1194400
1984-10-01,1195600
1984-11-01,1196400
1984-12-01,1197200
1985-01-01,1198000
1985-02-01,1198500
1985-03-01,1199200
1985-04-01,1199900
1985-05-01,1200600
1985-06-01,1201200
1985-07-01,1202000
1985-08-01,1202600
1985-09-01,1203500
1985-10-01,1204100
1985-11-01,1204600
1985-12-01,1205100
1986-01-01,1205700
1986-02-01,1206100
1986-03-01,1206500
1986-04-01,1207000
1986-05-01,1207500
1986-06-01,1208100
1986-07-01,1208400
1986-08-01,1208900
1986-09-01,1209400
1986-10-01,1209700
1986-11-01,1210000
1986-12-01,1210200
1987-01-01,1210600
1987-02-01,1211100
1987-03-01,1211400
1987-04-01,1211900
1987-05-01,1212400
1987-06-01,1213100
1987-07-01,1213500
1987-08-01,1213800
1987-09-01,1214300
1987-10-01,1214500
1987-11-01,1214900
1987-12-01,1215200
1988-01-01,1215400
1988-02-01,1215700
1988-03-01,1215800
1988-04-01,1216100
1988-05-01,1216300
1988-06-01,1216500
1988-07-01,1216500
1988-08-01,1216400
1988-09-01,1216400
1988-10-01,1216200
1988-11-01,1215800
1988-12-01,1215600
1989-01-01,1214900
1989-02-01,1214500
1989-03-01,1214200
1989-04-01,1213900
1989-05-01,1213600
1989-06-01,1213600
1989-07-01,1213400
1989-08-01,1213200
1989-09-01,1213100
1989-10-01,1212900
1989-11-01,1212700
1989-12-01,1212500
1990-01-01,1212300
1990-02-01,1212100
1990-03-01,1212000
1990-04-01,1211900
1990-05-01,1212100
1990-06-01,1212100
1990-07-01,1212400
1990-08-01,1212700
1990-09-01,1213000
1990-10-01,1213200
1990-11-01,1213300
1990-12-01,1213500
1991-01-01,1213600
1991-02-01,1213700
1991-03-01,1214000
1991-04-01,1214300
1991-05-01,1214600
1991-06-01,1214900
1991-07-01,1214900
1991-08-01,1214800
1991-09-01,1214600
1991-10-01,1214500
1991-11-01,1214500
1991-12-01,1214600
1992-01-01,1214600
1992-02-01,1214500
1992-03-01,1214600
1992-04-01,1214800
1992-05-01,1215000
1992-06-01,1215200
1992-07-01,1215600
1992-08-01,1216100
1992-09-01,1216400
1992-10-01,1216800
1992-11-01,1217300
1992-12-01,1217700
1993-01-01,1218000
1993-02-01,1218600
1993-03-01,1219100
1993-04-01,1219900
1993-05-01,1220500
1993-06-01,1221700
1993-07-01,1222600
1993-08-01,1223800
1993-09-01,1224900
1993-10-01,1225800
1993-11-01,1226700
1993-12-01,1227800
1994-01-01,1228900
1994-02-01,1230200
1994-03-01,1231400
1994-04-01,1232600
1994-05-01,1234100
1994-06-01,1235300
1994-07-01,1236500
1994-08-01,1237800
1994-09-01,1238800
1994-10-01,1239800
1994-11-01,1240700
1994-12-01,1241400
1995-01-01,1242600
1995-02-01,1243600
1995-03-01,1244600
1995-04-01,1245700
1995-05-01,1247300
1995-06-01,1248500
1995-07-01,1249700
1995-08-01,1251300
1995-09-01,1252400
1995-10-01,1253700
1995-11-01,1255000
1995-12-01,1256200
1996-01-01,1258500
1996-02-01,1260100
1996-03-01,1261600
1996-04-01,1263000
1996-05-01,1265000
1996-06-01,1266600
1996-07-01,1268600
1996-08-01,1270100
1996-09-01,1272000
1996-10-01,1273500
1996-11-01,1275000
1996-12-01,1276400
1997-01-01,1278500
1997-02-01,1280100
1997-03-01,1281800
1997-04-01,1284200
1997-05-01,1286300
1997-06-01,1289000
1997-07-01,1291000
1997-08-01,1293400
1997-09-01,1296200
1997-10-01,1298500
1997-11-01,1300900
1997-12-01,1303300
1998-01-01,1306200
1998-02-01,1309400
1998-03-01,1312000
1998-04-01,1314700
1998-05-01,1317500
1998-06-01,1321200
1998-07-01,1324000
1998-08-01,1327000
1998-09-01,1330700
1998-10-01,1333700
1998-11-01,1336900
1998-12-01,1339900
1999-01-01,1343600
1999-02-01,1347600
1999-03-01,1350600
1999-04-01,1353900
1999-05-01,1357100
1999-06-01,1361100
1999-07-01,1364100
1999-08-01,1368000
1999-09-01,1371000
1999-10-01,1374000
1999-11-01,1377000
1999-12-01,1379900
2000-01-01,1383600
2000-02-01,1387300
2000-03-01,1390200
2000-04-01,1393400
2000-05-01,1397400
2000-06-01,1400700
2000-07-01,1404000
2000-08-01,1408400
2000-09-01,1411800
2000-10-01,1415300
2000-11-01,1418800
2000-12-01,1422400
2001-01-01,1428900
2001-02-01,1432900
2001-03-01,1437200
2001-04-01,1443100
2001-05-01,1448000
2001-06-01,1453400
2001-07-01,1460300
2001-08-01,1465900
2001-09-01,1471900
2001-10-01,1478100
2001-11-01,1484500
2001-12-01,1491200
2002-01-01,1501300
2002-02-01,1508300
2002-03-01,1515300
2002-04-01,1524000
2002-05-01,1531000
2002-06-01,1538000
2002-07-01,1546400
2002-08-01,1552800
2002-09-01,1560600
2002-10-01,1567000
2002-11-01,1573100
2002-12-01,1579100
2003-01-01,1586600
2003-02-01,1592500
2003-03-01,1598700
2003-04-01,1606200
2003-05-01,1612400
2003-06-01,1620000
2003-07-01,1626100
2003-08-01,1632000
2003-09-01,1639400
2003-10-01,1645200
2003-11-01,1650900
2003-12-01,1656700
2004-01-01,1663600
2004-02-01,1670700
2004-03-01,1676400
2004-04-01,1682200
2004-05-01,1688000
2004-06-01,1695500
2004-07-01,1701300
2004-08-01,1708400
2004-09-01,1714000
2004-10-01,1719800
2004-11-01,1725500
2004-12-01,1731200
2005-01-01,1738100
2005-02-01,1745200
2005-03-01,1750800
2005-04-01,1756500
2005-05-01,1763600
2005-06-01,1769300
2005-07-01,1774900
2005-08-01,1782100
2005-09-01,1787600
2005-10-01,1793300
2005-11-01,1798800
2005-12-01,1804100
2006-01-01,1811900
2006-02-01,1817100
2006-03-01,1822500
2006-04-01,1828000
2006-05-01,1834600
2006-06-01,1840100
2006-07-01,1845500
2006-08-01,1851900
2006-09-01,1857100
2006-10-01,1862400
2006-11-01,1867500
2006-12-01,1872600
2007-01-01,1880000
2007-02-01,1884800
2007-03-01,1889800
2007-04-01,1896200
2007-05-01,1901200
2007-06-01,1906400
2007-07-01,1912800
2007-08-01,1917800
2007-09-01,1922800
2007-10-01,1927900
2007-11-01,1932900
2007-12-01,1937800
2008-01-01,1945000
2008-02-01,1949800
2008-03-01,1954700
2008-04-01,1961100
2008-05-01,1966100
2008-06-01,1972800
2008-07-01,1978000
2008-08-01,1983300
2008-09-01,1989900
2008-10-01,1995100
2008-11-01,2000300
2008-12-01,2005500
2009-01-01,2011800
2009-02-01,2018500
2009-03-01,2023800
2009-04-01,2029300
2009-05-01,2035000
2009-06-01,2042300
2009-07-01,2048000
2009-08-01,2053800
2009-09-01,2061000
2009-10-01,2066800
2009-11-01,2072500
2009-12-01,2078200
2010-01-01,2085200
2010-02-01,2092400
2010-03-01,2098200
2010-04-01,2104100
2010-05-01,2110000
2010-06-01,2117200
2010-07-01,2122800
2010-08-01,2129700
2010-09-01,2135300
2010-10-01,2140500
2010-11-01,2145700
2010-12-01,2150700
2011-01-01,2156800
2011-02-01,2162400
2011-03-01,2167000
2011-04-01,2171500
2011-05-01,2176800
2011-06-01,2180800
2011-07-01,2185000
2011-08-01,2190700
2011-09-01,2194900
2011-10-01,2198800
2011-11-01,2202600
2011-12-01,2206200
2012-01-01,2210400
2012-02-01,2214700
2012-03-01,2218200
2012-04-01,2222900
2012-05-01,2226900
2012-06-01,2230900
2012-07-01,2236200
2012-08-01,2240500
