"Date","LRUN55FECAM156N"
1976-01-01,6.01652892561983
1976-02-01,5.6795797767564
1976-03-01,4.82644628099174
1976-04-01,4.83609217786433
1976-05-01,3.6762334730732
1976-06-01,4.11535968891769
1976-07-01,4.18396678377515
1976-08-01,3.91854365936439
1976-09-01,5.06367495451789
1976-10-01,4.6139649338665
1976-11-01,4.31224425558703
1976-12-01,4.07338308457712
1977-01-01,4.90778368240075
1977-02-01,6.48030495552732
1977-03-01,5.6065885334178
1977-04-01,5.92662276575729
1977-05-01,4.90103675777568
1977-06-01,5.19770408163265
1977-07-01,4.51104100946372
1977-08-01,4.74860335195531
1977-09-01,4.69128329297821
1977-10-01,5.14661879114303
1977-11-01,6.6646378575776
1977-12-01,6.46766169154229
1978-01-01,5.97964376590331
1978-02-01,5.80583756345178
1978-03-01,6.50380710659899
1978-04-01,6.24029804408568
1978-05-01,5.69835862496129
1978-06-01,4.96932515337423
1978-07-01,5.28072837632777
1978-08-01,5.4005400540054
1978-09-01,5.57532621589561
1978-10-01,6.06240713224368
1978-11-01,4.85638140361267
1978-12-01,4.98210023866348
1979-01-01,5.90988882387361
1979-02-01,4.75512528473804
1979-03-01,5.05445406311086
1979-04-01,4.65310671496239
1979-05-01,4.18774592467678
1979-06-01,4.33821497651285
1979-07-01,4.24688561721404
1979-08-01,5.92294422081656
1979-09-01,4.59641255605381
1979-10-01,5.45454545454545
1979-11-01,4.53273642977057
1979-12-01,4.79954827780915
1980-01-01,5.68181818181818
1980-02-01,5.87084148727984
1980-03-01,6.64635834948768
1980-04-01,4.91573033707865
1980-05-01,4.65813129937347
1980-06-01,4.66350181513544
1980-07-01,4.41507311586052
1980-08-01,5.84172661870504
1980-09-01,4.21292342727014
1980-10-01,4.75138121546961
1980-11-01,4.63816708577815
1980-12-01,5.68946188340807
1981-01-01,4.86751152073733
1981-02-01,4.38448566610455
1981-03-01,4.56443083774005
1981-04-01,4.88617434758468
1981-05-01,3.003003003003
1981-06-01,4.15187107347719
1981-07-01,4.2960088691796
1981-08-01,4.20190995907231
1981-09-01,5.00261917234154
1981-10-01,4.40183634890629
1981-11-01,4.90222341280472
1981-12-01,4.97445549879
1982-01-01,6.08415974269633
1982-02-01,5.82887700534759
1982-03-01,5.81146223888591
1982-04-01,6.4959070504357
1982-05-01,5.63821456538764
1982-06-01,6.33047210300429
1982-07-01,7.07098177862388
1982-08-01,6.4057893326186
1982-09-01,6.5643197458973
1982-10-01,6.65089379600421
1982-11-01,8.09486981180717
1982-12-01,8.46295808067493
1983-01-01,8.23186871360508
1983-02-01,8.5978835978836
1983-03-01,8.7340785027294
1983-04-01,8.02166623678102
1983-05-01,8.05316653635653
1983-06-01,7.81331934976403
1983-07-01,8.04878048780488
1983-08-01,8.33775889537971
1983-09-01,8.59435671757701
1983-10-01,7.63164589163063
1983-11-01,7.5
1983-12-01,8.13863928112965
1984-01-01,8.02564102564102
1984-02-01,7.70833333333333
1984-03-01,7.81996479758612
1984-04-01,8.43404474157881
1984-05-01,7.90091264667536
1984-06-01,7.47368421052632
1984-07-01,7.72908366533865
1984-08-01,7.24986623863028
1984-09-01,7.44487678339818
1984-10-01,6.78837747492929
1984-11-01,7.46536685479733
1984-12-01,6.6512583461736
1985-01-01,7.44518103008669
1985-02-01,7.89213260761999
1985-03-01,8.84520884520884
1985-04-01,9.17675544794189
1985-05-01,7.3963762720278
1985-06-01,6.88279301745636
1985-07-01,7.60841998478316
1985-08-01,7.26528523919161
1985-09-01,8.02827568795759
1985-10-01,7.82891445722861
1985-11-01,7.33448190991878
1985-12-01,7.89669729327042
1986-01-01,7.62928827444956
1986-02-01,7.8030303030303
1986-03-01,7.90326601844926
1986-04-01,7.15906226367532
1986-05-01,7.3837066207236
1986-06-01,6.44511581067472
1986-07-01,6.04521209042418
1986-08-01,8.00716295727808
1986-09-01,7.27959697732998
1986-10-01,7.67301905717152
1986-11-01,7.85392696348174
1986-12-01,7.10532899674756
1987-01-01,8.33124843632725
1987-02-01,7.47963465810911
1987-03-01,7.6416015625
1987-04-01,8.50763807285546
1987-05-01,7.4839629365645
1987-06-01,7.36015701668302
1987-07-01,7.23216474626134
1987-08-01,7.79252704031465
1987-09-01,7.68321513002363
1987-10-01,7.0196171117939
1987-11-01,7.48856248495064
1987-12-01,7.94249351873674
1988-01-01,7.77091254752852
1988-02-01,6.22771571190872
1988-03-01,7.02132758207526
1988-04-01,6.14180697178089
1988-05-01,5.78048209688743
1988-06-01,5.70461687212956
1988-07-01,5.55963752143032
1988-08-01,6.80552191813998
1988-09-01,5.60165975103734
1988-10-01,4.51950523311132
1988-11-01,5.76782672183013
1988-12-01,6.52383245064998
1989-01-01,6.98742746615087
1989-02-01,7.16346153846154
1989-03-01,6.32295719844358
1989-04-01,6.81927710843374
1989-05-01,5.35714285714286
1989-06-01,4.07965031568723
1989-07-01,5.45089173574479
1989-08-01,5.87937151545869
1989-09-01,5.43872371283539
1989-10-01,5.79466217840827
1989-11-01,6.99233716475096
1989-12-01,6.50816522574448
1990-01-01,6.52070442646359
1990-02-01,6.02113541410666
1990-03-01,6.62171923910426
1990-04-01,5.53201506591337
1990-05-01,4.92692126355493
1990-06-01,4.58195559754369
1990-07-01,5.1098376313276
1990-08-01,5.4421768707483
1990-09-01,4.73427709445348
1990-10-01,5.28511821974965
1990-11-01,6.73733804475854
1990-12-01,7.03271028037383
1991-01-01,8.73225884050998
1991-02-01,9.33048433048433
1991-03-01,9.53824626865672
1991-04-01,8.33721471821146
1991-05-01,6.95426685525696
1991-06-01,8.14114391143911
