"Date","LFEM24MACAM647N"
1997-04-01,955200
1997-05-01,1068800
1997-06-01,1172400
1997-07-01,1258800
1997-08-01,1254800
1997-09-01,1056500
1997-10-01,1048000
1997-11-01,1033700
1997-12-01,1016800
1998-01-01,955700
1998-02-01,968400
1998-03-01,971100
1998-04-01,980100
1998-05-01,1095900
1998-06-01,1183000
1998-07-01,1282700
1998-08-01,1276600
1998-09-01,1064900
1998-10-01,1040700
1998-11-01,1044800
1998-12-01,1041000
1999-01-01,996900
1999-02-01,1009500
1999-03-01,1030800
1999-04-01,1033400
1999-05-01,1135800
1999-06-01,1244000
1999-07-01,1347900
1999-08-01,1319300
1999-09-01,1133500
1999-10-01,1135600
1999-11-01,1126400
1999-12-01,1121500
2000-01-01,1060800
2000-02-01,1056200
2000-03-01,1072100
2000-04-01,1094400
2000-05-01,1206700
2000-06-01,1265300
2000-07-01,1381600
2000-08-01,1363100
2000-09-01,1170300
2000-10-01,1170800
2000-11-01,1157600
2000-12-01,1167100
2001-01-01,1095300
2001-02-01,1085700
2001-03-01,1093000
2001-04-01,1117100
2001-05-01,1225700
2001-06-01,1290900
2001-07-01,1398700
2001-08-01,1384500
2001-09-01,1168000
2001-10-01,1150700
2001-11-01,1133000
2001-12-01,1123000
2002-01-01,1097400
2002-02-01,1098900
2002-03-01,1117400
2002-04-01,1126200
2002-05-01,1239300
2002-06-01,1316100
2002-07-01,1444500
2002-08-01,1427900
2002-09-01,1215600
2002-10-01,1186000
2002-11-01,1171600
2002-12-01,1182600
2003-01-01,1127000
2003-02-01,1139200
2003-03-01,1160100
2003-04-01,1161300
2003-05-01,1251500
2003-06-01,1347500
2003-07-01,1448900
2003-08-01,1432100
2003-09-01,1213700
2003-10-01,1200800
2003-11-01,1195500
2003-12-01,1169300
2004-01-01,1130300
2004-02-01,1130100
2004-03-01,1126300
2004-04-01,1167500
2004-05-01,1254400
2004-06-01,1357400
2004-07-01,1462100
2004-08-01,1428700
2004-09-01,1239200
2004-10-01,1227200
2004-11-01,1225000
2004-12-01,1208800
2005-01-01,1133500
2005-02-01,1142900
2005-03-01,1135100
2005-04-01,1138000
2005-05-01,1277900
2005-06-01,1335100
2005-07-01,1454600
2005-08-01,1434100
2005-09-01,1214100
2005-10-01,1236400
2005-11-01,1229300
2005-12-01,1222400
2006-01-01,1162200
2006-02-01,1194300
2006-03-01,1216600
2006-04-01,1198800
2006-05-01,1350000
2006-06-01,1403600
2006-07-01,1513500
2006-08-01,1487800
2006-09-01,1252000
2006-10-01,1275500
2006-11-01,1266800
2006-12-01,1260700
2007-01-01,1217100
2007-02-01,1223600
2007-03-01,1232100
2007-04-01,1252500
2007-05-01,1389000
2007-06-01,1467800
2007-07-01,1584900
2007-08-01,1539000
2007-09-01,1275100
2007-10-01,1296600
2007-11-01,1298600
2007-12-01,1292300
2008-01-01,1227400
2008-02-01,1236700
2008-03-01,1243400
2008-04-01,1249900
2008-05-01,1355000
2008-06-01,1449900
2008-07-01,1558600
2008-08-01,1537600
2008-09-01,1325000
2008-10-01,1310100
2008-11-01,1293400
2008-12-01,1262100
2009-01-01,1164700
2009-02-01,1164600
2009-03-01,1153500
2009-04-01,1156500
2009-05-01,1271200
2009-06-01,1335700
2009-07-01,1410300
2009-08-01,1378900
2009-09-01,1168700
2009-10-01,1174100
2009-11-01,1168800
2009-12-01,1152100
2010-01-01,1102700
2010-02-01,1113400
2010-03-01,1111800
2010-04-01,1145900
2010-05-01,1257000
2010-06-01,1344500
2010-07-01,1440800
2010-08-01,1405600
2010-09-01,1181800
2010-10-01,1178300
2010-11-01,1187200
2010-12-01,1190100
2011-01-01,1139600
2011-02-01,1150400
2011-03-01,1137400
2011-04-01,1164200
2011-05-01,1281200
2011-06-01,1364900
2011-07-01,1472100
2011-08-01,1436600
2011-09-01,1236800
2011-10-01,1226400
2011-11-01,1217900
2011-12-01,1198800
2012-01-01,1129800
2012-02-01,1120700
2012-03-01,1145200
2012-04-01,1186300
2012-05-01,1295400
2012-06-01,1361300
2012-07-01,1456700
2012-08-01,1418400
2012-09-01,1196000
2012-10-01,1199100
2012-11-01,1200600
2012-12-01,1192700
2013-01-01,1156900
2013-02-01,1172900
2013-03-01,1160200
2013-04-01,1178500
2013-05-01,1339900
2013-06-01,1389900
2013-07-01,1470000
2013-08-01,1440500
2013-09-01,1243500
2013-10-01,1239000
2013-11-01,1212500
2013-12-01,1214800
2014-01-01,1147500
2014-02-01,1163300
2014-03-01,1180600
2014-04-01,1160700
2014-05-01,1292200
2014-06-01,1347700
2014-07-01,1452900
2014-08-01,1424800
2014-09-01,1225100
2014-10-01,1252700
2014-11-01,1235600
2014-12-01,1238700
2015-01-01,1174900
2015-02-01,1182400
2015-03-01,1189600
2015-04-01,1175600
2015-05-01,1328400
2015-06-01,1378300
2015-07-01,1451500
2015-08-01,1439000
2015-09-01,1222100
2015-10-01,1211000
2015-11-01,1193800
2015-12-01,1175600
2016-01-01,1134800
2016-02-01,1137600
2016-03-01,1124200
2016-04-01,1143500
2016-05-01,1290300
2016-06-01,1321800
2016-07-01,1402900
2016-08-01,1411400
2016-09-01,1212300
2016-10-01,1232700
2016-11-01,1219700
2016-12-01,1233500
2017-01-01,1167300
2017-02-01,1190100
2017-03-01,1197700
2017-04-01,1198600
2017-05-01,1349300
2017-06-01,1408300
2017-07-01,1472800
2017-08-01,1461500
2017-09-01,1243700
2017-10-01,1269200
2017-11-01,1288000
2017-12-01,1277500
2018-01-01,1215000
2018-02-01,1210500
2018-03-01,1228900
2018-04-01,1228100
2018-05-01,1376100
2018-06-01,1428800
2018-07-01,1517400
2018-08-01,1490500
2018-09-01,1276700
2018-10-01,1269600
2018-11-01,1282900
2018-12-01,1271700
2019-01-01,1238900
2019-02-01,1245100
2019-03-01,1247200
2019-04-01,1293500
2019-05-01,1398400
2019-06-01,1447500
2019-07-01,1519500
2019-08-01,1498400
2019-09-01,1275000
2019-10-01,1286100
2019-11-01,1284100
2019-12-01,1272800
2020-01-01,1217100
2020-02-01,1233300
2020-03-01,1070600
2020-04-01,865700
2020-05-01,979200
2020-06-01,1162400
2020-07-01,1278300
2020-08-01,1287000
2020-09-01,1181000
2020-10-01,1165400
2020-11-01,1166200
2020-12-01,1141500
2021-01-01,1066900
2021-02-01,1134000
2021-03-01,1194900
2021-04-01,1147900
2021-05-01,1243000
2021-06-01,1367600
2021-07-01,1475900
2021-08-01,1448600
2021-09-01,1257900
2021-10-01,1263300
2021-11-01,1260100
2021-12-01,1263400
2022-01-01,1152900
2022-02-01,1234200
2022-03-01,1236900
2022-04-01,1248500
2022-05-01,1391700
2022-06-01,1435000
2022-07-01,1505300
2022-08-01,1494600
2022-09-01,1272500
2022-10-01,1296900
2022-11-01,1273800
2022-12-01,1304800
2023-01-01,1242700
2023-02-01,1266800
2023-03-01,1282400
2023-04-01,1285700
2023-05-01,1413000
2023-06-01,1489800
2023-07-01,1591400
2023-08-01,1542400
2023-09-01,1316000
2023-10-01,1342200
2023-11-01,1327400
