"Date","LFEM25TTCAM647N"
1976-01-01,5870500
1976-02-01,5905500
1976-03-01,5955100
1976-04-01,5981800
1976-05-01,6087000
1976-06-01,6140200
1976-07-01,6115300
1976-08-01,6119900
1976-09-01,6188000
1976-10-01,6194100
1976-11-01,6177700
1976-12-01,6126300
1977-01-01,6004000
1977-02-01,6056100
1977-03-01,6079000
1977-04-01,6109300
1977-05-01,6239400
1977-06-01,6283100
1977-07-01,6233600
1977-08-01,6247000
1977-09-01,6327300
1977-10-01,6342300
1977-11-01,6303000
1977-12-01,6261600
1978-01-01,6158700
1978-02-01,6212300
1978-03-01,6263600
1978-04-01,6295600
1978-05-01,6424300
1978-06-01,6499400
1978-07-01,6479000
1978-08-01,6495400
1978-09-01,6586800
1978-10-01,6616900
1978-11-01,6581100
1978-12-01,6534100
1979-01-01,6433900
1979-02-01,6476100
1979-03-01,6522500
1979-04-01,6554800
1979-05-01,6678400
1979-06-01,6737200
1979-07-01,6750200
1979-08-01,6769800
1979-09-01,6837700
1979-10-01,6868800
1979-11-01,6845600
1979-12-01,6781300
1980-01-01,6703700
1980-02-01,6729000
1980-03-01,6776000
1980-04-01,6823500
1980-05-01,6900300
1980-06-01,6982700
1980-07-01,6947700
1980-08-01,6982900
1980-09-01,7081900
1980-10-01,7111700
1980-11-01,7085700
1980-12-01,7029500
1981-01-01,6958000
1981-02-01,7033400
1981-03-01,7076200
1981-04-01,7130300
1981-05-01,7232500
1981-06-01,7316600
1981-07-01,7255700
1981-08-01,7279700
1981-09-01,7340500
1981-10-01,7340900
1981-11-01,7294900
1981-12-01,7177600
1982-01-01,7082100
1982-02-01,7101700
1982-03-01,7136000
1982-04-01,7109400
1982-05-01,7211400
1982-06-01,7241300
1982-07-01,7176100
1982-08-01,7146300
1982-09-01,7192800
1982-10-01,7179100
1982-11-01,7102000
1982-12-01,7030200
1983-01-01,6932600
1983-02-01,6993000
1983-03-01,7082700
1983-04-01,7152700
1983-05-01,7310600
1983-06-01,7394400
1983-07-01,7381200
1983-08-01,7410300
1983-09-01,7509400
1983-10-01,7501100
1983-11-01,7456900
1983-12-01,7389900
1984-01-01,7245000
1984-02-01,7305200
1984-03-01,7332400
1984-04-01,7387100
1984-05-01,7530700
1984-06-01,7619000
1984-07-01,7613600
1984-08-01,7623400
1984-09-01,7719600
1984-10-01,7725600
1984-11-01,7678500
1984-12-01,7632100
1985-01-01,7562700
1985-02-01,7602400
1985-03-01,7652200
1985-04-01,7740300
1985-05-01,7884800
1985-06-01,7926900
1985-07-01,7909500
1985-08-01,7930900
1985-09-01,8053200
1985-10-01,8039900
1985-11-01,8010500
1985-12-01,7985500
1986-01-01,7934100
1986-02-01,7984200
1986-03-01,8028200
1986-04-01,8094600
1986-05-01,8202600
1986-06-01,8259800
1986-07-01,8209000
1986-08-01,8249000
1986-09-01,8362900
1986-10-01,8372800
1986-11-01,8321700
1986-12-01,8274000
1987-01-01,8160700
1987-02-01,8206900
1987-03-01,8288400
1987-04-01,8365500
1987-05-01,8526100
1987-06-01,8619100
1987-07-01,8549500
1987-08-01,8583900
1987-09-01,8700700
1987-10-01,8741400
1987-11-01,8706600
1987-12-01,8675200
1988-01-01,8569500
1988-02-01,8655900
1988-03-01,8697500
1988-04-01,8762300
1988-05-01,8906700
1988-06-01,8993900
1988-07-01,8903000
1988-08-01,8944600
1988-09-01,9035200
1988-10-01,9076000
1988-11-01,9019600
1988-12-01,8994800
1989-01-01,8903700
1989-02-01,8947400
1989-03-01,9001400
1989-04-01,9047300
1989-05-01,9205800
1989-06-01,9288800
1989-07-01,9217500
1989-08-01,9287200
1989-09-01,9400800
1989-10-01,9416300
1989-11-01,9334400
1989-12-01,9263700
1990-01-01,9151600
1990-02-01,9203700
1990-03-01,9225700
1990-04-01,9328800
1990-05-01,9446800
1990-06-01,9541100
1990-07-01,9486100
1990-08-01,9483700
1990-09-01,9568200
1990-10-01,9547700
1990-11-01,9419400
1990-12-01,9314000
1991-01-01,9176100
1991-02-01,9172400
1991-03-01,9171900
1991-04-01,9283500
1991-05-01,9428000
1991-06-01,9510300
1991-07-01,9438400
1991-08-01,9441600
1991-09-01,9539500
1991-10-01,9521000
1991-11-01,9411300
1991-12-01,9314300
1992-01-01,9175100
1992-02-01,9218100
1992-03-01,9202700
1992-04-01,9268400
1992-05-01,9412200
1992-06-01,9509900
1992-07-01,9435700
1992-08-01,9405500
1992-09-01,9504500
1992-10-01,9496500
1992-11-01,9422700
1992-12-01,9350400
1993-01-01,9223400
1993-02-01,9286400
1993-03-01,9291900
1993-04-01,9336100
1993-05-01,9526600
1993-06-01,9658300
1993-07-01,9553300
1993-08-01,9586900
1993-09-01,9705700
1993-10-01,9690700
1993-11-01,9621400
1993-12-01,9509200
1994-01-01,9360300
1994-02-01,9423400
1994-03-01,9439500
1994-04-01,9513500
1994-05-01,9720700
1994-06-01,9812400
1994-07-01,9785000
1994-08-01,9806000
1994-09-01,9930900
1994-10-01,9944400
1994-11-01,9899600
1994-12-01,9831600
1995-01-01,9696300
1995-02-01,9720300
1995-03-01,9765400
1995-04-01,9807600
1995-05-01,9966700
1995-06-01,10051900
1995-07-01,9974300
1995-08-01,10004000
1995-09-01,10170500
1995-10-01,10114700
1995-11-01,10041100
1995-12-01,9983400
1996-01-01,9867700
1996-02-01,9877000
1996-03-01,9886000
1996-04-01,9964500
1996-05-01,10101900
1996-06-01,10160700
1996-07-01,10119900
1996-08-01,10153400
1996-09-01,10257700
1996-10-01,10222600
1996-11-01,10163700
1996-12-01,10137900
1997-01-01,10020500
1997-02-01,10042100
1997-03-01,10099700
1997-04-01,10164400
1997-05-01,10342300
1997-06-01,10458900
1997-07-01,10406300
1997-08-01,10449500
1997-09-01,10582500
1997-10-01,10554700
1997-11-01,10499500
1997-12-01,10458500
1998-01-01,10292900
1998-02-01,10352900
1998-03-01,10403800
1998-04-01,10493200
1998-05-01,10600600
1998-06-01,10679000
1998-07-01,10589900
1998-08-01,10616200
1998-09-01,10719600
1998-10-01,10721200
1998-11-01,10666400
1998-12-01,10622100
1999-01-01,10482800
1999-02-01,10538500
1999-03-01,10555300
1999-04-01,10633700
1999-05-01,10788800
1999-06-01,10851000
1999-07-01,10774600
1999-08-01,10793100
1999-09-01,10897700
1999-10-01,10906300
1999-11-01,10865200
1999-12-01,10829800
2000-01-01,10680100
2000-02-01,10774100
2000-03-01,10805100
2000-04-01,10852400
2000-05-01,11005200
2000-06-01,11061800
2000-07-01,10947000
2000-08-01,10941600
2000-09-01,11063900
2000-10-01,11070300
2000-11-01,11026700
2000-12-01,10969400
2001-01-01,10842700
2001-02-01,10899800
2001-03-01,10890000
2001-04-01,10973800
2001-05-01,11117900
2001-06-01,11142200
2001-07-01,11013600
2001-08-01,11008400
2001-09-01,11130000
2001-10-01,11115900
2001-11-01,11071100
2001-12-01,10953100
2002-01-01,10825700
2002-02-01,10888500
2002-03-01,10950600
2002-04-01,11028700
2002-05-01,11197600
2002-06-01,11286100
2002-07-01,11174000
2002-08-01,11199800
2002-09-01,11340500
2002-10-01,11312900
2002-11-01,11256900
2002-12-01,11207800
2003-01-01,11042600
2003-02-01,11107700
2003-03-01,11106800
2003-04-01,11154300
2003-05-01,11284000
2003-06-01,11364400
2003-07-01,11258100
2003-08-01,11240400
2003-09-01,11368600
2003-10-01,11398600
2003-11-01,11351300
2003-12-01,11324200
2004-01-01,11170400
2004-02-01,11209600
2004-03-01,11246300
2004-04-01,11318100
2004-05-01,11451200
2004-06-01,11537200
2004-07-01,11380900
2004-08-01,11385100
2004-09-01,11480200
2004-10-01,11484500
2004-11-01,11410400
2004-12-01,11374200
2005-01-01,11248000
2005-02-01,11277400
2005-03-01,11299500
2005-04-01,11348100
2005-05-01,11471100
2005-06-01,11558400
2005-07-01,11404100
2005-08-01,11415200
2005-09-01,11544400
2005-10-01,11547100
2005-11-01,11499100
2005-12-01,11441900
2006-01-01,11321300
2006-02-01,11323000
2006-03-01,11349500
2006-04-01,11464300
2006-05-01,11619700
2006-06-01,11658700
2006-07-01,11506400
2006-08-01,11503900
2006-09-01,11653700
2006-10-01,11632400
2006-11-01,11562300
2006-12-01,11564900
2007-01-01,11480600
2007-02-01,11476100
2007-03-01,11483400
2007-04-01,11541800
2007-05-01,11682200
2007-06-01,11759700
2007-07-01,11633800
2007-08-01,11629900
2007-09-01,11781400
2007-10-01,11775400
2007-11-01,11744400
2007-12-01,11677600
2008-01-01,11565800
2008-02-01,11599800
2008-03-01,11579500
2008-04-01,11652200
2008-05-01,11799400
2008-06-01,11851400
2008-07-01,11662100
2008-08-01,11698300
2008-09-01,11831000
2008-10-01,11857700
2008-11-01,11771300
2008-12-01,11689000
2009-01-01,11445700
2009-02-01,11434400
2009-03-01,11397500
2009-04-01,11448700
2009-05-01,11550800
2009-06-01,11589800
2009-07-01,11426300
2009-08-01,11455300
2009-09-01,11631700
2009-10-01,11633400
2009-11-01,11630700
2009-12-01,11530300
2010-01-01,11396300
2010-02-01,11396300
2010-03-01,11420500
2010-04-01,11527600
2010-05-01,11653400
2010-06-01,11746400
2010-07-01,11561100
2010-08-01,11605900
2010-09-01,11750000
2010-10-01,11692900
2010-11-01,11671000
2010-12-01,11602200
2011-01-01,11515700
2011-02-01,11536600
2011-03-01,11541400
2011-04-01,11644100
2011-05-01,11746000
2011-06-01,11811700
2011-07-01,11650300
2011-08-01,11700000
2011-09-01,11836400
2011-10-01,11804000
2011-11-01,11740500
2011-12-01,11686000
2012-01-01,11565400
2012-02-01,11594300
2012-03-01,11584400
2012-04-01,11711100
2012-05-01,11840900
2012-06-01,11894500
2012-07-01,11741200
2012-08-01,11781900
2012-09-01,11957100
2012-10-01,11922300
2012-11-01,11909500
2012-12-01,11867300
2013-01-01,11690100
2013-02-01,11730800
2013-03-01,11670100
2013-04-01,11782100
2013-05-01,11895800
2013-06-01,11942900
2013-07-01,11798100
2013-08-01,11820600
2013-09-01,11959900
2013-10-01,11942700
2013-11-01,11918100
2013-12-01,11803300
2014-01-01,11678700
2014-02-01,11673500
2014-03-01,11676500
2014-04-01,11724800
2014-05-01,11830100
2014-06-01,11855000
2014-07-01,11730000
2014-08-01,11770000
2014-09-01,11939600
2014-10-01,11935400
2014-11-01,11921500
2014-12-01,11876700
2015-01-01,11707500
2015-02-01,11710400
2015-03-01,11696100
2015-04-01,11770500
2015-05-01,11883400
2015-06-01,11934500
2015-07-01,11794400
2015-08-01,11817200
2015-09-01,11949900
2015-10-01,11910300
2015-11-01,11878300
2015-12-01,11804800
2016-01-01,11676400
2016-02-01,11672800
2016-03-01,11690100
2016-04-01,11766100
2016-05-01,11921600
2016-06-01,11952000
2016-07-01,11779100
2016-08-01,11780100
2016-09-01,11910800
2016-10-01,11913300
2016-11-01,11926700
2016-12-01,11874700
2017-01-01,11829800
2017-02-01,11831300
2017-03-01,11856600
2017-04-01,11920100
2017-05-01,12047300
2017-06-01,12104900
2017-07-01,11960500
2017-08-01,11965300
2017-09-01,12088400
2017-10-01,12081100
2017-11-01,12069200
2017-12-01,12045000
2018-01-01,11929500
2018-02-01,11955700
2018-03-01,11986800
2018-04-01,12076900
2018-05-01,12148800
2018-06-01,12217000
2018-07-01,12088600
2018-08-01,12089800
2018-09-01,12286800
2018-10-01,12307100
2018-11-01,12320300
2018-12-01,12285000
2019-01-01,12147300
2019-02-01,12193800
2019-03-01,12163100
2019-04-01,12257700
2019-05-01,12407700
2019-06-01,12431600
2019-07-01,12270400
2019-08-01,12287700
2019-09-01,12505100
2019-10-01,12450600
2019-11-01,12401500
2019-12-01,12393800
2020-01-01,12252400
2020-02-01,12273400
2020-03-01,11764300
2020-04-01,10705300
2020-05-01,11006100
2020-06-01,11668400
2020-07-01,11693600
2020-08-01,11800000
2020-09-01,12190500
2020-10-01,12234800
2020-11-01,12221800
2020-12-01,12146200
2021-01-01,11893500
2021-02-01,12058000
2021-03-01,12123200
2021-04-01,12140700
2021-05-01,12234700
2021-06-01,12328300
2021-07-01,12205200
2021-08-01,12215500
2021-09-01,12528400
2021-10-01,12594400
2021-11-01,12672300
2021-12-01,12688700
2022-01-01,12454500
2022-02-01,12670000
2022-03-01,12674500
2022-04-01,12769700
2022-05-01,12899800
2022-06-01,12931200
2022-07-01,12760000
2022-08-01,12733800
2022-09-01,12932500
2022-10-01,12981300
2022-11-01,12976500
2022-12-01,12925800
2023-01-01,12904400
2023-02-01,12915700
2023-03-01,12947000
2023-04-01,13003500
2023-05-01,13167500
2023-06-01,13235200
2023-07-01,13017000
2023-08-01,13069300
2023-09-01,13297200
2023-10-01,13299400
2023-11-01,13303600
