"Date","INTGSTCAM193N"
1950-01-01,0.51
1950-02-01,0.51
1950-03-01,0.51
1950-04-01,0.51
1950-05-01,0.51
1950-06-01,0.51
1950-07-01,0.51
1950-08-01,0.53
1950-09-01,0.61
1950-10-01,0.62
1950-11-01,0.62
1950-12-01,0.63
1951-01-01,0.63
1951-02-01,0.7
1951-03-01,0.75
1951-04-01,0.75
1951-05-01,0.75
1951-06-01,0.75
1951-07-01,0.77
1951-08-01,0.78
1951-09-01,0.86
1951-10-01,0.92
1951-11-01,0.92
1951-12-01,0.9
1952-01-01,0.89
1952-02-01,0.9
1952-03-01,0.93
1952-04-01,0.97
1952-05-01,1.01
1952-06-01,1.07
1952-07-01,1.11
1952-08-01,1.1
1952-09-01,1.12
1952-10-01,1.19
1952-11-01,1.21
1952-12-01,1.3
1953-01-01,1.34
1953-02-01,1.5
1953-03-01,1.52
1953-04-01,1.53
1953-05-01,1.63
1953-06-01,1.71
1953-07-01,1.77
1953-08-01,1.85
1953-09-01,1.97
1953-10-01,1.91
1953-11-01,1.89
1953-12-01,1.89
1954-01-01,1.81
1954-02-01,1.71
1954-03-01,1.59
1954-04-01,1.6
1954-05-01,1.61
1954-06-01,1.49
1954-07-01,1.35
1954-08-01,1.3
1954-09-01,1.16
1954-10-01,1.3
1954-11-01,1.13
1954-12-01,1.06
1955-01-01,0.88
1955-02-01,1.13
1955-03-01,1.09
1955-04-01,1.25
1955-05-01,1.3
1955-06-01,1.44
1955-07-01,1.43
1955-08-01,1.7
1955-09-01,1.83
1955-10-01,2.2
1955-11-01,2.58
1955-12-01,2.56
1956-01-01,2.53
1956-02-01,2.56
1956-03-01,2.64
1956-04-01,2.89
1956-05-01,2.72
1956-06-01,2.52
1956-07-01,2.65
1956-08-01,2.9
1956-09-01,3.16
1956-10-01,3.34
1956-11-01,3.52
1956-12-01,3.67
1957-01-01,3.7
1957-02-01,3.76
1957-03-01,3.7
1957-04-01,3.75
1957-05-01,3.76
1957-06-01,3.81
1957-07-01,3.81
1957-08-01,4.03
1957-09-01,3.8
1957-10-01,3.8
1957-11-01,3.58
1957-12-01,3.62
1958-01-01,3.25
1958-02-01,2.86
1958-03-01,2.27
1958-04-01,1.58
1958-05-01,1.54
1958-06-01,1.72
1958-07-01,0.87
1958-08-01,1.49
1958-09-01,2.27
1958-10-01,2.83
1958-11-01,2.88
1958-12-01,3.49
1959-01-01,3.28
1959-02-01,4.07
1959-03-01,4.3
1959-04-01,4.76
1959-05-01,4.9
1959-06-01,5.11
1959-07-01,5.47
1959-08-01,5.33
1959-09-01,5.5
1959-10-01,5.02
1959-11-01,4.86
1959-12-01,5.12
1960-01-01,4.6
1960-02-01,4.61
1960-03-01,3.01
1960-04-01,3.26
1960-05-01,3.01
1960-06-01,3.07
1960-07-01,2.92
1960-08-01,2.01
1960-09-01,1.7
1960-10-01,3.03
1960-11-01,3.95
1960-12-01,3.25
1961-01-01,3.04
1961-02-01,3.11
1961-03-01,3.21
1961-04-01,3.28
1961-05-01,3.14
1961-06-01,2.57
1961-07-01,2.55
