"Date","LFAC24TTCAM647N"
1976-01-01,2666100
1976-02-01,2678400
1976-03-01,2714500
1976-04-01,2727800
1976-05-01,2893300
1976-06-01,3121600
1976-07-01,3395100
1976-08-01,3273600
1976-09-01,2809500
1976-10-01,2805500
1976-11-01,2806700
1976-12-01,2811200
1977-01-01,2765000
1977-02-01,2792000
1977-03-01,2807000
1977-04-01,2821700
1977-05-01,3010000
1977-06-01,3175400
1977-07-01,3481400
1977-08-01,3383500
1977-09-01,2904000
1977-10-01,2905300
1977-11-01,2892400
1977-12-01,2866000
1978-01-01,2797300
1978-02-01,2840200
1978-03-01,2894400
1978-04-01,2883100
1978-05-01,3084700
1978-06-01,3267900
1978-07-01,3577400
1978-08-01,3480300
1978-09-01,2987700
1978-10-01,2996800
1978-11-01,2997200
1978-12-01,2982100
1979-01-01,2925800
1979-02-01,2947700
1979-03-01,2993100
1979-04-01,3017400
1979-05-01,3196000
1979-06-01,3368000
1979-07-01,3648600
1979-08-01,3590800
1979-09-01,3102000
1979-10-01,3142900
1979-11-01,3113800
1979-12-01,3086600
1980-01-01,3045700
1980-02-01,3038300
1980-03-01,3096700
1980-04-01,3101300
1980-05-01,3256400
1980-06-01,3548700
1980-07-01,3719000
1980-08-01,3653800
1980-09-01,3167400
1980-10-01,3172000
1980-11-01,3134300
1980-12-01,3108500
1981-01-01,3084500
1981-02-01,3106800
1981-03-01,3152900
1981-04-01,3127300
1981-05-01,3340600
1981-06-01,3593200
1981-07-01,3774300
1981-08-01,3679800
1981-09-01,3189000
1981-10-01,3162600
1981-11-01,3124600
1981-12-01,3080800
1982-01-01,2999900
1982-02-01,2995600
1982-03-01,3052300
1982-04-01,3027200
1982-05-01,3189800
1982-06-01,3399400
1982-07-01,3646100
1982-08-01,3480100
1982-09-01,3020100
1982-10-01,3044800
1982-11-01,2997700
1982-12-01,2991000
1983-01-01,2925200
1983-02-01,2937500
1983-03-01,3002000
1983-04-01,2961700
1983-05-01,3172200
1983-06-01,3366400
1983-07-01,3599700
1983-08-01,3490900
1983-09-01,3008300
1983-10-01,2983700
1983-11-01,2958700
1983-12-01,2942300
1984-01-01,2856500
1984-02-01,2896100
