"Date","MABMM203CAM189S"
1968-01-01,3.0456e+10
1968-02-01,3.0746e+10
1968-03-01,3.0886e+10
1968-04-01,3.1293e+10
1968-05-01,3.16e+10
1968-06-01,3.1823e+10
1968-07-01,3.2272e+10
1968-08-01,3.2802e+10
1968-09-01,3.3046e+10
1968-10-01,3.336e+10
1968-11-01,3.3717e+10
1968-12-01,3.3967e+10
1969-01-01,3.4416e+10
1969-02-01,3.4329e+10
1969-03-01,3.472e+10
1969-04-01,3.5063e+10
1969-05-01,3.536e+10
1969-06-01,3.5525e+10
1969-07-01,3.5707e+10
1969-08-01,3.5926e+10
1969-09-01,3.6227e+10
1969-10-01,3.6573e+10
1969-11-01,3.6795e+10
1969-12-01,3.7041e+10
1970-01-01,3.7225e+10
1970-02-01,3.7492e+10
1970-03-01,3.7872e+10
1970-04-01,3.811e+10
1970-05-01,3.8347e+10
1970-06-01,3.8622e+10
1970-07-01,3.8962e+10
1970-08-01,3.9219e+10
1970-09-01,3.9444e+10
1970-10-01,3.9853e+10
1970-11-01,4.0399e+10
1970-12-01,4.0797e+10
1971-01-01,4.1263e+10
1971-02-01,4.1684e+10
1971-03-01,4.2169e+10
1971-04-01,4.2556e+10
1971-05-01,4.3119e+10
1971-06-01,4.3756e+10
1971-07-01,4.4096e+10
1971-08-01,4.4757e+10
1971-09-01,4.5213e+10
1971-10-01,4.5519e+10
1971-11-01,4.5697e+10
1971-12-01,4.6081e+10
1972-01-01,4.6702e+10
1972-02-01,4.7191e+10
1972-03-01,4.7802e+10
1972-04-01,4.8223e+10
1972-05-01,4.8682e+10
1972-06-01,4.9236e+10
1972-07-01,4.9951e+10
1972-08-01,5.0523e+10
1972-09-01,5.1288e+10
1972-10-01,5.206e+10
1972-11-01,5.2673e+10
1972-12-01,5.3295e+10
1973-01-01,5.4011e+10
1973-02-01,5.4403e+10
1973-03-01,5.502e+10
1973-04-01,5.5844e+10
1973-05-01,5.6513e+10
1973-06-01,5.7183e+10
1973-07-01,5.8144e+10
1973-08-01,5.89e+10
1973-09-01,5.9707e+10
1973-10-01,6.0839e+10
1973-11-01,6.2243e+10
1973-12-01,6.3483e+10
1974-01-01,6.4662e+10
1974-02-01,6.5712e+10
1974-03-01,6.6839e+10
1974-04-01,6.796e+10
1974-05-01,6.9245e+10
1974-06-01,6.9817e+10
1974-07-01,7.0823e+10
1974-08-01,7.1729e+10
1974-09-01,7.2587e+10
1974-10-01,7.3491e+10
1974-11-01,7.3676e+10
1974-12-01,7.3845e+10
1975-01-01,7.5332e+10
1975-02-01,7.6817e+10
1975-03-01,7.8102e+10
1975-04-01,7.9067e+10
1975-05-01,7.991e+10
1975-06-01,8.0866e+10
1975-07-01,8.1828e+10
1975-08-01,8.3004e+10
1975-09-01,8.414e+10
1975-10-01,8.5462e+10
1975-11-01,8.6316e+10
1975-12-01,8.7292e+10
1976-01-01,8.7777e+10
1976-02-01,8.8904e+10
1976-03-01,8.9992e+10
1976-04-01,9.1164e+10
1976-05-01,9.2438e+10
1976-06-01,9.4001e+10
1976-07-01,9.5078e+10
1976-08-01,9.6302e+10
1976-09-01,9.7439e+10
1976-10-01,9.8835e+10
1976-11-01,1.00555e+11
1976-12-01,1.01891e+11
1977-01-01,1.03566e+11
1977-02-01,1.04743e+11
1977-03-01,1.06283e+11
1977-04-01,1.07599e+11
1977-05-01,1.08927e+11
1977-06-01,1.10491e+11
1977-07-01,1.11411e+11
1977-08-01,1.12593e+11
1977-09-01,1.13761e+11
1977-10-01,1.14871e+11
1977-11-01,1.163e+11
1977-12-01,1.17766e+11
1978-01-01,1.19017e+11
1978-02-01,1.2047e+11
1978-03-01,1.21763e+11
1978-04-01,1.23049e+11
1978-05-01,1.24527e+11
1978-06-01,1.25896e+11
1978-07-01,1.27552e+11
1978-08-01,1.292e+11
1978-09-01,1.30915e+11
1978-10-01,1.32363e+11
1978-11-01,1.35759e+11
1978-12-01,1.36686e+11
1979-01-01,1.38407e+11
1979-02-01,1.40108e+11
1979-03-01,1.41303e+11
1979-04-01,1.42866e+11
1979-05-01,1.45448e+11
1979-06-01,1.47548e+11
1979-07-01,1.49588e+11
1979-08-01,1.52011e+11
1979-09-01,1.53841e+11
1979-10-01,1.55939e+11
1979-11-01,1.59641e+11
1979-12-01,1.60977e+11
1980-01-01,1.63283e+11
1980-02-01,1.65294e+11
1980-03-01,1.67627e+11
1980-04-01,1.69729e+11
1980-05-01,1.71417e+11
1980-06-01,1.73182e+11
1980-07-01,1.75421e+11
1980-08-01,1.77112e+11
1980-09-01,1.79026e+11
1980-10-01,1.82058e+11
1980-11-01,1.86066e+11
1980-12-01,1.87681e+11
1981-01-01,1.89262e+11
1981-02-01,1.91675e+11
1981-03-01,1.94072e+11
1981-04-01,1.96489e+11
1981-05-01,1.97639e+11
1981-06-01,1.99874e+11
1981-07-01,2.03474e+11
1981-08-01,2.05444e+11
1981-09-01,2.07563e+11
1981-10-01,2.09499e+11
1981-11-01,2.07426e+11
1981-12-01,2.09772e+11
1982-01-01,2.11516e+11
1982-02-01,2.12608e+11
1982-03-01,2.14144e+11
1982-04-01,2.15544e+11
1982-05-01,2.17465e+11
1982-06-01,2.18747e+11
1982-07-01,2.19287e+11
1982-08-01,2.19821e+11
1982-09-01,2.21169e+11
1982-10-01,2.22462e+11
1982-11-01,2.24344e+11
1982-12-01,2.26488e+11
1983-01-01,2.28115e+11
1983-02-01,2.30187e+11
1983-03-01,2.31306e+11
1983-04-01,2.32649e+11
1983-05-01,2.324e+11
1983-06-01,2.34335e+11
1983-07-01,2.36139e+11
1983-08-01,2.37853e+11
1983-09-01,2.39215e+11
1983-10-01,2.40054e+11
1983-11-01,2.41397e+11
1983-12-01,2.41689e+11
1984-01-01,2.43035e+11
1984-02-01,2.44643e+11
1984-03-01,2.45808e+11
1984-04-01,2.47187e+11
1984-05-01,2.48908e+11
1984-06-01,2.5109e+11
1984-07-01,2.52686e+11
1984-08-01,2.54349e+11
1984-09-01,2.56119e+11
1984-10-01,2.58505e+11
1984-11-01,2.59624e+11
