"Date","LFEMTTFECAM647N"
1960-01-01,1508000
1960-02-01,1521000
1960-03-01,1543000
1960-04-01,1518000
1960-05-01,1587000
1960-06-01,1599000
1960-07-01,1607000
1960-08-01,1638000
1960-09-01,1635000
1960-10-01,1661000
1960-11-01,1644000
1960-12-01,1656000
1961-01-01,1609000
1961-02-01,1606000
1961-03-01,1600000
1961-04-01,1647000
1961-05-01,1690000
1961-06-01,1699000
1961-07-01,1708000
1961-08-01,1689000
1961-09-01,1689000
1961-10-01,1698000
1961-11-01,1701000
1961-12-01,1711000
1962-01-01,1652000
1962-02-01,1638000
1962-03-01,1686000
1962-04-01,1693000
1962-05-01,1720000
1962-06-01,1780000
1962-07-01,1783000
1962-08-01,1787000
1962-09-01,1768000
1962-10-01,1753000
1962-11-01,1761000
1962-12-01,1740000
1963-01-01,1683000
1963-02-01,1680000
1963-03-01,1697000
1963-04-01,1707000
1963-05-01,1749000
1963-06-01,1806000
1963-07-01,1862000
1963-08-01,1863000
1963-09-01,1866000
1963-10-01,1889000
1963-11-01,1872000
1963-12-01,1881000
1964-01-01,1827000
1964-02-01,1836000
1964-03-01,1870000
1964-04-01,1868000
1964-05-01,1907000
1964-06-01,1926000
1964-07-01,1957000
1964-08-01,1941000
1964-09-01,1944000
1964-10-01,1947000
1964-11-01,1959000
1964-12-01,1953000
1965-01-01,1903000
1965-02-01,1910000
1965-03-01,1940000
1965-04-01,1973000
1965-05-01,2014000
1965-06-01,2056000
1965-07-01,2080000
1965-08-01,2097000
1965-09-01,2038000
1965-10-01,2077000
1965-11-01,2060000
1965-12-01,2089000
1966-01-01,2107000
1966-02-01,2122000
1966-03-01,2152000
1966-04-01,2195000
1966-05-01,2219000
1966-06-01,2291000
1966-07-01,2330000
1966-08-01,2347000
1966-09-01,2371000
1966-10-01,2378000
1966-11-01,2330000
1966-12-01,2360000
1967-01-01,2227000
1967-02-01,2272000
1967-03-01,2325000
1967-04-01,2297000
1967-05-01,2364000
1967-06-01,2432000
1967-07-01,2476000
1967-08-01,2463000
1967-09-01,2443000
1967-10-01,2438000
1967-11-01,2480000
1967-12-01,2491000
1968-01-01,2332000
1968-02-01,2367000
1968-03-01,2362000
1968-04-01,2379000
1968-05-01,2412000
1968-06-01,2507000
1968-07-01,2537000
1968-08-01,2529000
1968-09-01,2565000
1968-10-01,2585000
1968-11-01,2633000
1968-12-01,2592000
1969-01-01,2466000
1969-02-01,2527000
1969-03-01,2511000
1969-04-01,2576000
1969-05-01,2592000
1969-06-01,2644000
1969-07-01,2675000
1969-08-01,2640000
1969-09-01,2638000
1969-10-01,2648000
1969-11-01,2646000
1969-12-01,2655000
1970-01-01,2507000
1970-02-01,2543000
1970-03-01,2556000
1970-04-01,2615000
1970-05-01,2675000
1970-06-01,2738000
1970-07-01,2741000
1970-08-01,2685000
1970-09-01,2704000
1970-10-01,2718000
1970-11-01,2729000
1970-12-01,2704000
1971-01-01,2621000
1971-02-01,2667000
1971-03-01,2663000
1971-04-01,2651000
1971-05-01,2712000
1971-06-01,2802000
1971-07-01,2873000
1971-08-01,2814000
1971-09-01,2823000
1971-10-01,2878000
1971-11-01,2875000
1971-12-01,2916000
1972-01-01,2734000
1972-02-01,2754000
1972-03-01,2779000
1972-04-01,2777000
1972-05-01,2805000
1972-06-01,2928000
1972-07-01,2991000
1972-08-01,2961000
1972-09-01,2921000
1972-10-01,2937000
1972-11-01,2986000
1972-12-01,3041000
1973-01-01,2871000
1973-02-01,2960000
1973-03-01,2976000
1973-04-01,2998000
1973-05-01,3062000
1973-06-01,3182000
1973-07-01,3158000
1973-08-01,3156000
1973-09-01,3099000
1973-10-01,3139000
1973-11-01,3192000
1973-12-01,3206000
1974-01-01,3076000
1974-02-01,3109000
1974-03-01,3118000
1974-04-01,3159000
1974-05-01,3212000
1974-06-01,3323000
1974-07-01,3389000
1974-08-01,3369000
1974-09-01,3267000
1974-10-01,3335000
1974-11-01,3332000
1974-12-01,3377000
1975-01-01,3196000
1975-02-01,3229000
1975-03-01,3241000
1975-04-01,3284000
1975-05-01,3365000
