"Date","CANSLMNTO02MLSAM"
1960-01-01,1969400000
1960-02-01,1929300000
1960-03-01,1967900000
1960-04-01,1929200000
1960-05-01,1933700000
1960-06-01,1925100000
1960-07-01,1923800000
1960-08-01,1966100000
1960-09-01,1963200000
1960-10-01,1944100000
1960-11-01,1.958e+09
1960-12-01,1.956e+09
1961-01-01,1873500000
1961-02-01,1.888e+09
1961-03-01,1858600000
1961-04-01,1899100000
1961-05-01,1897500000
1961-06-01,1949600000
1961-07-01,1990200000
1961-08-01,2045800000
1961-09-01,2014900000
1961-10-01,2.015e+09
1961-11-01,2030900000
1961-12-01,2029200000
1962-01-01,2037500000
1962-02-01,2033100000
1962-03-01,2100700000
1962-04-01,2.102e+09
1962-05-01,2149700000
1962-06-01,2174800000
1962-07-01,2186400000
1962-08-01,2193800000
1962-09-01,2201600000
1962-10-01,2238900000
1962-11-01,2214800000
1962-12-01,2166800000
1963-01-01,2212800000
1963-02-01,2255200000
1963-03-01,2212800000
1963-04-01,2.257e+09
1963-05-01,2339700000
1963-06-01,2300400000
1963-07-01,2366600000
1963-08-01,2314700000
1963-09-01,2405500000
1963-10-01,2.415e+09
1963-11-01,2428700000
1963-12-01,2469600000
1964-01-01,2542400000
1964-02-01,2522900000
1964-03-01,2536200000
1964-04-01,2550100000
1964-05-01,2507200000
1964-06-01,2546800000
1964-07-01,2.514e+09
1964-08-01,2562200000
1964-09-01,2614600000
1964-10-01,2591800000
1964-11-01,2628300000
1964-12-01,2632400000
1965-01-01,2640700000
1965-02-01,2637400000
1965-03-01,2746400000
1965-04-01,2751500000
1965-05-01,2779600000
1965-06-01,2797200000
1965-07-01,2866300000
1965-08-01,2855500000
1965-09-01,2839900000
1965-10-01,2920200000
1965-11-01,2973700000
1965-12-01,3040400000
1966-01-01,3030900000
1966-02-01,3084900000
1966-03-01,3103200000
1966-04-01,3063200000
1966-05-01,3096100000
1966-06-01,3087500000
1966-07-01,3093400000
1966-08-01,3.128e+09
1966-09-01,3099800000
1966-10-01,3162400000
1966-11-01,3157300000
1966-12-01,3212300000
1967-01-01,3205700000
1967-02-01,3193100000
1967-03-01,3.136e+09
1967-04-01,3228800000
1967-05-01,3200200000
1967-06-01,3245400000
1967-07-01,3258700000
1967-08-01,3357400000
1967-09-01,3300400000
1967-10-01,3264500000
1967-11-01,3280700000
1967-12-01,3398100000
1968-01-01,3342600000
1968-02-01,3272700000
1968-03-01,3334200000
1968-04-01,3408200000
1968-05-01,3465500000
1968-06-01,3467300000
1968-07-01,3513700000
1968-08-01,3498500000
1968-09-01,3617100000
1968-10-01,3688300000
1968-11-01,3684600000
1968-12-01,3637200000
1969-01-01,3.722e+09
1969-02-01,3791800000
1969-03-01,3856800000
1969-04-01,3737100000
1969-05-01,3827300000
1969-06-01,3837900000
1969-07-01,3868500000
1969-08-01,3.837e+09
1969-09-01,3846900000
1969-10-01,3873300000
1969-11-01,3872900000
1969-12-01,3874900000
1970-01-01,3841500000
1970-02-01,3943100000
1970-03-01,3804500000
1970-04-01,3874400000
1970-05-01,3877100000
1970-06-01,3886800000
1970-07-01,3901400000
1970-08-01,3933200000
1970-09-01,3851500000
1970-10-01,3829200000
1970-11-01,3824100000
1970-12-01,3859300000
1971-01-01,3.902e+09
1971-02-01,4046500000
1971-03-01,4044600000
1971-04-01,4.065e+09
1971-05-01,4142400000
1971-06-01,4171400000
1971-07-01,4084400000
1971-08-01,4417100000
1971-09-01,4342900000
1971-10-01,4335400000
1971-11-01,4355600000
1971-12-01,4358500000
1972-01-01,4484800000
1972-02-01,4444800000
1972-03-01,4461700000
1972-04-01,4622400000
1972-05-01,4614600000
1972-06-01,4689600000
1972-07-01,4486700000
1972-08-01,4663700000
1972-09-01,4812700000
1972-10-01,4889700000
1972-11-01,4953400000
1972-12-01,5035100000
1973-01-01,5108100000
1973-02-01,5230100000
1973-03-01,5403200000
1973-04-01,5350200000
1973-05-01,5371900000
1973-06-01,5475100000
1973-07-01,5622700000
1973-08-01,5424100000
1973-09-01,5677400000
1973-10-01,5890500000
1973-11-01,6036200000
1973-12-01,6154100000
1974-01-01,6.453e+09
1974-02-01,6.595e+09
1974-03-01,6640900000
1974-04-01,6619900000
1974-05-01,6804800000
1974-06-01,6859300000
1974-07-01,6916600000
1974-08-01,6991300000
1974-09-01,7110800000
1974-10-01,7150900000
1974-11-01,7171900000
1974-12-01,7140500000
1975-01-01,6940200000
1975-02-01,7.135e+09
1975-03-01,7015500000
1975-04-01,7202300000
1975-05-01,7189600000
1975-06-01,7314600000
1975-07-01,7484300000
1975-08-01,7630200000
1975-09-01,7505600000
1975-10-01,7.563e+09
1975-11-01,7713400000
1975-12-01,7838400000
1976-01-01,7721900000
1976-02-01,7851700000
1976-03-01,8056600000
1976-04-01,8.195e+09
1976-05-01,8269700000
1976-06-01,8137500000
1976-07-01,7993300000
1976-08-01,8.543e+09
1976-09-01,8183600000
1976-10-01,8095400000
1976-11-01,8387400000
1976-12-01,8590200000
1977-01-01,8616900000
1977-02-01,8781200000
1977-03-01,8973600000
1977-04-01,8830600000
1977-05-01,8927700000
1977-06-01,9080700000
1977-07-01,9167700000
1977-08-01,9104700000
1977-09-01,9265900000
1977-10-01,9402900000
1977-11-01,9339800000
1977-12-01,9.517e+09
1978-01-01,9673700000
1978-02-01,9918400000
1978-03-01,10002600000
1978-04-01,10449900000
1978-05-01,10531400000
1978-06-01,10874700000
1978-07-01,10767400000
1978-08-01,10733500000
1978-09-01,11353500000
1978-10-01,11474100000
1978-11-01,11694200000
1978-12-01,11925100000
1979-01-01,12020100000
1979-02-01,12090200000
1979-03-01,12273900000
1979-04-01,12151300000
1979-05-01,12520600000
1979-06-01,12645400000
1979-07-01,1.2887e+10
1979-08-01,13269100000
1979-09-01,13177800000
1979-10-01,1.32e+10
1979-11-01,13199200000
1979-12-01,13063800000
1980-01-01,13631799990
1980-02-01,13739599990
1980-03-01,13814099990
1980-04-01,1.3387e+10
1980-05-01,13379099990
1980-06-01,13306899990
1980-07-01,13690199990
1980-08-01,13744099990
1980-09-01,14370599990
1980-10-01,1.4645e+10
1980-11-01,14911599990
1980-12-01,15147399990
1981-01-01,15284277000
1981-02-01,15522395000
1981-03-01,15499738000
1981-04-01,16177396000
1981-05-01,16219164000
1981-06-01,16238601000
1981-07-01,16542577000
1981-08-01,15627592000
1981-09-01,16064785000
1981-10-01,16172822000
1981-11-01,1.5703e+10
1981-12-01,15637858000
1982-01-01,15595200000
1982-02-01,16161896000
1982-03-01,16104768000
1982-04-01,15504957000
1982-05-01,15615230000
1982-06-01,15686010000
1982-07-01,15529497000
1982-08-01,15643253000
1982-09-01,15755686000
1982-10-01,15044890000
1982-11-01,15189620000
1982-12-01,15540450000
1983-01-01,15728789000
1983-02-01,15943304000
1983-03-01,16012065000
1983-04-01,16362671000
1983-05-01,16560449000
1983-06-01,16974200000
1983-07-01,17017825000
1983-08-01,16709504000
1983-09-01,17551368000
1983-10-01,17830087000
1983-11-01,18025812000
1983-12-01,18302652000
1984-01-01,18522586000
1984-02-01,18515821000
1984-03-01,18713262000
1984-04-01,18649734000
1984-05-01,19171034000
1984-06-01,19135253000
1984-07-01,19337016000
1984-08-01,19730161000
1984-09-01,19396204000
1984-10-01,19417324000
1984-11-01,19864095000
1984-12-01,19396014000
1985-01-01,19675348000
1985-02-01,19761183000
1985-03-01,20120782000
