"Date","LFUN25FECAM647S"
1976-01-01,152400
1976-02-01,149300
1976-03-01,137600
1976-04-01,152100
1976-05-01,155300
1976-06-01,146900
1976-07-01,163300
1976-08-01,165400
1976-09-01,164600
1976-10-01,158900
1976-11-01,160400
1976-12-01,160600
1977-01-01,177700
1977-02-01,168700
1977-03-01,170300
1977-04-01,173300
1977-05-01,171300
1977-06-01,176500
1977-07-01,173900
1977-08-01,184900
1977-09-01,188800
1977-10-01,200400
1977-11-01,200200
1977-12-01,203100
1978-01-01,199900
1978-02-01,203800
1978-03-01,206000
1978-04-01,196200
1978-05-01,208900
1978-06-01,208400
1978-07-01,211700
1978-08-01,211400
1978-09-01,208800
1978-10-01,206400
1978-11-01,210400
1978-12-01,209700
1979-01-01,206300
1979-02-01,202500
1979-03-01,203600
1979-04-01,200600
1979-05-01,193800
1979-06-01,192900
1979-07-01,195500
1979-08-01,184300
1979-09-01,187700
1979-10-01,201100
1979-11-01,187500
1979-12-01,189200
1980-01-01,194300
1980-02-01,197000
1980-03-01,192300
1980-04-01,198300
1980-05-01,201700
1980-06-01,194100
1980-07-01,190500
1980-08-01,197300
1980-09-01,192500
1980-10-01,184800
1980-11-01,186400
1980-12-01,186900
1981-01-01,203300
1981-02-01,200400
1981-03-01,199600
1981-04-01,194100
1981-05-01,194500
1981-06-01,201100
1981-07-01,204900
1981-08-01,207900
1981-09-01,236800
1981-10-01,252100
1981-11-01,246500
1981-12-01,246100
1982-01-01,222000
1982-02-01,239400
1982-03-01,250800
1982-04-01,263800
1982-05-01,278400
1982-06-01,287600
1982-07-01,3e+05
1982-08-01,297500
1982-09-01,306100
1982-10-01,325700
1982-11-01,337100
1982-12-01,349400
1983-01-01,348200
1983-02-01,349500
1983-03-01,347000
1983-04-01,339900
1983-05-01,333400
1983-06-01,332500
1983-07-01,322700
1983-08-01,316300
1983-09-01,313100
1983-10-01,317900
1983-11-01,313900
1983-12-01,325100
1984-01-01,328500
1984-02-01,339500
1984-03-01,339900
1984-04-01,345200
1984-05-01,355200
1984-06-01,352400
1984-07-01,350100
1984-08-01,348400
1984-09-01,379700
1984-10-01,369700
1984-11-01,371600
1984-12-01,363900
1985-01-01,336300
1985-02-01,351000
1985-03-01,355500
1985-04-01,356300
1985-05-01,358700
1985-06-01,354000
1985-07-01,354100
1985-08-01,352000
1985-09-01,350300
1985-10-01,347200
1985-11-01,366400
1985-12-01,348600
1986-01-01,336300
1986-02-01,336100
1986-03-01,333300
1986-04-01,340800
1986-05-01,324000
1986-06-01,341200
1986-07-01,346100
1986-08-01,340400
1986-09-01,329700
1986-10-01,338600
1986-11-01,339500
1986-12-01,342500
1987-01-01,352900
1987-02-01,351600
1987-03-01,356100
1987-04-01,351200
1987-05-01,337500
1987-06-01,340300
1987-07-01,336900
1987-08-01,330100
1987-09-01,337000
1987-10-01,326400
1987-11-01,318100
1987-12-01,318100
1988-01-01,324400
1988-02-01,323000
1988-03-01,314600
1988-04-01,312200
1988-05-01,314000
1988-06-01,323600
1988-07-01,327600
1988-08-01,334800
1988-09-01,331500
1988-10-01,324700
1988-11-01,337100
1988-12-01,304100
1989-01-01,316700
1989-02-01,318800
1989-03-01,329500
1989-04-01,337300
1989-05-01,338500
1989-06-01,320500
1989-07-01,326600
1989-08-01,322500
1989-09-01,325900
1989-10-01,309900
1989-11-01,322000
1989-12-01,329600
1990-01-01,335100
1990-02-01,336900
1990-03-01,303900
1990-04-01,319200
1990-05-01,331800
1990-06-01,328200
