"Date","LFUN24TTCAM647S"
1976-01-01,349800
1976-02-01,348100
1976-03-01,339500
1976-04-01,343000
1976-05-01,349100
1976-06-01,355200
1976-07-01,386000
1976-08-01,356600
1976-09-01,347100
1976-10-01,364600
1976-11-01,370000
1976-12-01,382000
1977-01-01,380700
1977-02-01,400400
1977-03-01,389100
1977-04-01,403100
1977-05-01,397500
1977-06-01,396600
1977-07-01,431000
1977-08-01,429700
1977-09-01,438500
1977-10-01,439100
1977-11-01,433800
1977-12-01,425400
1978-01-01,419900
1978-02-01,417900
1978-03-01,430400
1978-04-01,433200
1978-05-01,439700
1978-06-01,431500
1978-07-01,430900
1978-08-01,434000
1978-09-01,436800
1978-10-01,417200
1978-11-01,437000
1978-12-01,437500
1979-01-01,433900
1979-02-01,433400
1979-03-01,415400
1979-04-01,431600
1979-05-01,407200
1979-06-01,397200
1979-07-01,388700
1979-08-01,378200
1979-09-01,377500
1979-10-01,390900
1979-11-01,393600
1979-12-01,394300
1980-01-01,405900
1980-02-01,401100
1980-03-01,424100
1980-04-01,423300
1980-05-01,426300
1980-06-01,442900
1980-07-01,430700
1980-08-01,422800
1980-09-01,408700
1980-10-01,407400
1980-11-01,392000
1980-12-01,405200
1981-01-01,408700
1981-02-01,413800
1981-03-01,418300
1981-04-01,397600
1981-05-01,403000
1981-06-01,403700
1981-07-01,391300
1981-08-01,379400
1981-09-01,453500
1981-10-01,445400
1981-11-01,461100
1981-12-01,460400
1982-01-01,475500
1982-02-01,481700
1982-03-01,497000
1982-04-01,520700
1982-05-01,543200
1982-06-01,575700
1982-07-01,634100
1982-08-01,628700
1982-09-01,633800
1982-10-01,653800
1982-11-01,633400
1982-12-01,646100
1983-01-01,626100
1983-02-01,625600
1983-03-01,624000
1983-04-01,634500
1983-05-01,626800
1983-06-01,614300
1983-07-01,587500
1983-08-01,593100
1983-09-01,564700
1983-10-01,555600
1983-11-01,562500
1983-12-01,560100
1984-01-01,553300
1984-02-01,545400
1984-03-01,536500
1984-04-01,551600
1984-05-01,562500
1984-06-01,533900
1984-07-01,530400
1984-08-01,523500
1984-09-01,541400
1984-10-01,515700
1984-11-01,523000
1984-12-01,505200
1985-01-01,474100
1985-02-01,480800
