"Date","LRUN55TTCAM156N"
1976-01-01,5.26636225266362
1976-02-01,5.26688949660691
1976-03-01,5.32585844428872
1976-04-01,4.76708535258629
1976-05-01,3.7514886859865
1976-06-01,3.13393121119543
1976-07-01,3.6946535040563
1976-08-01,3.38917400987702
1976-09-01,3.8951095798641
1976-10-01,3.82098171318576
1976-11-01,3.87687512176115
1976-12-01,4.47688564476886
1977-01-01,5.59803921568627
1977-02-01,6.20811982656681
1977-03-01,5.90539614141612
1977-04-01,6.19010365734402
1977-05-01,4.78914202617547
1977-06-01,4.5472287275566
1977-07-01,4.39720442632499
1977-08-01,4.43007431715085
1977-09-01,4.30571538166475
1977-10-01,4.5034751975626
1977-11-01,5.4864036767522
1977-12-01,5.98489250435793
1978-01-01,6.00947306098283
1978-02-01,6.48996297018125
1978-03-01,7.32717119198922
1978-04-01,6.95551926217696
1978-05-01,5.52228875582169
1978-06-01,5.02560212402807
1978-07-01,5.0927678909504
1978-08-01,4.73550690594757
1978-09-01,5.13415653142698
1978-10-01,5.04570042902444
1978-11-01,4.69924812030075
1978-12-01,5.42504009812246
1979-01-01,5.77861163227017
1979-02-01,5.46468401486989
1979-03-01,6.32436390261761
1979-04-01,5.92666545652568
1979-05-01,4.67984763286777
1979-06-01,4.29564118761845
1979-07-01,3.6353621591848
1979-08-01,4.05219149131673
1979-09-01,3.89895661724327
1979-10-01,4.09378148182068
1979-11-01,4.03929128798311
1979-12-01,4.70501065110679
1980-01-01,5.5296590805228
1980-02-01,5.60577010864603
1980-03-01,6.14687216681777
1980-04-01,5.66450789017605
1980-05-01,4.78026905829596
1980-06-01,3.78368569095363
1980-07-01,3.80788712011577
1980-08-01,4.28791587344756
1980-09-01,3.6329045116869
1980-10-01,4.19949856733524
1980-11-01,4.02210345139958
1980-12-01,4.73286611449895
1981-01-01,5.21514788537732
1981-02-01,5.2417164584465
1981-03-01,5.42027417027417
1981-04-01,5.44205387814138
1981-05-01,4.00608065814182
1981-06-01,4.1737420681026
1981-07-01,3.96341463414634
1981-08-01,3.71816487709646
1981-09-01,4.21984891898932
1981-10-01,3.83232482679996
1981-11-01,4.33368495077356
1981-12-01,5.37910289303725
1982-01-01,6.0578984989278
1982-02-01,6.07660640773224
1982-03-01,6.96557245796637
1982-04-01,6.76478411206667
1982-05-01,6.25493464338977
1982-06-01,6.53434041805726
1982-07-01,6.86968838526912
1982-08-01,6.77382319173364
1982-09-01,7.47116392869626
1982-10-01,7.79527559055118
1982-11-01,8.63711862925081
1982-12-01,8.69144064811554
1983-01-01,9.36751530204914
1983-02-01,9.56705757869676
1983-03-01,10.1363159734359
1983-04-01,9.79648154536047
1983-05-01,8.65707640623654
1983-06-01,8.2444733420026
1983-07-01,7.78110680296087
1983-08-01,7.5981463670543
1983-09-01,7.06310049337834
1983-10-01,6.99017410791243
1983-11-01,7.35847405722285
1983-12-01,8.50971169758732
1984-01-01,8.4149755073478
1984-02-01,8.22025052192067
1984-03-01,8.54284248332478
1984-04-01,8.66039851634606
1984-05-01,8.00103128222756
1984-06-01,7.33544466318582
1984-07-01,7.41322169893598
1984-08-01,7.34557595993322
1984-09-01,8.3419510513616
1984-10-01,7.91348382113123
1984-11-01,8.71670702179176
1984-12-01,8.74092221541692
1985-01-01,9.12964090079124
1985-02-01,9.1340348456098
1985-03-01,10.0988580194307
1985-04-01,10.0391356134082
1985-05-01,8.4496190394658
1985-06-01,7.29345217689407
1985-07-01,7.39817838116515
1985-08-01,7.69031366110775
1985-09-01,7.4083634486319
1985-10-01,7.94583546244251
1985-11-01,7.81990521327014
1985-12-01,8.24072491024107
1986-01-01,8.02571006688092
1986-02-01,8.55863612881006
1986-03-01,8.85363357215967
1986-04-01,8.12778348749572
1986-05-01,7.3513145579852
1986-06-01,6.60490650197289
1986-07-01,6.02305225756131
1986-08-01,7.59825327510917
1986-09-01,6.91632635328873
1986-10-01,6.59063207382901
1986-11-01,6.88450113576795
1986-12-01,7.83798001052078
1987-01-01,8.33845883490027
1987-02-01,7.66227004512322
1987-03-01,8.74753197699373
1987-04-01,8.65310984429507
1987-05-01,7.17830253251198
1987-06-01,6.53446317812527
1987-07-01,6.55595165637771
1987-08-01,6.43417611159547
1987-09-01,5.94160833191053
1987-10-01,5.98114824335905
1987-11-01,6.26724137931034
1987-12-01,7.10144927536232
1988-01-01,7.36504635646824
1988-02-01,7.50538560965101
1988-03-01,7.81182934157438
1988-04-01,6.97356036621888
1988-05-01,6.30027944787874
1988-06-01,5.55365978501962
1988-07-01,5.81325559461545
1988-08-01,6
1988-09-01,5.61919892967639
1988-10-01,4.87453374025093
1988-11-01,5.79610143177506
1988-12-01,6.35057223991051
1989-01-01,6.6557883888698
1989-02-01,7.24020442930153
1989-03-01,7.59751848389564
1989-04-01,7.6158940397351
1989-05-01,6.07621009268795
1989-06-01,5.99066610097582
1989-07-01,6.01807176068076
1989-08-01,5.7228122531379
1989-09-01,5.69119523606976
1989-10-01,5.5327868852459
1989-11-01,6.13922424865143
1989-12-01,6.01050546801
1990-01-01,6.81313044964951
1990-02-01,6.72471764807311
1990-03-01,6.70863154264034
1990-04-01,6.14740082079343
1990-05-01,5.82232893157263
1990-06-01,5.30980993778232
1990-07-01,4.99224004138645
1990-08-01,5.44461512203448
1990-09-01,4.99790004199916
1990-10-01,5.44730599796679
1990-11-01,6.93187638722896
1990-12-01,7.80178326474623
1991-01-01,8.5308469850122
1991-02-01,9.19200695047784
1991-03-01,9.85263879369431
1991-04-01,9.2062403565918
1991-05-01,8.55693154454764
