"Date","CANCP040000IXNBM"
2014-12-01,100
2015-01-01,100.0872638
2015-02-01,100.0019277
2015-03-01,100.1458832
2015-04-01,99.9277108
2015-05-01,100.0417396
2015-06-01,100.1499453
2015-07-01,100.369814
2015-08-01,100.4092527
2015-09-01,100.3718054
2015-10-01,100.6129342
2015-11-01,100.7025692
2015-12-01,100.7208868
2016-01-01,100.8270072
2016-02-01,100.905148
2016-03-01,100.9864513
2016-04-01,101.0568209
2016-05-01,101.2669137
2016-06-01,101.5863729
2016-07-01,101.8752022
2016-08-01,102.0438611
2016-09-01,102.0337115
2016-10-01,102.5877387
2016-11-01,102.7317122
2016-12-01,102.8
2017-01-01,103.2
2017-02-01,103
2017-03-01,103.1
2017-04-01,103.3
2017-05-01,103
2017-06-01,103.1
2017-07-01,103
2017-08-01,103.2
2017-09-01,103.2
2017-10-01,103.7
2017-11-01,103.9
2017-12-01,104.1
2018-01-01,104.5
2018-02-01,104.7
2018-03-01,104.7
2018-04-01,104.9
2018-05-01,104.9
2018-06-01,105.1
2018-07-01,105.4
2018-08-01,105.5
2018-09-01,104.9
2018-10-01,106.1
2018-11-01,106.3
2018-12-01,106.3
2019-01-01,106.9
2019-02-01,107.1
2019-03-01,107.4
2019-04-01,107.6
2019-05-01,107.7
2019-06-01,107.5
2019-07-01,107.7
2019-08-01,108
2019-09-01,107.7
2019-10-01,108.8
2019-11-01,108.9
2019-12-01,109.2
2020-01-01,109.3
2020-02-01,109.4
2020-03-01,109.2
2020-04-01,108.8
2020-05-01,108.4
2020-06-01,109
2020-07-01,108.992661663235
2020-08-01,109.3
2020-09-01,109.6
2020-10-01,110.4
2020-11-01,110.7
2020-12-01,110.7
2021-01-01,110.4
2021-02-01,110.7
2021-03-01,111.5
2021-04-01,112
2021-05-01,112.8
2021-06-01,113.3
2021-07-01,113.7
2021-08-01,113.9
2021-09-01,114.2
2021-10-01,115
2021-11-01,115.4
2021-12-01,115.8
2022-01-01,116.3
2022-02-01,117
2022-03-01,117.9
2022-04-01,119.1
2022-05-01,120.1
2022-06-01,120.6
2022-07-01,121.3
2022-08-01,121.3
2022-09-01,122
2022-10-01,123.1
2022-11-01,124.1
2022-12-01,124.4
2023-01-01,124.7
2023-02-01,124.9
2023-03-01,125.4
2023-04-01,126.2
2023-05-01,126.8
2023-06-01,127.2
2023-07-01,128.2
2023-08-01,129.2
2023-09-01,129.9
2023-10-01,131.2
