"Date","LFWATTFECAM647N"
1976-01-01,8517700
1976-02-01,8538800
1976-03-01,8559100
1976-04-01,8579400
1976-05-01,8599700
1976-06-01,8620000
1976-07-01,8640300
1976-08-01,8660700
1976-09-01,8676300
1976-10-01,8691300
1976-11-01,8705800
1976-12-01,8719900
1977-01-01,8737000
1977-02-01,8753700
1977-03-01,8767600
1977-04-01,8783000
1977-05-01,8801500
1977-06-01,8816000
1977-07-01,8830700
1977-08-01,8849400
1977-09-01,8864500
1977-10-01,8878500
1977-11-01,8892500
1977-12-01,8905900
1978-01-01,8922000
1978-02-01,8938200
1978-03-01,8951600
1978-04-01,8966000
1978-05-01,8984000
1978-06-01,8997600
1978-07-01,9010500
1978-08-01,9027500
1978-09-01,9041400
1978-10-01,9054900
1978-11-01,9068400
1978-12-01,9081400
1979-01-01,9097600
1979-02-01,9113900
1979-03-01,9127000
1979-04-01,9144300
1979-05-01,9158000
1979-06-01,9172300
1979-07-01,9189400
1979-08-01,9204200
1979-09-01,9218900
1979-10-01,9238100
1979-11-01,9253500
1979-12-01,9268400
1980-01-01,9286300
1980-02-01,9301400
1980-03-01,9316000
1980-04-01,9333800
1980-05-01,9349100
1980-06-01,9368600
1980-07-01,9382700
1980-08-01,9397500
1980-09-01,9415800
1980-10-01,9430300
1980-11-01,9443900
1980-12-01,9457300
1981-01-01,9472700
1981-02-01,9488100
1981-03-01,9501100
1981-04-01,9514300
1981-05-01,9527600
1981-06-01,9544100
1981-07-01,9555900
1981-08-01,9568100
1981-09-01,9582700
1981-10-01,9595000
1981-11-01,9606700
1981-12-01,9618300
1982-01-01,9632000
1982-02-01,9645400
1982-03-01,9656900
1982-04-01,9668300
1982-05-01,9679800
1982-06-01,9694300
1982-07-01,9706500
1982-08-01,9720100
1982-09-01,9730800
1982-10-01,9741500
1982-11-01,9752000
1982-12-01,9762200
1983-01-01,9773700
1983-02-01,9785500
1983-03-01,9795400
1983-04-01,9805300
1983-05-01,9817800
1983-06-01,9827400
1983-07-01,9836500
1983-08-01,9848500
1983-09-01,9858300
1983-10-01,9867900
1983-11-01,9878000
1983-12-01,9887500
1984-01-01,9898700
1984-02-01,9910400
1984-03-01,9919700
1984-04-01,9931600
1984-05-01,9941900
1984-06-01,9952400
1984-07-01,9965200
1984-08-01,9975200
1984-09-01,9985500
1984-10-01,9998100
1984-11-01,10008000
1984-12-01,10017500
1985-01-01,10028600
1985-02-01,10037900
1985-03-01,10047500
1985-04-01,10059400
1985-05-01,10069700
1985-06-01,10080000
1985-07-01,10092100
1985-08-01,10102800
1985-09-01,10116200
1985-10-01,10126700
1985-11-01,10137300
1985-12-01,10147000
1986-01-01,10159100
1986-02-01,10168600
1986-03-01,10178200
1986-04-01,10190800
1986-05-01,10201800
1986-06-01,10215200
1986-07-01,10224800
1986-08-01,10234800
1986-09-01,10246900
1986-10-01,10257000
