"Date","LFUN25TTCAM647N"
1976-01-01,381400
1976-02-01,378500
1976-03-01,358800
1976-04-01,376300
1976-05-01,321500
1976-06-01,294100
1976-07-01,308500
1976-08-01,330200
1976-09-01,314400
1976-10-01,320000
1976-11-01,331600
1976-12-01,351400
1977-01-01,431300
1977-02-01,438200
1977-03-01,463300
1977-04-01,453800
1977-05-01,380600
1977-06-01,351300
1977-07-01,343400
1977-08-01,379300
1977-09-01,372600
1977-10-01,362500
1977-11-01,386600
1977-12-01,420100
1978-01-01,484200
1978-02-01,493200
1978-03-01,521900
1978-04-01,505500
1978-05-01,446500
1978-06-01,403400
1978-07-01,390700
1978-08-01,430700
1978-09-01,408400
1978-10-01,384700
1978-11-01,412400
1978-12-01,424600
1979-01-01,500100
1979-02-01,482200
1979-03-01,498900
1979-04-01,474000
1979-05-01,404200
1979-06-01,365400
1979-07-01,348100
1979-08-01,372000
1979-09-01,355500
1979-10-01,362200
1979-11-01,374900
1979-12-01,387300
1980-01-01,472100
1980-02-01,485100
1980-03-01,480300
1980-04-01,477900
1980-05-01,437000
1980-06-01,385300
1980-07-01,376700
1980-08-01,405600
1980-09-01,397400
1980-10-01,367400
1980-11-01,395500
1980-12-01,403500
1981-01-01,483100
1981-02-01,473900
1981-03-01,491800
1981-04-01,457500
1981-05-01,423300
1981-06-01,395200
1981-07-01,392300
1981-08-01,409800
1981-09-01,466300
1981-10-01,476100
1981-11-01,479800
1981-12-01,532300
1982-01-01,575800
1982-02-01,598300
1982-03-01,651900
1982-04-01,672100
1982-05-01,646700
1982-06-01,649700
1982-07-01,673300
1982-08-01,733400
1982-09-01,736900
1982-10-01,765800
1982-11-01,817200
1982-12-01,855700
1983-01-01,926500
1983-02-01,920200
1983-03-01,937900
1983-04-01,892800
1983-05-01,816300
1983-06-01,783600
1983-07-01,742500
1983-08-01,757900
1983-09-01,715600
1983-10-01,704900
1983-11-01,725000
1983-12-01,751600
1984-01-01,842100
1984-02-01,853300
1984-03-01,903500
1984-04-01,867100
1984-05-01,823600
1984-06-01,774300
1984-07-01,735200
1984-08-01,792800
1984-09-01,803200
1984-10-01,778600
1984-11-01,810300
1984-12-01,800100
1985-01-01,871500
1985-02-01,869800
1985-03-01,914000
1985-04-01,851800
1985-05-01,773800
1985-06-01,751100
1985-07-01,731300
1985-08-01,759500
1985-09-01,712000
1985-10-01,720600
1985-11-01,752400
1985-12-01,739100
1986-01-01,810800
1986-02-01,786100
1986-03-01,827800
1986-04-01,796800
1986-05-01,705400
1986-06-01,694600
1986-07-01,708500
1986-08-01,730700
1986-09-01,688400
1986-10-01,685200
1986-11-01,718900
1986-12-01,730400
1987-01-01,829300
1987-02-01,817600
