"Date","LFUN55TTCAM647N"
1976-01-01,51900
1976-02-01,52000
1976-03-01,53200
1976-04-01,48200
1976-05-01,37800
1976-06-01,31800
1976-07-01,37800
1976-08-01,35000
1976-09-01,40700
1976-10-01,39700
1976-11-01,39800
1976-12-01,46000
1977-01-01,57100
1977-02-01,63000
1977-03-01,60300
1977-04-01,63300
1977-05-01,49400
1977-06-01,46600
1977-07-01,45300
1977-08-01,45900
1977-09-01,44900
1977-10-01,47300
1977-11-01,57300
1977-12-01,61800
1978-01-01,60900
1978-02-01,66600
1978-03-01,76100
1978-04-01,72400
1978-05-01,58100
1978-06-01,53000
1978-07-01,53800
1978-08-01,50400
1978-09-01,55300
1978-10-01,54100
1978-11-01,50000
1978-12-01,57500
1979-01-01,61600
1979-02-01,58800
1979-03-01,69100
1979-04-01,65300
1979-05-01,51600
1979-06-01,47600
1979-07-01,39600
1979-08-01,44100
1979-09-01,42600
1979-10-01,44700
1979-11-01,44000
1979-12-01,50800
1980-01-01,60500
1980-02-01,61400
1980-03-01,67800
1980-04-01,62100
1980-05-01,53300
1980-06-01,41700
1980-07-01,42100
1980-08-01,47300
1980-09-01,40100
1980-10-01,46900
1980-11-01,44400
1980-12-01,52000
1981-01-01,56600
1981-02-01,57900
1981-03-01,60100
1981-04-01,60200
1981-05-01,44800
1981-06-01,46700
1981-07-01,44200
1981-08-01,41900
1981-09-01,48600
1981-10-01,43700
1981-11-01,49300
1981-12-01,60800
1982-01-01,67800
1982-02-01,67900
1982-03-01,78300
1982-04-01,76300
1982-05-01,71300
1982-06-01,74400
1982-07-01,77600
1982-08-01,76700
1982-09-01,85500
1982-10-01,89100
1982-11-01,98800
1982-12-01,98700
1983-01-01,105600
1983-02-01,108500
1983-03-01,116000
1983-04-01,113600
1983-05-01,100500
1983-06-01,95100
1983-07-01,88300
1983-08-01,86900
1983-09-01,81600
1983-10-01,81100
1983-11-01,84100
1983-12-01,97700
1984-01-01,96200
1984-02-01,94500
1984-03-01,99900
1984-04-01,100400
1984-05-01,93100
1984-06-01,85700
1984-07-01,85000
1984-08-01,83600
1984-09-01,96800
1984-10-01,92200
1984-11-01,100800
1984-12-01,99900
1985-01-01,105000
1985-02-01,105900
1985-03-01,118500
1985-04-01,118000
1985-05-01,98700
1985-06-01,85100
1985-07-01,86100
1985-08-01,89000
1985-09-01,86100
1985-10-01,93300
1985-11-01,92400
1985-12-01,96400
1986-01-01,92400
1986-02-01,99400
1986-03-01,103800
1986-04-01,94900
1986-05-01,86400
1986-06-01,77000
1986-07-01,69500
1986-08-01,87000
1986-09-01,79600
1986-10-01,75700
1986-11-01,78800
1986-12-01,89400
1987-01-01,94900
1987-02-01,88300
1987-03-01,101900
1987-04-01,101700
1987-05-01,83900
1987-06-01,74800
1987-07-01,75400
1987-08-01,73800
1987-09-01,69600
1987-10-01,69800.0000000001
1987-11-01,72700
1987-12-01,83300
1988-01-01,85000
1988-02-01,87100
1988-03-01,91000
1988-04-01,81500
1988-05-01,74400
1988-06-01,65100
1988-07-01,67800
1988-08-01,70500
1988-09-01,67200
1988-10-01,57500
1988-11-01,67200
1988-12-01,73800
1989-01-01,77500
1989-02-01,85000
1989-03-01,89400
1989-04-01,89700
1989-05-01,70800
1989-06-01,70600
1989-07-01,68600
1989-08-01,65200.0000000001
1989-09-01,66900
1989-10-01,64800
1989-11-01,71700
1989-12-01,69800.0000000001
1990-01-01,79700
1990-02-01,78000
1990-03-01,77800
1990-04-01,71900
1990-05-01,67900
1990-06-01,62300
1990-07-01,57900
1990-08-01,63800
