"Date","LFAC24MACAM647S"
1976-01-01,1557100
1976-02-01,1558900
1976-03-01,1563900
1976-04-01,1573900
1976-05-01,1572200
1976-06-01,1584400
1976-07-01,1604100
1976-08-01,1579900
1976-09-01,1572200
1976-10-01,1584200
1976-11-01,1593100
1976-12-01,1607000
1977-01-01,1617200
1977-02-01,1619800
1977-03-01,1611200
1977-04-01,1619100
1977-05-01,1618400
1977-06-01,1621100
1977-07-01,1632400
1977-08-01,1643700
1977-09-01,1635500
1977-10-01,1632400
1977-11-01,1638900
1977-12-01,1634300
1978-01-01,1616500
1978-02-01,1637900
1978-03-01,1650600
1978-04-01,1654300
1978-05-01,1660900
1978-06-01,1668500
1978-07-01,1682500
1978-08-01,1686800
1978-09-01,1670500
1978-10-01,1673500
1978-11-01,1691600
1978-12-01,1692700
1979-01-01,1703300
1979-02-01,1703100
1979-03-01,1702900
1979-04-01,1718900
1979-05-01,1721800
1979-06-01,1712400
1979-07-01,1714300
1979-08-01,1710200
1979-09-01,1724100
1979-10-01,1741400
1979-11-01,1742900
1979-12-01,1751500
1980-01-01,1752200
1980-02-01,1762400
1980-03-01,1757100
1980-04-01,1758000
1980-05-01,1734600
1980-06-01,1759900
1980-07-01,1733000
1980-08-01,1737000
1980-09-01,1748100
1980-10-01,1748400
1980-11-01,1755200
1980-12-01,1760500
1981-01-01,1784400
1981-02-01,1787200
1981-03-01,1787700
1981-04-01,1778700
1981-05-01,1772300
1981-06-01,1765900
1981-07-01,1750100
1981-08-01,1735600
1981-09-01,1765700
1981-10-01,1746200
1981-11-01,1737300
1981-12-01,1733800
1982-01-01,1710900
1982-02-01,1703000
1982-03-01,1695500
1982-04-01,1690700
1982-05-01,1684600
1982-06-01,1675400
1982-07-01,1690100
1982-08-01,1670300
1982-09-01,1679600
1982-10-01,1681400
1982-11-01,1654700
1982-12-01,1655500
1983-01-01,1643600
1983-02-01,1643600
1983-03-01,1640700
1983-04-01,1646600
1983-05-01,1644700
1983-06-01,1659900
1983-07-01,1655300
1983-08-01,1666000
1983-09-01,1659600
1983-10-01,1628700
1983-11-01,1638300
1983-12-01,1630700
1984-01-01,1623900
1984-02-01,1621800
1984-03-01,1618300
1984-04-01,1626100
1984-05-01,1636300
1984-06-01,1643000
1984-07-01,1650100
1984-08-01,1628700
1984-09-01,1639400
1984-10-01,1621900
1984-11-01,1601700
1984-12-01,1604700
1985-01-01,1601500
1985-02-01,1599100
1985-03-01,1626200
1985-04-01,1610400
1985-05-01,1615000
1985-06-01,1631800
1985-07-01,1610400
1985-08-01,1613800
1985-09-01,1592000
1985-10-01,1595400
1985-11-01,1598500
1985-12-01,1607900
1986-01-01,1600700
1986-02-01,1607700
1986-03-01,1604600
1986-04-01,1629000
1986-05-01,1605600
1986-06-01,1601800
1986-07-01,1595600
1986-08-01,1590800
1986-09-01,1586800
1986-10-01,1582800
1986-11-01,1578600
1986-12-01,1576800
1987-01-01,1576900
1987-02-01,1578300
1987-03-01,1571800
1987-04-01,1572700
1987-05-01,1569700
1987-06-01,1568700
1987-07-01,1560800
1987-08-01,1554800
1987-09-01,1555600
1987-10-01,1568000
1987-11-01,1555900
1987-12-01,1561100
1988-01-01,1566500
1988-02-01,1547800
1988-03-01,1549000
1988-04-01,1539300
