"Date","LFEMTTTTCAM647N"
1960-01-01,5669000
1960-02-01,5631000
1960-03-01,5637000
1960-04-01,5719000
1960-05-01,5982000
1960-06-01,6149000
1960-07-01,6272000
1960-08-01,6280000
1960-09-01,6156000
1960-10-01,6140000
1960-11-01,6037000
1960-12-01,5910000
1961-01-01,5711000
1961-02-01,5651000
1961-03-01,5655000
1961-04-01,5825000
1961-05-01,6090000
1961-06-01,6227000
1961-07-01,6394000
1961-08-01,6387000
1961-09-01,6241000
1961-10-01,6226000
1961-11-01,6162000
1961-12-01,6089000
1962-01-01,5871000
1962-02-01,5847000
1962-03-01,5901000
1962-04-01,6014000
1962-05-01,6262000
1962-06-01,6459000
1962-07-01,6577000
1962-08-01,6591000
1962-09-01,6394000
1962-10-01,6335000
1962-11-01,6279000
1962-12-01,6169000
1963-01-01,5965000
1963-02-01,5961000
1963-03-01,5973000
1963-04-01,6107000
1963-05-01,6323000
1963-06-01,6546000
1963-07-01,6753000
1963-08-01,6757000
1963-09-01,6576000
1963-10-01,6587000
1963-11-01,6508000
1963-12-01,6440000
1964-01-01,6243000
1964-02-01,6236000
1964-03-01,6286000
1964-04-01,6373000
1964-05-01,6621000
1964-06-01,6773000
1964-07-01,6980000
1964-08-01,6971000
1964-09-01,6768000
1964-10-01,6718000
1964-11-01,6708000
1964-12-01,6628000
1965-01-01,6461000
1965-02-01,6460000
1965-03-01,6521000
1965-04-01,6597000
1965-05-01,6858000
1965-06-01,7049000
1965-07-01,7251000
1965-08-01,7279000
1965-09-01,6983000
1965-10-01,7008000
1965-11-01,6939000
1965-12-01,6933000
1966-01-01,6799000
1966-02-01,6858000
1966-03-01,6898000
1966-04-01,7031000
1966-05-01,7206000
1966-06-01,7394000
1966-07-01,7593000
1966-08-01,7634000
1966-09-01,7427000
1966-10-01,7433000
1966-11-01,7323000
1966-12-01,7308000
1967-01-01,7034000
1967-02-01,7066000
1967-03-01,7152000
1967-04-01,7187000
1967-05-01,7459000
1967-06-01,7646000
1967-07-01,7861000
1967-08-01,7884000
1967-09-01,7607000
1967-10-01,7531000
1967-11-01,7524000
1967-12-01,7459000
1968-01-01,7132000
1968-02-01,7172000
1968-03-01,7167000
1968-04-01,7318000
