"Date","CANXTIMVA01CXMLM"
1993-03-01,12364134151.4995
1993-04-01,11509364036.0234
1993-05-01,11162815040.3668
1993-06-01,11703410010.9258
1993-07-01,9748378345.21181
1993-08-01,10935112050.0559
1993-09-01,11199921525.0233
1993-10-01,11609808909.724
1993-11-01,11764764858.3591
1993-12-01,10395412797.761
1994-01-01,10157542721.2301
1994-02-01,10563240171.8577
1994-03-01,13291919505.8803
1994-04-01,11928653069.3574
1994-05-01,12670480211.4298
1994-06-01,13157754242.8288
1994-07-01,10243644843.1755
1994-08-01,13203586678.7151
1994-09-01,13236856456.4743
1994-10-01,13646555898.3496
1994-11-01,13739754122.4479
1994-12-01,12509055385.9483
1995-01-01,13144082392.0804
1995-02-01,12939243195.0503
1995-03-01,14936192654.7
1995-04-01,13450646887.0892
1995-05-01,15311655534.234
1995-06-01,14547257163.874
1995-07-01,11454728397.5391
1995-08-01,14169939855.2938
1995-09-01,13637723453.996
1995-10-01,14488560478.7174
1995-11-01,14207281962.1237
1995-12-01,12067541687.4942
1996-01-01,13319730427.8031
1996-02-01,14195175449.0661
1996-03-01,14428973912.6077
1996-04-01,14590392300.3654
1996-05-01,14299448543.0341
1996-06-01,14042216771.7514
1996-07-01,12869970969.9929
1996-08-01,13813814510.1716
1996-09-01,14705057615.6329
1996-10-01,15626578834.6807
1996-11-01,15462274017.6304
1996-12-01,13221007734.0655
1997-01-01,15327740039.8944
1997-02-01,15255908269.7342
1997-03-01,15999233466.6385
1997-04-01,17230972274.7239
1997-05-01,16733608635.8038
1997-06-01,16773789824.5843
1997-07-01,15150594766.8811
1997-08-01,15937206988.0165
1997-09-01,17564396056.0232
1997-10-01,18368605074.0799
1997-11-01,16688416618.1996
1997-12-01,15978915398.5628
1998-01-01,15627675272.4877
1998-02-01,16584292087.3444
1998-03-01,18489588114.4213
1998-04-01,17900327578.3682
1998-05-01,17058861877.4469
1998-06-01,17468890757.9944
1998-07-01,14362046525.2699
1998-08-01,15611004331.441
1998-09-01,17077815383.363
1998-10-01,17969184357.1283
