"Date","CAUINSA"
1993-01-01,66
1993-02-01,93.5
1993-03-01,108
1993-04-01,98.7
1993-05-01,95.7
1993-06-01,111.4
1993-07-01,60.1
1993-08-01,112.9
1993-09-01,110.8
1993-10-01,97.1
1993-11-01,95.7
1993-12-01,58.9
1994-01-01,67.8
1994-02-01,63.5
1994-03-01,95.8
1994-04-01,92.1
1994-05-01,102.1
1994-06-01,112.8
1994-07-01,48.1
1994-08-01,75.5
1994-09-01,82.4
1994-10-01,89.2
1994-11-01,102.3
1994-12-01,74.7
1995-01-01,98.3
1995-02-01,101.6
1995-03-01,110.5
1995-04-01,83.3
1995-05-01,103.4
1995-06-01,102
1995-07-01,50
1995-08-01,104
1995-09-01,100.5
1995-10-01,98.9
1995-11-01,100.5
1995-12-01,82.2
1996-01-01,85.4
1996-02-01,101.4
1996-03-01,70.6
1996-04-01,102.1
1996-05-01,107.6
1996-06-01,101.8
1996-07-01,55.5
1996-08-01,101.2
1996-09-01,100.9
1996-10-01,66.6
1996-11-01,103.2
1996-12-01,71.6
1997-01-01,104.8
1997-02-01,106.6
1997-03-01,103
1997-04-01,105.4
1997-05-01,107.8
1997-06-01,98.4
1997-07-01,78.9
1997-08-01,85.1
1997-09-01,91.6
1997-10-01,88
1997-11-01,89.8
1997-12-01,94.5
1998-01-01,66
1998-02-01,92.8
1998-03-01,90.8
1998-04-01,89.2
1998-05-01,85.5
1998-06-01,64.6
1998-07-01,27.2
1998-08-01,79.1
1998-09-01,102.5
1998-10-01,109.4
1998-11-01,96.1
1998-12-01,101.6
1999-01-01,93.6
1999-02-01,111
1999-03-01,113.3
1999-04-01,100.6
1999-05-01,105.1
1999-06-01,114.2
1999-07-01,68.1
1999-08-01,104.7
1999-09-01,107
1999-10-01,117
1999-11-01,120.1
1999-12-01,117.1
2000-01-01,89.7
2000-02-01,101.2
2000-03-01,116.4
2000-04-01,94.1
2000-05-01,91.4
2000-06-01,101.1
2000-07-01,49.9
2000-08-01,97
2000-09-01,97.6
2000-10-01,81.6
2000-11-01,106.3
2000-12-01,89.8
2001-01-01,65.5
2001-02-01,81.9
2001-03-01,91.3
2001-04-01,59.1
2001-05-01,79
2001-06-01,99.6
2001-07-01,41.1
2001-08-01,98.4
2001-09-01,81.2
2001-10-01,81.6
2001-11-01,91.3
2001-12-01,77.5
2002-01-01,53.1
2002-02-01,85.8
2002-03-01,89.6
2002-04-01,82.2
2002-05-01,92.2
2002-06-01,94.6
2002-07-01,56.4
2002-08-01,110.2
2002-09-01,82.5
2002-10-01,92.4
2002-11-01,110.3
2002-12-01,84.2
2003-01-01,66.4
2003-02-01,85.5
2003-03-01,106.8
2003-04-01,94.1
2003-05-01,104.6
2003-06-01,96.6
2003-07-01,62.2
2003-08-01,97.4
2003-09-01,90.3
2003-10-01,100.5
2003-11-01,96.3
2003-12-01,93.7
2004-01-01,78
2004-02-01,88.9
2004-03-01,97.7
2004-04-01,90.9
2004-05-01,104.4
2004-06-01,99.7
2004-07-01,57.6
2004-08-01,95.6
2004-09-01,93.1
2004-10-01,84.4
2004-11-01,92.5
2004-12-01,97.6
2005-01-01,77.3
2005-02-01,71.2
2005-03-01,66.8
2005-04-01,58.2
2005-05-01,54.1
2005-06-01,62.1
2005-07-01,47.1
2005-08-01,71.5
2005-09-01,62.8
2005-10-01,73
2005-11-01,83.2
2005-12-01,87.3
2006-01-01,63.8
2006-02-01,59.2
2006-03-01,56.6
2006-04-01,60.1
2006-05-01,50.8
2006-06-01,60.5
2006-07-01,45.7
2006-08-01,64.6
2006-09-01,69.6
2006-10-01,67.1
2006-11-01,70
2006-12-01,70.6
2007-01-01,49.7
2007-02-01,54.5
2007-03-01,85.1
2007-04-01,66.4
2007-05-01,90.3
2007-06-01,85.8
2007-07-01,52
2007-08-01,70
2007-09-01,78.3
2007-10-01,79.3
2007-11-01,85.7
2007-12-01,51.9
2008-01-01,44.076
2008-02-01,58.999
2008-03-01,66.487
2008-04-01,69.417
2008-05-01,62.576
2008-06-01,62.678
2008-07-01,45.838
2008-08-01,61.009
2008-09-01,63.087
2008-10-01,73.724
2008-11-01,70.613
2008-12-01,47.714
2009-01-01,34.183
2009-02-01,36.32
2009-03-01,38.785
2009-04-01,36.08
2009-05-01,29.019
2009-06-01,33.244
2009-07-01,27.471
2009-08-01,57.694
2009-09-01,71.957
2009-10-01,68.496
2009-11-01,65.82
2009-12-01,70.563
2010-01-01,44.073
2010-02-01,59.973
2010-03-01,68.889
2010-04-01,65.401
2010-05-01,80.813
2010-06-01,83.722
2010-07-01,54.97
2010-08-01,80.7
2010-09-01,93.84
2010-10-01,83.581
2010-11-01,78.939
2010-12-01,62.846
2011-01-01,71.218
2011-02-01,77.893
2011-03-01,94.122
2011-04-01,84.702
2011-05-01,68.925
2011-06-01,82.59
2011-07-01,52.477
2011-08-01,77.621
2011-09-01,84.22
2011-10-01,103.107
2011-11-01,96.012
2011-12-01,98.661
2012-01-01,86.091
2012-02-01,93.932
2012-03-01,110.099
2012-04-01,93.159
2012-05-01,96.362
2012-06-01,116.175
2012-07-01,62.538
2012-08-01,97.69
2012-09-01,115.207
2012-10-01,105.797
2012-11-01,117.608
2012-12-01,101.564
2013-01-01,78.544
2013-02-01,86.577
2013-03-01,111.186
2013-04-01,103.152
2013-05-01,112.527
2013-06-01,120.641
2013-07-01,67.113
2013-08-01,107.809
2013-09-01,103.072
2013-10-01,120.003
2013-11-01,128.429
2013-12-01,96.486
2014-01-01,69.317
2014-02-01,87.444
2014-03-01,111.505
2014-04-01,108.293
2014-05-01,124.846
2014-06-01,116.076
2014-07-01,90.7
2014-08-01,119.517
2014-09-01,113.277
2014-10-01,120.386
2014-11-01,124.514
2014-12-01,108.946
2015-01-01,85.787
2015-02-01,95.673
2015-03-01,120.727
2015-04-01,111.821
2015-05-01,128.306
2015-06-01,115.153
2015-07-01,80.678
2015-08-01,107.039
2015-09-01,117.931
2015-10-01,107.006
2015-11-01,119.858
2015-12-01,119.299
2016-01-01,84.798
2016-02-01,98.708
2016-03-01,125.451
2016-04-01,118.415
2016-05-01,110.478
2016-06-01,113.124
2016-07-01,85.534
2016-08-01,102.24
2016-09-01,114.141
2016-10-01,108.36
2016-11-01,119.333
2016-12-01,94.452
2017-01-01,96.121
2017-02-01,114.416
2017-03-01,138.836
2017-04-01,123.868
2017-05-01,122.553
2017-06-01,137.493
2017-07-01,69.397
2017-08-01,104.14
2017-09-01,109.586
2017-10-01,87.54
2017-11-01,129.586
2017-12-01,113.088
2018-01-01,83.035
2018-02-01,99.932
2018-03-01,112.34
2018-04-01,92.312
2018-05-01,100.098
2018-06-01,106.646
2018-07-01,69.884
2018-08-01,74.211
2018-09-01,78.458
2018-10-01,84.859
2018-11-01,88.44
2018-12-01,80.69
2019-01-01,70.414
2019-02-01,69.043
2019-03-01,90.676
2019-04-01,59.374
2019-05-01,75.44
2019-06-01,93.327
2019-07-01,52.834
2019-08-01,68.55
2019-09-01,74.588
2019-10-01,72.941
2019-11-01,64.898
2019-12-01,63.138
2020-01-01,44.34
2020-02-01,63.702
2020-03-01,69.732
2020-04-01,6.682
2020-05-01,7.835
2020-06-01,44.621
2020-07-01,51.83
2020-08-01,53.365
2020-09-01,67.656
2020-10-01,63.708
2020-11-01,56.885
2020-12-01,57.562
2021-01-01,30.276
2021-02-01,40.855
2021-03-01,61.641
2021-04-01,33.691
2021-05-01,38.346
2021-06-01,52.451
2021-07-01,42.786
2021-08-01,48.665
2021-09-01,34.787
2021-10-01,44.316
2021-11-01,39.742
2021-12-01,53.336
2022-01-01,26.481
2022-02-01,37.357
2022-03-01,62.778
2022-04-01,49.481
2022-05-01,42.17
2022-06-01,48.13
2022-07-01,37.288
2022-08-01,35.057
2022-09-01,36.752
2022-10-01,33.137
2022-11-01,40.496
2022-12-01,51.746
2023-01-01,36.673
2023-02-01,41.833
2023-03-01,54.604
2023-04-01,52.141
2023-05-01,53.704
2023-06-01,69.793
2023-07-01,48.445
2023-08-01,55.004
2023-09-01,56.629
