"Date","LFEM25TTCAM647S"
1976-01-01,5999300
1976-02-01,6018000
1976-03-01,6041800
1976-04-01,6055200
1976-05-01,6060700
1976-06-01,6065200
1976-07-01,6084800
1976-08-01,6091400
1976-09-01,6091000
1976-10-01,6094700
1976-11-01,6131300
1976-12-01,6144400
1977-01-01,6142300
1977-02-01,6167900
1977-03-01,6165500
1977-04-01,6185800
1977-05-01,6203600
1977-06-01,6210600
1977-07-01,6204300
1977-08-01,6218800
1977-09-01,6230100
1977-10-01,6242900
1977-11-01,6254500
1977-12-01,6283400
1978-01-01,6302700
1978-02-01,6324400
1978-03-01,6349600
1978-04-01,6375100
1978-05-01,6391200
1978-06-01,6427500
1978-07-01,6451700
1978-08-01,6466700
1978-09-01,6488200
1978-10-01,6517500
1978-11-01,6531100
1978-12-01,6561600
1979-01-01,6584900
1979-02-01,6589500
1979-03-01,6607000
1979-04-01,6617700
1979-05-01,6647700
1979-06-01,6665100
1979-07-01,6707200
1979-08-01,6738100
1979-09-01,6737500
1979-10-01,6767400
1979-11-01,6799800
1979-12-01,6807500
1980-01-01,6828300
1980-02-01,6842400
1980-03-01,6860200
1980-04-01,6890000
1980-05-01,6872100
1980-06-01,6892200
1980-07-01,6908300
1980-08-01,6947100
1980-09-01,6977100
1980-10-01,7012200
1980-11-01,7039600
1980-12-01,7063500
1981-01-01,7100100
1981-02-01,7154600
1981-03-01,7162000
1981-04-01,7198600
1981-05-01,7203200
1981-06-01,7224300
1981-07-01,7215300
1981-08-01,7238800
1981-09-01,7233100
1981-10-01,7242100
1981-11-01,7250100
1981-12-01,7216200
1982-01-01,7237000
1982-02-01,7226200
1982-03-01,7225800
1982-04-01,7180700
1982-05-01,7179900
1982-06-01,7146000
1982-07-01,7134700
1982-08-01,7101600
1982-09-01,7081100
1982-10-01,7078500
1982-11-01,7060400
1982-12-01,7071800
1983-01-01,7097400
1983-02-01,7122100
1983-03-01,7178000
1983-04-01,7226100
1983-05-01,7264400
1983-06-01,7298100
1983-07-01,7341100
1983-08-01,7364500
1983-09-01,7392600
1983-10-01,7399300
1983-11-01,7418200
1983-12-01,7433600
1984-01-01,7417200
1984-02-01,7435800
1984-03-01,7434300
1984-04-01,7444100
1984-05-01,7483800
1984-06-01,7525000
1984-07-01,7563400
1984-08-01,7580300
1984-09-01,7600400
1984-10-01,7620700
1984-11-01,7646000
1984-12-01,7670700
1985-01-01,7708000
1985-02-01,7731600
1985-03-01,7757700
1985-04-01,7794900
1985-05-01,7834100
1985-06-01,7834000
1985-07-01,7868600
1985-08-01,7892000
1985-09-01,7929100
1985-10-01,7935600
1985-11-01,7977900
1985-12-01,8025000
1986-01-01,8084300
1986-02-01,8111100
1986-03-01,8134800
1986-04-01,8149300
1986-05-01,8148900
1986-06-01,8148600
1986-07-01,8178300
1986-08-01,8213200
1986-09-01,8238600
1986-10-01,8266800
1986-11-01,8288000
1986-12-01,8311800
1987-01-01,8319800
1987-02-01,8340100
1987-03-01,8396500
1987-04-01,8424900
1987-05-01,8472500
1987-06-01,8506600
1987-07-01,8526200
1987-08-01,8547500
1987-09-01,8573800
1987-10-01,8629300
1987-11-01,8670800
1987-12-01,8712700
1988-01-01,8741200
1988-02-01,8791000
1988-03-01,8811400
1988-04-01,8832600
1988-05-01,8847500
1988-06-01,8880600
1988-07-01,8882300
1988-08-01,8900700
1988-09-01,8903300
1988-10-01,8955100
1988-11-01,8980700
1988-12-01,9035400
1989-01-01,9059500
1989-02-01,9087800
1989-03-01,9126000
1989-04-01,9127600
1989-05-01,9152000
1989-06-01,9169600
1989-07-01,9190600
1989-08-01,9236000
1989-09-01,9260900
1989-10-01,9282000
1989-11-01,9298700
1989-12-01,9302500
1990-01-01,9321600
1990-02-01,9352400
1990-03-01,9363600
1990-04-01,9400000
1990-05-01,9395700
1990-06-01,9417000
1990-07-01,9433100
1990-08-01,9427300
1990-09-01,9421200
1990-10-01,9407100
1990-11-01,9381500
1990-12-01,9359400
1991-01-01,9357000
1991-02-01,9327100
1991-03-01,9319600
1991-04-01,9365000
1991-05-01,9376700
1991-06-01,9381500
1991-07-01,9379700
1991-08-01,9384900
1991-09-01,9385400
1991-10-01,9378700
1991-11-01,9368700
1991-12-01,9363800
1992-01-01,9364100
1992-02-01,9374200
1992-03-01,9356500
1992-04-01,9361400
1992-05-01,9361600
1992-06-01,9363600
1992-07-01,9379300
1992-08-01,9350100
1992-09-01,9350900
1992-10-01,9357100
1992-11-01,9374400
1992-12-01,9400200
1993-01-01,9424000
1993-02-01,9446000
1993-03-01,9446200
1993-04-01,9436200
1993-05-01,9477200
1993-06-01,9515000
1993-07-01,9501100
1993-08-01,9530900
1993-09-01,9553000
1993-10-01,9556000
1993-11-01,9568400
1993-12-01,9554200
1994-01-01,9564900
1994-02-01,9583300
1994-03-01,9591600
1994-04-01,9615800
1994-05-01,9661900
1994-06-01,9676300
1994-07-01,9739000
1994-08-01,9750100
1994-09-01,9777400
1994-10-01,9815600
1994-11-01,9846500
1994-12-01,9869800
1995-01-01,9864600
1995-02-01,9881600
1995-03-01,9912500
1995-04-01,9908300
1995-05-01,9911800
1995-06-01,9923800
1995-07-01,9935000
1995-08-01,9950300
1995-09-01,10015600
1995-10-01,9992800
1995-11-01,9990900
1995-12-01,10015500
1996-01-01,10038200
1996-02-01,10038500
1996-03-01,10026000
1996-04-01,10043500
1996-05-01,10050600
1996-06-01,10042000
1996-07-01,10073800
1996-08-01,10104100
1996-09-01,10102700
1996-10-01,10104800
1996-11-01,10123600
1996-12-01,10159500
1997-01-01,10199800
1997-02-01,10196300
1997-03-01,10231900
1997-04-01,10235600
1997-05-01,10288500
1997-06-01,10326900
1997-07-01,10369100
1997-08-01,10408100
1997-09-01,10436400
1997-10-01,10443500
1997-11-01,10462100
1997-12-01,10479400
1998-01-01,10477400
1998-02-01,10502000
1998-03-01,10528600
1998-04-01,10556700
1998-05-01,10541200
