"Date","LFAC64MACAM647N"
1976-01-01,6182300
1976-02-01,6198500
1976-03-01,6240100
1976-04-01,6294100
1976-05-01,6425000
1976-06-01,6604200
1976-07-01,6783000
1976-08-01,6705500
1976-09-01,6423300
1976-10-01,6424500
1976-11-01,6398900
1976-12-01,6374700
1977-01-01,6323000
1977-02-01,6352300
1977-03-01,6389400
1977-04-01,6418100
1977-05-01,6603200
1977-06-01,6713500
1977-07-01,6887000
1977-08-01,6852100
1977-09-01,6559600
1977-10-01,6554400
1977-11-01,6535600
1977-12-01,6501400
1978-01-01,6423500
1978-02-01,6476400
1978-03-01,6554000
1978-04-01,6568000
1978-05-01,6756700
1978-06-01,6896300
1978-07-01,7068500
1978-08-01,7037000
1978-09-01,6729200
1978-10-01,6727800
1978-11-01,6704000
1978-12-01,6662500
1979-01-01,6631000
1979-02-01,6631400
1979-03-01,6704900
1979-04-01,6750300
1979-05-01,6927300
1979-06-01,7040300
1979-07-01,7206200
1979-08-01,7180200
1979-09-01,6886800
1979-10-01,6897300
1979-11-01,6864300
1979-12-01,6805700
1980-01-01,6782000
1980-02-01,6801100
1980-03-01,6842900
1980-04-01,6871300
1980-05-01,7015400
1980-06-01,7224600
1980-07-01,7320700
1980-08-01,7313100
1980-09-01,7022100
1980-10-01,7013600
1980-11-01,7000200
1980-12-01,6949500
1981-01-01,6921000
1981-02-01,6954200
1981-03-01,7018700
1981-04-01,7021800
1981-05-01,7183000
1981-06-01,7369800
1981-07-01,7482200
1981-08-01,7441300
1981-09-01,7160300
1981-10-01,7134700
1981-11-01,7069900
1981-12-01,7018400
1982-01-01,6923100
1982-02-01,6928200
1982-03-01,7013500
1982-04-01,7002900
1982-05-01,7163200
1982-06-01,7324800
1982-07-01,7469000
1982-08-01,7364900
1982-09-01,7098300
1982-10-01,7111600
1982-11-01,7043900
1982-12-01,7014600
1983-01-01,6949000
1983-02-01,6984000
1983-03-01,7077700
1983-04-01,7081400
1983-05-01,7274200
1983-06-01,7414400
1983-07-01,7545700
1983-08-01,7492000
1983-09-01,7201900
1983-10-01,7161800
1983-11-01,7124000
1983-12-01,7081900
1984-01-01,6999000
1984-02-01,7046600
1984-03-01,7118200
1984-04-01,7145300
1984-05-01,7344700
1984-06-01,7474300
1984-07-01,7618100
1984-08-01,7560900
1984-09-01,7302000
1984-10-01,7279900
1984-11-01,7223500
1984-12-01,7157700
1985-01-01,7136000
1985-02-01,7142100
1985-03-01,7252900
1985-04-01,7253200
1985-05-01,7429800
1985-06-01,7545800
1985-07-01,7695900
1985-08-01,7650200
1985-09-01,7326000
1985-10-01,7341300
1985-11-01,7330200
1985-12-01,7281000
1986-01-01,7250000
1986-02-01,7267200
1986-03-01,7335900
1986-04-01,7387500
1986-05-01,7523300
1986-06-01,7686400
1986-07-01,7791500
1986-08-01,7747400
1986-09-01,7448400
1986-10-01,7433200
1986-11-01,7407100
1986-12-01,7360100
1987-01-01,7304900
1987-02-01,7343200
1987-03-01,7422100
1987-04-01,7431800
1987-05-01,7600400
1987-06-01,7752100
1987-07-01,7864700
1987-08-01,7831500
1987-09-01,7551200
1987-10-01,7559100
1987-11-01,7508500
1987-12-01,7483300
1988-01-01,7418700
1988-02-01,7437900
1988-03-01,7497200
1988-04-01,7497700
1988-05-01,7719700
1988-06-01,7800200
1988-07-01,7946900
1988-08-01,7909400
1988-09-01,7623800
1988-10-01,7622300
1988-11-01,7564400
1988-12-01,7532400
1989-01-01,7513800
1989-02-01,7542100
1989-03-01,7613200
1989-04-01,7615200
1989-05-01,7822500
1989-06-01,7936000
1989-07-01,8067300
1989-08-01,8037900
1989-09-01,7758300
1989-10-01,7735300
1989-11-01,7701500
1989-12-01,7628000
1990-01-01,7610200
1990-02-01,7604500
1990-03-01,7617600
1990-04-01,7663500
1990-05-01,7832000
1990-06-01,7943500
1990-07-01,8110000
1990-08-01,8079300
1990-09-01,7823100
1990-10-01,7803300
1990-11-01,7733800
1990-12-01,7670000
1991-01-01,7605400
1991-02-01,7637700
1991-03-01,7668200
1991-04-01,7678100
1991-05-01,7855100
1991-06-01,7970800
1991-07-01,8115900
1991-08-01,8058000
1991-09-01,7760200
1991-10-01,7754700
1991-11-01,7687700
1991-12-01,7608400
1992-01-01,7542200
1992-02-01,7558700
1992-03-01,7652300
1992-04-01,7604100
1992-05-01,7817600
1992-06-01,7994200
1992-07-01,8098000
1992-08-01,8038300
1992-09-01,7768400
1992-10-01,7760700
1992-11-01,7762300
1992-12-01,7676500
1993-01-01,7592300
1993-02-01,7622600
1993-03-01,7700900
1993-04-01,7684300
1993-05-01,7858000
1993-06-01,8039700
1993-07-01,8168200
1993-08-01,8066700
1993-09-01,7812800
1993-10-01,7764100
1993-11-01,7747500
1993-12-01,7692600
1994-01-01,7619800
1994-02-01,7671700
1994-03-01,7681400
1994-04-01,7722700
1994-05-01,7946300
1994-06-01,8037500
1994-07-01,8203100
1994-08-01,8153700
1994-09-01,7893000
1994-10-01,7858700
1994-11-01,7852000
1994-12-01,7764700
1995-01-01,7716200
1995-02-01,7718000
1995-03-01,7795000
1995-04-01,7768800
1995-05-01,7976200
1995-06-01,8089400
1995-07-01,8246400
1995-08-01,8181000
1995-09-01,7888800
1995-10-01,7895600
1995-11-01,7820800
1995-12-01,7821300
1996-01-01,7789800
1996-02-01,7801200
1996-03-01,7824100
1996-04-01,7839800
1996-05-01,8021200
1996-06-01,8144200
1996-07-01,8306100
1996-08-01,8246600
1996-09-01,7975200
1996-10-01,7979700
1996-11-01,7952700
1996-12-01,7909900
1997-01-01,7857600
1997-02-01,7888600
1997-03-01,7895900
1997-04-01,7915900
1997-05-01,8135700
1997-06-01,8255100
1997-07-01,8384700
1997-08-01,8372400
1997-09-01,8138300
1997-10-01,8129000
1997-11-01,8093500
1997-12-01,8022400
1998-01-01,7954900
1998-02-01,7976100
1998-03-01,7988300
1998-04-01,8028100
1998-05-01,8207200
1998-06-01,8349100
1998-07-01,8493500
1998-08-01,8435800
1998-09-01,8194800
1998-10-01,8170400
1998-11-01,8152900
1998-12-01,8108300
1999-01-01,8057200
1999-02-01,8086600
1999-03-01,8116300
1999-04-01,8208600
1999-05-01,8369700
1999-06-01,8446200
1999-07-01,8601500
1999-08-01,8545900
1999-09-01,8330100
1999-10-01,8327800
1999-11-01,8290000
1999-12-01,8255500
2000-01-01,8176900
2000-02-01,8218000
2000-03-01,8238000
2000-04-01,8288300
2000-05-01,8484800
2000-06-01,8548400
2000-07-01,8704500
2000-08-01,8676400
2000-09-01,8429000
2000-10-01,8435500
2000-11-01,8416200
2000-12-01,8388500
2001-01-01,8311400
2001-02-01,8350800
2001-03-01,8376900
2001-04-01,8424800
2001-05-01,8611000
2001-06-01,8675000
2001-07-01,8793000
2001-08-01,8778300
2001-09-01,8516400
2001-10-01,8522900
2001-11-01,8495000
2001-12-01,8481700
2002-01-01,8478600
2002-02-01,8497900
2002-03-01,8548700
2002-04-01,8575700
2002-05-01,8805200
2002-06-01,8865300
2002-07-01,9036400
2002-08-01,9004100
2002-09-01,8758200
2002-10-01,8741300
2002-11-01,8725900
2002-12-01,8697000
2003-01-01,8638800
2003-02-01,8694500
2003-03-01,8691100
2003-04-01,8740600
2003-05-01,8949000
2003-06-01,9023500
2003-07-01,9167100
2003-08-01,9131100
2003-09-01,8874300
2003-10-01,8866700
2003-11-01,8847200
2003-12-01,8780400
2004-01-01,8737800
2004-02-01,8749500
2004-03-01,8771600
2004-04-01,8826700
2004-05-01,9011500
2004-06-01,9113300
2004-07-01,9228600
2004-08-01,9190200
2004-09-01,8948300
2004-10-01,8972400
2004-11-01,8941500
2004-12-01,8887500
2005-01-01,8805700
2005-02-01,8837200
2005-03-01,8854600
2005-04-01,8868400
2005-05-01,9108200
2005-06-01,9163300
2005-07-01,9314900
2005-08-01,9288800
2005-09-01,9019400
2005-10-01,9023600
2005-11-01,8971000
2005-12-01,8929000
2006-01-01,8892100
2006-02-01,8900400
2006-03-01,8948600
2006-04-01,8974600
2006-05-01,9210200
2006-06-01,9260200
2006-07-01,9422900
2006-08-01,9394000
2006-09-01,9152500
2006-10-01,9118700
2006-11-01,9107500
2006-12-01,9061100
2007-01-01,9028600
2007-02-01,9022700
2007-03-01,9043200
2007-04-01,9109800
2007-05-01,9311600
2007-06-01,9385400
2007-07-01,9520600
2007-08-01,9465100
2007-09-01,9202800
2007-10-01,9232000
2007-11-01,9233500
2007-12-01,9195700
2008-01-01,9146700
2008-02-01,9135300
2008-03-01,9210900
2008-04-01,9245700
2008-05-01,9420500
2008-06-01,9520900
2008-07-01,9603100
2008-08-01,9575600
2008-09-01,9367100
2008-10-01,9368500
2008-11-01,9346600
2008-12-01,9255500
2009-01-01,9193000
2009-02-01,9217500
2009-03-01,9245400
2009-04-01,9286600
2009-05-01,9477000
2009-06-01,9531800
2009-07-01,9645200
2009-08-01,9580300
2009-09-01,9307700
2009-10-01,9326500
2009-11-01,9338100
2009-12-01,9266000
2010-01-01,9172900
2010-02-01,9190800
2010-03-01,9232200
2010-04-01,9314000
2010-05-01,9516800
2010-06-01,9576900
2010-07-01,9713500
2010-08-01,9694900
2010-09-01,9437700
2010-10-01,9379400
2010-11-01,9397000
2010-12-01,9349300
