"Date","LFWA55MACAM647S"
1976-01-01,914000
1976-02-01,916300
1976-03-01,918400
1976-04-01,920600
1976-05-01,922800
1976-06-01,924900
1976-07-01,927100
1976-08-01,929300
1976-09-01,930900
1976-10-01,932800
1976-11-01,934400
1976-12-01,936100
1977-01-01,938200
1977-02-01,940200
1977-03-01,941800
1977-04-01,943800
1977-05-01,945800
1977-06-01,947600
1977-07-01,949100
1977-08-01,951000
1977-09-01,952700
1977-10-01,954100
1977-11-01,955700
1977-12-01,956900
1978-01-01,958500
1978-02-01,959900
1978-03-01,961200
1978-04-01,962600
1978-05-01,964300
1978-06-01,965800
1978-07-01,966800
1978-08-01,968400
1978-09-01,969700
1978-10-01,971100
1978-11-01,972400
1978-12-01,973500
1979-01-01,975000
1979-02-01,976400
1979-03-01,977700
1979-04-01,979300
1979-05-01,980700
1979-06-01,982100
1979-07-01,983400
1979-08-01,984800
1979-09-01,986100
1979-10-01,987700
1979-11-01,989100
1979-12-01,990300
1980-01-01,991900
1980-02-01,993400
1980-03-01,994700
1980-04-01,996400
1980-05-01,998000
1980-06-01,1000200
1980-07-01,1001600
1980-08-01,1003300
1980-09-01,1005400
1980-10-01,1007000
1980-11-01,1008700
1980-12-01,1010300
1981-01-01,1012400
1981-02-01,1014400
1981-03-01,1016100
1981-04-01,1017900
1981-05-01,1019700
1981-06-01,1022100
1981-07-01,1023700
1981-08-01,1025400
1981-09-01,1027700
1981-10-01,1029600
1981-11-01,1031300
1981-12-01,1033000
1982-01-01,1035200
1982-02-01,1037300
1982-03-01,1039200
1982-04-01,1041100
1982-05-01,1043100
1982-06-01,1045700
1982-07-01,1047300
1982-08-01,1049800
1982-09-01,1051800
1982-10-01,1053800
1982-11-01,1055800
1982-12-01,1057900
1983-01-01,1060100
1983-02-01,1062500
1983-03-01,1064500
1983-04-01,1066600
1983-05-01,1069200
1983-06-01,1071200
1983-07-01,1072800
1983-08-01,1075300
1983-09-01,1077200
1983-10-01,1079100
1983-11-01,1081000
1983-12-01,1082800
1984-01-01,1085000
1984-02-01,1087100
1984-03-01,1088800
1984-04-01,1090900
1984-05-01,1092500
1984-06-01,1094300
1984-07-01,1095900
1984-08-01,1097200
