"Date","LFHUADTTCAM647N"
2014-10-01,842900
2014-11-01,854000
2014-12-01,860400
2015-01-01,1003800
2015-02-01,1012100
2015-03-01,1048000
2015-04-01,993200
2015-05-01,932700
2015-06-01,884800
2015-07-01,967000
2015-08-01,1084600
2015-09-01,894200
2015-10-01,886900
2015-11-01,950000
2015-12-01,993900
2016-01-01,1122700
2016-02-01,1123600
2016-03-01,1132300
2016-04-01,1102100
2016-05-01,943900
2016-06-01,906400
2016-07-01,983300
2016-08-01,1119600
2016-09-01,894200
2016-10-01,897500
2016-11-01,903300
2016-12-01,970300
2017-01-01,1044500
2017-02-01,1020900
2017-03-01,1057700
2017-04-01,1000800
2017-05-01,927700
2017-06-01,881500
2017-07-01,952300
2017-08-01,1041400
2017-09-01,838200
2017-10-01,853400
2017-11-01,830900
2017-12-01,848500
2018-01-01,932000
2018-02-01,925200
2018-03-01,925300
2018-04-01,871100
2018-05-01,811500
2018-06-01,796700
2018-07-01,870100
2018-08-01,1006800
2018-09-01,771700
2018-10-01,758700
2018-11-01,769900
2018-12-01,789300
2019-01-01,921300
2019-02-01,921100
2019-03-01,946300
2019-04-01,904200
2019-05-01,775400
2019-06-01,760900
2019-07-01,840200
2019-08-01,943900
2019-09-01,715900
2019-10-01,731200
2019-11-01,800700
2019-12-01,782800
2020-01-01,908400
2020-02-01,920600
2020-03-01,1269700
2020-04-01,1975600
2020-05-01,1902900
2020-06-01,1572800
2020-07-01,1528600
2020-08-01,1560100
2020-09-01,1199600
2020-10-01,1183400
2020-11-01,1173800
2020-12-01,1224100
2021-01-01,1452100
2021-02-01,1310600
2021-03-01,1260200
2021-04-01,1264000
2021-05-01,1203700
2021-06-01,1110900
2021-07-01,1190900
2021-08-01,1312200
2021-09-01,1016800
2021-10-01,965000
2021-11-01,905200
2021-12-01,864200
2022-01-01,1055400
2022-02-01,881200
2022-03-01,896500
2022-04-01,836500
2022-05-01,755900
2022-06-01,695000
2022-07-01,756800
2022-08-01,958600
2022-09-01,695100
2022-10-01,692400
2022-11-01,707600
2022-12-01,711000
2023-01-01,844400
2023-02-01,816000
2023-03-01,846100
2023-04-01,806800
2023-05-01,749300
2023-06-01,749400
2023-07-01,886800
2023-08-01,986000
2023-09-01,792100
2023-10-01,817500
2023-11-01,825300
