"Date","LRIN25MACAM156S"
1995-01-01,8.82451014323728
1995-02-01,9.12643902083362
1995-03-01,8.8282250999237
1995-04-01,9.14477885478004
1995-05-01,9.00379875271173
1995-06-01,9.14273822695528
1995-07-01,9.00716714490261
1995-08-01,9.08372775345558
1995-09-01,9.12319309090737
1995-10-01,9.19601748959007
1995-11-01,9.41890142569137
1995-12-01,9.07913078773874
1996-01-01,8.65762939236398
1996-02-01,9.12762861723101
1996-03-01,9.19853720416991
1996-04-01,9.22171704674804
1996-05-01,9.42537140292044
1996-06-01,9.31218885783564
1996-07-01,9.09033118101232
1996-08-01,9.22156754319929
1996-09-01,9.36929623179613
1996-10-01,9.27849540013
1996-11-01,9.41130436959018
1996-12-01,9.14423653131274
1997-01-01,9.26252626771336
1997-02-01,9.11910060899106
1997-03-01,9.24243520422056
1997-04-01,9.3281511713183
1997-05-01,9.1600857389795
1997-06-01,9.47058476615323
1997-07-01,9.28968249733751
1997-08-01,8.93793964238046
1997-09-01,8.59855228908628
1997-10-01,8.74727036885789
1997-11-01,8.7598430709073
1997-12-01,8.8433662495666
1998-01-01,8.90655011599486
1998-02-01,8.85681489729639
1998-03-01,8.94408953003064
1998-04-01,8.81833288052632
1998-05-01,8.95825714571646
1998-06-01,8.95794219875673
1998-07-01,8.90709679895832
1998-08-01,9.1465426282999
1998-09-01,8.932238225389
1998-10-01,8.73912968732577
1998-11-01,8.866983599975
1998-12-01,8.80274102268155
1999-01-01,8.98134965665855
1999-02-01,8.82673880458631
1999-03-01,8.94162118861001
1999-04-01,8.544722583754
1999-05-01,8.78888302492948
1999-06-01,9.12189187914974
1999-07-01,9.05973243095417
1999-08-01,9.02553607878894
1999-09-01,9.08024745589908
1999-10-01,9.07233352060454
1999-11-01,9.01098579114988
1999-12-01,8.93715798044491
2000-01-01,9.03769279697592
2000-02-01,8.7645360954788
2000-03-01,8.86075462550142
2000-04-01,9.03953835892528
2000-05-01,8.99442180368164
2000-06-01,8.99699512922335
2000-07-01,8.91164069916248
2000-08-01,8.98891349714457
2000-09-01,9.10650272937507
2000-10-01,9.03883770311505
2000-11-01,8.85555629351942
2000-12-01,9.04158192827271
2001-01-01,8.65727212229159
2001-02-01,8.59614589348308
2001-03-01,8.85974786633974
2001-04-01,8.82013990867912
2001-05-01,8.82226907228828
2001-06-01,8.95296698578422
2001-07-01,9.36937610034511
2001-08-01,9.32812224529358
2001-09-01,9.33080239801792
2001-10-01,9.0420892971432
2001-11-01,8.96591967554233
2001-12-01,8.79171641372763
2002-01-01,8.80116226989048
2002-02-01,8.80817697530855
2002-03-01,8.66339312368008
2002-04-01,8.78310971745401
2002-05-01,8.52633477369657
2002-06-01,8.50602326108601
2002-07-01,8.37113070335054
2002-08-01,8.45156566034993
2002-09-01,8.36157009495582
2002-10-01,8.36935961518509
2002-11-01,8.52830185219799
2002-12-01,8.35808499823139
2003-01-01,8.48211202416822
2003-02-01,8.19283307843393
2003-03-01,8.42316868269548
2003-04-01,8.47757265249107
2003-05-01,8.16310390444784
2003-06-01,8.40215067430612
2003-07-01,8.17711220885445
2003-08-01,8.35219293635659
2003-09-01,8.45013836457377
2003-10-01,8.47213185543498
2003-11-01,8.35974802098959
2003-12-01,8.54023635747458
2004-01-01,8.44040504335399
2004-02-01,8.60524434001993
2004-03-01,8.3702176803024
2004-04-01,8.41180695044928
2004-05-01,8.61308902436286
2004-06-01,8.22811938969521
2004-07-01,8.45981060962093
2004-08-01,8.38298430424541
2004-09-01,8.63409724320848
2004-10-01,8.24931585124974
2004-11-01,8.46656450684236
2004-12-01,8.44100430979942
2005-01-01,8.62672726438884
2005-02-01,8.47284466438374
2005-03-01,8.35593115145937
2005-04-01,8.4862293312898
2005-05-01,8.51262894312106
2005-06-01,8.52830991977572
2005-07-01,8.69383436603571
2005-08-01,8.30022290397426
2005-09-01,8.5707374487068
2005-10-01,8.5398527630645
2005-11-01,8.74132416011241
2005-12-01,8.66468335246677
2006-01-01,8.62376756369149
2006-02-01,8.64412422960939
2006-03-01,8.79331122852431
2006-04-01,8.61538457630944
2006-05-01,8.44780765529456
2006-06-01,8.66928971171322
2006-07-01,8.59442704443478
2006-08-01,8.54283840004607
2006-09-01,8.34649588762672
2006-10-01,8.83183563298741
2006-11-01,8.85486730240602
2006-12-01,8.74549743265405
2007-01-01,8.60831215674051
2007-02-01,8.76822279875215
2007-03-01,8.99492055214192
2007-04-01,8.97996188758072
2007-05-01,9.00773024403015
2007-06-01,8.84703473061619
2007-07-01,8.89973382341776
2007-08-01,9.18084302434971
2007-09-01,8.88910711099362
2007-10-01,8.87072744735615
2007-11-01,8.56191125392382
2007-12-01,8.51085229077097
2008-01-01,8.31744812480391
2008-02-01,8.4864124526381
2008-03-01,8.11141174813132
2008-04-01,8.23654453006845
2008-05-01,8.503584142961
2008-06-01,8.32350161817772
2008-07-01,8.67319216731362
2008-08-01,8.75444236906457
2008-09-01,8.59004109352525
2008-10-01,8.46461687079392
2008-11-01,8.44052800708298
2008-12-01,8.67677976433609
2009-01-01,8.72249567251576
2009-02-01,8.7018295441312
2009-03-01,8.78026880863973
2009-04-01,8.87189357269084
2009-05-01,9.12394013327729
2009-06-01,9.10600854940964
2009-07-01,9.07508631772355
2009-08-01,9.36605065025736
2009-09-01,9.43084466665569
2009-10-01,9.1314454174236
2009-11-01,9.02780077249398
2009-12-01,9.2364352448884
2010-01-01,9.46397510451652
2010-02-01,9.59008658994996
2010-03-01,9.56852903802624
2010-04-01,9.32670448616781
2010-05-01,9.23271672716471
