"Date","LFAC64TTCAM647S"
1976-01-01,10185000
1976-02-01,10199300
1976-03-01,10185500
1976-04-01,10268300
1976-05-01,10276800
1976-06-01,10312200
1976-07-01,10374500
1976-08-01,10355400
1976-09-01,10385700
1976-10-01,10385400
1976-11-01,10445000
1976-12-01,10500300
1977-01-01,10524800
1977-02-01,10548700
1977-03-01,10529500
1977-04-01,10583100
1977-05-01,10587300
1977-06-01,10584200
1977-07-01,10619100
1977-08-01,10642800
1977-09-01,10676700
1977-10-01,10692800
1977-11-01,10735800
1977-12-01,10769300
1978-01-01,10770400
1978-02-01,10819800
1978-03-01,10878400
1978-04-01,10904200
1978-05-01,10936900
1978-06-01,10978900
1978-07-01,11032800
1978-08-01,11065500
1978-09-01,11091400
1978-10-01,11108100
1978-11-01,11171200
1978-12-01,11197900
1979-01-01,11257000
1979-02-01,11233300
1979-03-01,11265900
1979-04-01,11300100
1979-05-01,11311500
1979-06-01,11331500
1979-07-01,11384600
1979-08-01,11414200
1979-09-01,11421000
1979-10-01,11479900
1979-11-01,11506500
1979-12-01,11531900
1980-01-01,11581200
1980-02-01,11603300
1980-03-01,11613000
1980-04-01,11658300
1980-05-01,11644200
1980-06-01,11695700
1980-07-01,11692100
1980-08-01,11736200
1980-09-01,11774900
1980-10-01,11792700
1980-11-01,11819100
1980-12-01,11848400
1981-01-01,11906000
1981-02-01,11989300
1981-03-01,11978900
1981-04-01,11982500
1981-05-01,12048200
1981-06-01,12098400
1981-07-01,12076400
1981-08-01,12087700
1981-09-01,12175100
1981-10-01,12153900
1981-11-01,12148300
1981-12-01,12137100
1982-01-01,12089500
1982-02-01,12084600
1982-03-01,12109900
1982-04-01,12097900
1982-05-01,12118600
1982-06-01,12106100
1982-07-01,12159400
1982-08-01,12098100
1982-09-01,12127700
1982-10-01,12176900
1982-11-01,12182000
1982-12-01,12233000
1983-01-01,12240600
1983-02-01,12255900
1983-03-01,12308700
1983-04-01,12328100
1983-05-01,12342700
1983-06-01,12382700
1983-07-01,12386500
1983-08-01,12410100
1983-09-01,12429100
1983-10-01,12404300
1983-11-01,12413900
1983-12-01,12455100
1984-01-01,12429100
1984-02-01,12471300
1984-03-01,12476900
