"Date","LFAC55FECAM647S"
1999-03-01,524100
1999-04-01,549600
1999-05-01,540100
1999-06-01,534600
1999-07-01,539100
1999-08-01,536300
1999-09-01,539100
1999-10-01,537500
1999-11-01,547700
1999-12-01,565600
2000-01-01,565300
2000-02-01,567800
2000-03-01,554600
2000-04-01,587700
2000-05-01,577600
2000-06-01,580400
2000-07-01,579200
2000-08-01,592700
2000-09-01,577100
2000-10-01,598000
2000-11-01,597700
2000-12-01,594400
2001-01-01,591700
2001-02-01,586200
2001-03-01,603600
2001-04-01,604600
2001-05-01,592300
2001-06-01,614100
2001-07-01,614200
2001-08-01,600900
2001-09-01,604100
2001-10-01,620600
2001-11-01,633100
2001-12-01,643700
2002-01-01,646200
2002-02-01,639000
2002-03-01,642100
2002-04-01,642100
2002-05-01,649300
2002-06-01,663700
2002-07-01,673200
2002-08-01,700100
2002-09-01,695900
2002-10-01,716400
2002-11-01,723400
2002-12-01,741700
2003-01-01,748700
2003-02-01,760400
2003-03-01,770800
2003-04-01,765200
2003-05-01,770800
2003-06-01,770900
2003-07-01,784500
2003-08-01,802000
2003-09-01,791100
2003-10-01,787900
2003-11-01,804300
2003-12-01,812200
2004-01-01,816900
2004-02-01,806800
2004-03-01,801500
2004-04-01,819600
2004-05-01,833800
2004-06-01,822600
2004-07-01,828900
2004-08-01,822700
2004-09-01,845100
2004-10-01,850000
2004-11-01,855200
2004-12-01,850000
2005-01-01,844100
2005-02-01,860300
2005-03-01,860500
2005-04-01,866600
2005-05-01,873400
2005-06-01,881200
2005-07-01,872200
2005-08-01,877200
2005-09-01,883100
2005-10-01,888300
2005-11-01,885900
2005-12-01,891400
2006-01-01,898500
2006-02-01,910600
2006-03-01,914200
2006-04-01,913800
2006-05-01,923600
2006-06-01,927000
2006-07-01,945500
2006-08-01,932700
2006-09-01,943500
2006-10-01,929500
2006-11-01,937000
2006-12-01,952500
2007-01-01,959800
2007-02-01,969700
2007-03-01,976900
2007-04-01,990400
2007-05-01,977500
2007-06-01,991100
2007-07-01,991499.999999999
2007-08-01,996300
2007-09-01,1009900
2007-10-01,1021600
2007-11-01,1016100
2007-12-01,1023300
2008-01-01,1033300
2008-02-01,1033600
2008-03-01,1055500
2008-04-01,1045800
2008-05-01,1056200
2008-06-01,1051800
2008-07-01,1038100
2008-08-01,1039500
2008-09-01,1058800
2008-10-01,1067300
2008-11-01,1071100
2008-12-01,1082400
2009-01-01,1094900
2009-02-01,1103000
2009-03-01,1117700
2009-04-01,1122900
2009-05-01,1127900
2009-06-01,1133400
2009-07-01,1147300
2009-08-01,1176800
2009-09-01,1147600
2009-10-01,1143200
2009-11-01,1135900
2009-12-01,1130000
2010-01-01,1128400
2010-02-01,1134700
2010-03-01,1134700
2010-04-01,1136200
2010-05-01,1155500
2010-06-01,1171400
2010-07-01,1201300
2010-08-01,1197800
2010-09-01,1212200
2010-10-01,1218600
2010-11-01,1224600
2010-12-01,1218400
2011-01-01,1231300
2011-02-01,1234200
2011-03-01,1218200
2011-04-01,1239500
2011-05-01,1234200
2011-06-01,1229800
2011-07-01,1221000
2011-08-01,1214300
2011-09-01,1212900
2011-10-01,1213400
2011-11-01,1223000
2011-12-01,1251900
2012-01-01,1252000
2012-02-01,1250400
2012-03-01,1278500
2012-04-01,1279800
2012-05-01,1273800
2012-06-01,1279100
2012-07-01,1271700
2012-08-01,1283600
2012-09-01,1289200
2012-10-01,1283400
2012-11-01,1288300
2012-12-01,1294400
2013-01-01,1309000
2013-02-01,1327900
2013-03-01,1317700
2013-04-01,1320200
2013-05-01,1337300
2013-06-01,1337400
2013-07-01,1350200
2013-08-01,1357800
2013-09-01,1359300
2013-10-01,1360600
2013-11-01,1367000
2013-12-01,1372200
2014-01-01,1373400
2014-02-01,1368500
2014-03-01,1357600
2014-04-01,1378500
2014-05-01,1379200
2014-06-01,1380600
2014-07-01,1389700
2014-08-01,1377600
2014-09-01,1376400
2014-10-01,1376900
2014-11-01,1378100
2014-12-01,1371400
2015-01-01,1379800
2015-02-01,1393300
2015-03-01,1419900
2015-04-01,1403000
2015-05-01,1407200
2015-06-01,1406900
2015-07-01,1402300
2015-08-01,1423000
2015-09-01,1408800
2015-10-01,1425900
2015-11-01,1429500
2015-12-01,1436100
2016-01-01,1439000
2016-02-01,1446000
2016-03-01,1457300
2016-04-01,1469500
2016-05-01,1483600
2016-06-01,1474700
2016-07-01,1480500
2016-08-01,1477200
2016-09-01,1501400
2016-10-01,1501300
2016-11-01,1482000
2016-12-01,1483600
2017-01-01,1501000
2017-02-01,1498400
2017-03-01,1492700
2017-04-01,1499300
2017-05-01,1499300
2017-06-01,1526700
2017-07-01,1523900
2017-08-01,1536900
2017-09-01,1524200
2017-10-01,1533000
2017-11-01,1551700
2017-12-01,1572800
2018-01-01,1567500
2018-02-01,1548800
2018-03-01,1543300
2018-04-01,1543800
2018-05-01,1559500
2018-06-01,1553500
2018-07-01,1568500
2018-08-01,1577700
2018-09-01,1583800
2018-10-01,1590900
2018-11-01,1602100
2018-12-01,1573400
2019-01-01,1556500
2019-02-01,1534000
2019-03-01,1563100
2019-04-01,1573000
2019-05-01,1586500
2019-06-01,1598100
2019-07-01,1592200
2019-08-01,1588100
2019-09-01,1624300
2019-10-01,1632500
2019-11-01,1631900
2019-12-01,1621000
2020-01-01,1617800
2020-02-01,1606100
2020-03-01,1553000
2020-04-01,1454100
2020-05-01,1547200
2020-06-01,1550000
2020-07-01,1634700
2020-08-01,1689700
2020-09-01,1575700
2020-10-01,1594800
2020-11-01,1598900
2020-12-01,1590900
2021-01-01,1628000
2021-02-01,1595300
2021-03-01,1641900
2021-04-01,1644000
2021-05-01,1684500
2021-06-01,1648600
2021-07-01,1656700
2021-08-01,1649700
2021-09-01,1649300
2021-10-01,1646500
2021-11-01,1650300
2021-12-01,1627000
2022-01-01,1621900
2022-02-01,1584100
2022-03-01,1614100
2022-04-01,1612200
2022-05-01,1625600
2022-06-01,1587100
2022-07-01,1584200
2022-08-01,1555500
2022-09-01,1622800
2022-10-01,1636500
2022-11-01,1620700
2022-12-01,1611100
2023-01-01,1623500
2023-02-01,1601100
2023-03-01,1641100
2023-04-01,1650100
2023-05-01,1661700
2023-06-01,1639700
2023-07-01,1652900
2023-08-01,1598300
2023-09-01,1629900
2023-10-01,1627800
2023-11-01,1633900
