"Date","LFEMTTMACAM647S"
1960-01-01,4394713.84065655
1960-02-01,4373521.89214145
1960-03-01,4362673.30474122
1960-04-01,4368538.46149659
1960-05-01,4359516.16751162
1960-06-01,4378141.96546647
1960-07-01,4363819.60413254
1960-08-01,4360841.57190561
1960-09-01,4371557.66699796
1960-10-01,4370344.31848946
1960-11-01,4379241.29319276
1960-12-01,4339273.74856307
1961-01-01,4335612.83219366
1961-02-01,4302833.04308859
1961-03-01,4320063.30999392
1961-04-01,4342305.5937211
1961-05-01,4362537.39429141
1961-06-01,4358097.44435718
1961-07-01,4385702.33757978
1961-08-01,4406354.14142226
1961-09-01,4413821.75084027
1961-10-01,4429388.27377807
1961-11-01,4447388.37791787
1961-12-01,4460429.41543059
1962-01-01,4455020.01812327
1962-02-01,4467730.38256041
1962-03-01,4478473.57817068
1962-04-01,4481707.93423618
1962-05-01,4498847.76827351
1962-06-01,4500683.8418588
1962-07-01,4485035.89260469
1962-08-01,4497845.17533364
1962-09-01,4497740.9189085
1962-10-01,4492574.70389518
1962-11-01,4504210.32413582
1962-12-01,4507382.89682454
1963-01-01,4509933.69698801
1963-02-01,4521653.76061518
1963-03-01,4523124.53406846
1963-04-01,4552270.37224203
1963-05-01,4529459.1376996
1963-06-01,4561306.59539737
1963-07-01,4571576.82887691
1963-08-01,4579181.44303551
1963-09-01,4594770.47687054
1963-10-01,4616707.18756362
1963-11-01,4625858.53684416
1963-12-01,4634353.99816005
1964-01-01,4650729.3507195
1964-02-01,4651655.74039621
1964-03-01,4661459.60203141
1964-04-01,4664909.15168031
1964-05-01,4682522.95909798
1964-06-01,4681980.85419012
1964-07-01,4708702.20436926
1964-08-01,4718660.40704559
1964-09-01,4732523.55909523
1964-10-01,4709996.6425503
1964-11-01,4758354.54253087
1964-12-01,4761617.18359889
1965-01-01,4791351.13884817
1965-02-01,4798134.75982718
1965-03-01,4816012.93912
1965-04-01,4782241.15645327
1965-05-01,4813863.8256201
1965-06-01,4829010.66413797
1965-07-01,4853614.00183187
1965-08-01,4861118.90497627
1965-09-01,4861982.15205074
1965-10-01,4878033.53845876
1965-11-01,4894596.24345464
1965-12-01,4928041.8333111
1966-01-01,4929653.1601963
1966-02-01,4986340.57635546
1966-03-01,4976914.57176361
1966-04-01,4992124.40779604
1966-05-01,4956846.73835432
1966-06-01,4934594.90869544
1966-07-01,4949361.04368619
1966-08-01,4961224.92824741
1966-09-01,4974808.22998577
1966-10-01,5008100.46544556
1966-11-01,5012711.1045418
1966-12-01,5032662.76175148
1967-01-01,5048945.36432233
1967-02-01,5042710.67877164
1967-03-01,5057925.37418608
1967-04-01,5042452.00020998
1967-05-01,5059459.38104283
1967-06-01,5036833.16884281
1967-07-01,5071736.21684226
1967-08-01,5087277.13160271
1967-09-01,5083987.78369948
1967-10-01,5054844.25422625
1967-11-01,5064810.61297375
1967-12-01,5054541.55866056
1968-01-01,5040742.64125977
1968-02-01,5047873.9517313
1968-03-01,5036801.93921729
1968-04-01,5088760.35219836
1968-05-01,5084630.29622173
1968-06-01,5120991.70765992
1968-07-01,5117398.7335855
1968-08-01,5129610.7257475
1968-09-01,5146954.2197482
1968-10-01,5162361.83260437
1968-11-01,5164715.70356026
1968-12-01,5142266.42631742
1969-01-01,5225933.513641
1969-02-01,5218637.51175134
1969-03-01,5242829.24652575
1969-04-01,5247115.89498663
1969-05-01,5245845.84709823
1969-06-01,5228236.56585974
1969-07-01,5223994.83384493
1969-08-01,5214680.34451595
1969-09-01,5215875.05305334
1969-10-01,5214263.21080303
1969-11-01,5235271.82569562
1969-12-01,5260751.71429193
1970-01-01,5252106.08102045
1970-02-01,5251513.33009693
1970-03-01,5234147.92649632
1970-04-01,5221516.60764536
1970-05-01,5230648.54312001
1970-06-01,5242811.48741469
1970-07-01,5245092.18699656
1970-08-01,5265098.77393249
1970-09-01,5286216.28470158
1970-10-01,5299251.32568172
1970-11-01,5309795.42537163
1970-12-01,5289897.7126543
1971-01-01,5286850.12133316
1971-02-01,5279404.00524918
1971-03-01,5266121.99065831
1971-04-01,5243296.71879842
1971-05-01,5309441.07470517
1971-06-01,5323354.90028173
1971-07-01,5344519.16905445
1971-08-01,5361155.33930467
1971-09-01,5360350.51717197
1971-10-01,5384161.92069419
1971-11-01,5386114.14337554
1971-12-01,5406791.844459
1972-01-01,5416313.47203565
1972-02-01,5437605.34575938
1972-03-01,5457583.39173457
1972-04-01,5448673.84828618
1972-05-01,5455093.62369106
1972-06-01,5451106.77638512
1972-07-01,5468864.71265729
1972-08-01,5458124.7460484
1972-09-01,5460093.51317749
1972-10-01,5470488.84051306
1972-11-01,5497094.31334365
1972-12-01,5506257.73358096
1973-01-01,5554006.53802513
1973-02-01,5579406.26454814
1973-03-01,5624067.9835654
1973-04-01,5657911.8812706
1973-05-01,5675657.65261176
1973-06-01,5704479.05243319
1973-07-01,5685546.23635382
1973-08-01,5696010.94356444
1973-09-01,5676764.936613
