"Date","LFEMTTMACAM647S"
1973-10-01,5742625.86842512
1973-11-01,5752836.64482873
1973-12-01,5783663.9018212
1974-01-01,5804894.82356235
1974-02-01,5820647.65751904
1974-03-01,5819686.35211377
1974-04-01,5840693.65663396
1974-05-01,5832389.35256498
1974-06-01,5837210.84441526
1974-07-01,5874734.86118452
1974-08-01,5924519.21636292
1974-09-01,5909187.46829139
1974-10-01,5908745.47591085
1974-11-01,5944536.31356523
1974-12-01,5916273.84641264
1975-01-01,5847063.02678454
1975-02-01,5840176.01787066
1975-03-01,5845824.65239014
1975-04-01,5827172.78527464
1975-05-01,5889248.81862583
1975-06-01,5911546.61431339
1975-07-01,5914605.78892455
1975-08-01,5913573.80622531
1975-09-01,5934968.22446394
1975-10-01,5959984.25010998
1975-11-01,5978311.64460072
1975-12-01,5974633.99439613
1976-01-01,6085300
1976-02-01,6097000
1976-03-01,6119300
1976-04-01,6145300
1976-05-01,6125800
1976-06-01,6126700
1976-07-01,6139800
1976-08-01,6136200
1976-09-01,6154100
1976-10-01,6127000
1976-11-01,6154800
1976-12-01,6170600
1977-01-01,6172700
1977-02-01,6172000
1977-03-01,6162800
1977-04-01,6182400
1977-05-01,6179900
1977-06-01,6179200
1977-07-01,6182400
1977-08-01,6198900
1977-09-01,6188300
1977-10-01,6205300
1977-11-01,6213800
1977-12-01,6217300
1978-01-01,6213100
1978-02-01,6250800
1978-03-01,6266400
1978-04-01,6267000
1978-05-01,6282100
1978-06-01,6318900
1978-07-01,6333500
1978-08-01,6349500
1978-09-01,6344700
1978-10-01,6380600
1978-11-01,6385700
1978-12-01,6402800
1979-01-01,6438300
1979-02-01,6430800
1979-03-01,6462100
1979-04-01,6477000
1979-05-01,6518900
1979-06-01,6531500
1979-07-01,6550700
1979-08-01,6559000
1979-09-01,6577500
1979-10-01,6587900
1979-11-01,6602000
1979-12-01,6608900
1980-01-01,6609800
1980-02-01,6631400
1980-03-01,6606400
1980-04-01,6610600
1980-05-01,6581200
1980-06-01,6605700
1980-07-01,6595500
1980-08-01,6619800
1980-09-01,6659800
1980-10-01,6668600
1980-11-01,6707900
1980-12-01,6719100
1981-01-01,6755400
1981-02-01,6775100
1981-03-01,6777800
1981-04-01,6797500
1981-05-01,6778000
1981-06-01,6769900
1981-07-01,6754200
1981-08-01,6762100
1981-09-01,6728000
1981-10-01,6709000
1981-11-01,6704300
1981-12-01,6665800
1982-01-01,6629100
1982-02-01,6605000
1982-03-01,6584700
1982-04-01,6534600
1982-05-01,6502000
1982-06-01,6434400
1982-07-01,6402400
1982-08-01,6346600
1982-09-01,6327500
1982-10-01,6305000
1982-11-01,6279900
1982-12-01,6280700
1983-01-01,6295100
1983-02-01,6305600
1983-03-01,6338500
1983-04-01,6363000
1983-05-01,6376100
1983-06-01,6407300
1983-07-01,6444700
1983-08-01,6471300
1983-09-01,6508600
1983-10-01,6489500
1983-11-01,6485100
1983-12-01,6494700
1984-01-01,6487700
1984-02-01,6504700
1984-03-01,6500600
1984-04-01,6498000
1984-05-01,6518400
1984-06-01,6571600
1984-07-01,6595900
1984-08-01,6578500
1984-09-01,6587100
1984-10-01,6601400
1984-11-01,6575700
1984-12-01,6603000
1985-01-01,6623900
1985-02-01,6629400
1985-03-01,6644100
1985-04-01,6668700
1985-05-01,6696700
1985-06-01,6694100
1985-07-01,6727300
1985-08-01,6732200
1985-09-01,6721200
1985-10-01,6725500
1985-11-01,6776500
1985-12-01,6794900
1986-01-01,6822400
1986-02-01,6824500
1986-03-01,6835200
1986-04-01,6885100
1986-05-01,6862400
1986-06-01,6862000
1986-07-01,6862100
1986-08-01,6865300
1986-09-01,6879000
1986-10-01,6895900
1986-11-01,6914700
1986-12-01,6915300
1987-01-01,6912800
1987-02-01,6927200
1987-03-01,6954900
1987-04-01,6979900
1987-05-01,7010300
1987-06-01,7020200
1987-07-01,7024800
1987-08-01,7037800
1987-09-01,7065900
1987-10-01,7099900
1987-11-01,7116500
1987-12-01,7147600
1988-01-01,7161000
1988-02-01,7172300
1988-03-01,7181700
1988-04-01,7170800
1988-05-01,7164100
1988-06-01,7163100
1988-07-01,7174600
1988-08-01,7179900
1988-09-01,7170200
1988-10-01,7170300
1988-11-01,7198100
1988-12-01,7222600
1989-01-01,7261100
1989-02-01,7277900
1989-03-01,7299800
1989-04-01,7285200
1989-05-01,7284100
1989-06-01,7290400
1989-07-01,7284900
1989-08-01,7310100
1989-09-01,7310100
1989-10-01,7302700
1989-11-01,7311000
1989-12-01,7302100
1990-01-01,7318100
1990-02-01,7338200
1990-03-01,7333800
1990-04-01,7332800
1990-05-01,7298200
1990-06-01,7296100
1990-07-01,7282300
1990-08-01,7269900
1990-09-01,7269200
1990-10-01,7235700
1990-11-01,7191100
1990-12-01,7157900
1991-01-01,7122000
1991-02-01,7085100
1991-03-01,7041000
1991-04-01,7069700
1991-05-01,7075900
1991-06-01,7074700
1991-07-01,7071800
1991-08-01,7065300
1991-09-01,7058500
1991-10-01,7063500
1991-11-01,7043900
1991-12-01,7028500
1992-01-01,7002100
1992-02-01,6976200
1992-03-01,6975600
1992-04-01,6961300
1992-05-01,6973400
1992-06-01,6956300
1992-07-01,6970100
1992-08-01,6935000
1992-09-01,6948800
1992-10-01,6947000
1992-11-01,6939700
1992-12-01,6953700
1993-01-01,6980100
1993-02-01,6992500
1993-03-01,6992100
1993-04-01,6986900
1993-05-01,6987000
1993-06-01,6984800
1993-07-01,7000900
1993-08-01,7005200
1993-09-01,7002400
1993-10-01,6998400
1993-11-01,7018100
1993-12-01,7013500
1994-01-01,7011400
1994-02-01,7042500
1994-03-01,7061200
1994-04-01,7083700
1994-05-01,7126500
1994-06-01,7135700
1994-07-01,7171700
1994-08-01,7181100
1994-09-01,7201600
1994-10-01,7203000
1994-11-01,7254300
1994-12-01,7220200
1995-01-01,7251300
1995-02-01,7248600
1995-03-01,7262300
1995-04-01,7254100
1995-05-01,7239200
1995-06-01,7244300
1995-07-01,7248500
1995-08-01,7261500
1995-09-01,7272000
1995-10-01,7279200
1995-11-01,7275900
1995-12-01,7298600
1996-01-01,7309300
1996-02-01,7309900
1996-03-01,7294600
1996-04-01,7315700
1996-05-01,7312700
1996-06-01,7307500
1996-07-01,7341100
1996-08-01,7349100
1996-09-01,7310200
1996-10-01,7311300
1996-11-01,7325000
1996-12-01,7343100
1997-01-01,7375200
1997-02-01,7376000
1997-03-01,7383900
1997-04-01,7366600
1997-05-01,7431900
1997-06-01,7465700
1997-07-01,7485200
1997-08-01,7523200
1997-09-01,7547500
1997-10-01,7567500
1997-11-01,7576000
1997-12-01,7578100
1998-01-01,7563000
1998-02-01,7576800
1998-03-01,7584500
1998-04-01,7587700
1998-05-01,7606300
1998-06-01,7608500
1998-07-01,7622800
1998-08-01,7640100
1998-09-01,7647000
1998-10-01,7642300
1998-11-01,7666500
1998-12-01,7664200
1999-01-01,7711700
1999-02-01,7708400
1999-03-01,7725500
1999-04-01,7752400
1999-05-01,7767700
1999-06-01,7774700
1999-07-01,7796900
1999-08-01,7797200
1999-09-01,7825200
1999-10-01,7860200
1999-11-01,7887000
1999-12-01,7933600
2000-01-01,7934700
2000-02-01,7935000
2000-03-01,7953500
2000-04-01,7969600
2000-05-01,7956900
2000-06-01,7940500
2000-07-01,7961400
2000-08-01,7963300
2000-09-01,7987500
2000-10-01,7997600
2000-11-01,8014800
2000-12-01,8057800
2001-01-01,8026800
2001-02-01,8022000
2001-03-01,8005000
2001-04-01,8028000
2001-05-01,8024800
2001-06-01,8026900
2001-07-01,8033900
2001-08-01,8038000
2001-09-01,8040100
2001-10-01,8040600
2001-11-01,8025600
2001-12-01,8001100
2002-01-01,8013700
2002-02-01,8054700
2002-03-01,8100900
2002-04-01,8120900
2002-05-01,8157100
2002-06-01,8190500
2002-07-01,8202600
2002-08-01,8231900
2002-09-01,8225600
2002-10-01,8220900
2002-11-01,8254300
2002-12-01,8283200
2003-01-01,8298200
2003-02-01,8323600
2003-03-01,8323200
2003-04-01,8332900
2003-05-01,8305400
2003-06-01,8324900
2003-07-01,8329600
2003-08-01,8311000
2003-09-01,8343900
2003-10-01,8359600
2003-11-01,8395700
2003-12-01,8397500
2004-01-01,8416200
2004-02-01,8400400
2004-03-01,8414400
2004-04-01,8446300
2004-05-01,8438200
2004-06-01,8446000
2004-07-01,8474700
2004-08-01,8491600
2004-09-01,8505000
2004-10-01,8524200
2004-11-01,8524600
2004-12-01,8527200
2005-01-01,8531500
2005-02-01,8530500
2005-03-01,8538000
2005-04-01,8530300
2005-05-01,8555000
2005-06-01,8566200
2005-07-01,8588400
2005-08-01,8610100
2005-09-01,8606800
2005-10-01,8633800
2005-11-01,8629100
2005-12-01,8640800
2006-01-01,8625600
2006-02-01,8662400
2006-03-01,8694300
2006-04-01,8701400
2006-05-01,8733900
2006-06-01,8721500
2006-07-01,8716900
2006-08-01,8727800
2006-09-01,8731800
2006-10-01,8741500
2006-11-01,8733600
2006-12-01,8758300
2007-01-01,8798200
2007-02-01,8804500
2007-03-01,8792100
2007-04-01,8805300
2007-05-01,8828800
2007-06-01,8854100
2007-07-01,8874700
2007-08-01,8867500
2007-09-01,8879800
2007-10-01,8892300
2007-11-01,8921500
2007-12-01,8926000
2008-01-01,8965400
2008-02-01,8969900
2008-03-01,8974500
2008-04-01,8972000
2008-05-01,8957600
2008-06-01,8957800
2008-07-01,8950600
2008-08-01,8973200
2008-09-01,9000400
2008-10-01,9013100
2008-11-01,8953400
2008-12-01,8927600
2009-01-01,8829000
2009-02-01,8768000
2009-03-01,8746800
2009-04-01,8708400
2009-05-01,8725900
2009-06-01,8712900
2009-07-01,8729200
2009-08-01,8709900
2009-09-01,8709300
2009-10-01,8757800
2009-11-01,8775100
2009-12-01,8754700
2010-01-01,8759400
2010-02-01,8763000
2010-03-01,8796300
2010-04-01,8845400
2010-05-01,8852100
2010-06-01,8893400
2010-07-01,8907600
2010-08-01,8939700
2010-09-01,8947100
2010-10-01,8926500
2010-11-01,8963500
2010-12-01,8982100
2011-01-01,9006700
2011-02-01,9001600
2011-03-01,9029700
2011-04-01,9046000
2011-05-01,9029200
2011-06-01,9068800
2011-07-01,9087700
2011-08-01,9103000
2011-09-01,9116600
2011-10-01,9110000
2011-11-01,9091600
2011-12-01,9077400
2012-01-01,9077500
2012-02-01,9075900
2012-03-01,9126100
2012-04-01,9173800
2012-05-01,9185500
2012-06-01,9183300
2012-07-01,9184200
2012-08-01,9203400
2012-09-01,9226700
2012-10-01,9211500
2012-11-01,9215300
2012-12-01,9252600
2013-01-01,9253500
2013-02-01,9291700
2013-03-01,9250900
2013-04-01,9275000
2013-05-01,9316600
2013-06-01,9301500
2013-07-01,9293400
2013-08-01,9283300
2013-09-01,9292100
2013-10-01,9298700
2013-11-01,9313400
2013-12-01,9290500
2014-01-01,9315100
2014-02-01,9309100
2014-03-01,9321800
2014-04-01,9310100
2014-05-01,9300700
2014-06-01,9310400
2014-07-01,9339100
2014-08-01,9346600
2014-09-01,9352600
2014-10-01,9384700
2014-11-01,9383300
2014-12-01,9431800
2015-01-01,9404400
2015-02-01,9402900
2015-03-01,9419900
2015-04-01,9396600
2015-05-01,9417300
2015-06-01,9429300
2015-07-01,9431300
2015-08-01,9439000
2015-09-01,9438500
2015-10-01,9447500
2015-11-01,9408200
2015-12-01,9388300
2016-01-01,9383100
2016-02-01,9411100
2016-03-01,9389200
2016-04-01,9403400
2016-05-01,9429100
2016-06-01,9426100
2016-07-01,9438000
2016-08-01,9466700
2016-09-01,9480100
2016-10-01,9483500
2016-11-01,9501900
2016-12-01,9519200
2017-01-01,9549400
2017-02-01,9580200
2017-03-01,9589600
2017-04-01,9612000
2017-05-01,9614500
2017-06-01,9639800
2017-07-01,9671400
2017-08-01,9708400
2017-09-01,9694300
2017-10-01,9727100
2017-11-01,9772600
2017-12-01,9804200
2018-01-01,9799000
2018-02-01,9780700
2018-03-01,9817500
2018-04-01,9807500
2018-05-01,9807400
2018-06-01,9845300
2018-07-01,9845600
2018-08-01,9803700
2018-09-01,9868600
2018-10-01,9863800
2018-11-01,9922600
2018-12-01,9935900
2019-01-01,9969900
2019-02-01,9974700
2019-03-01,9980800
2019-04-01,10054900
2019-05-01,10048000
2019-06-01,10046600
2019-07-01,10058200
2019-08-01,10079300
2019-09-01,10067800
2019-10-01,10065500
2019-11-01,10039300
2019-12-01,10076900
2020-01-01,10081700
2020-02-01,10101400
2020-03-01,9654700
2020-04-01,8564400
2020-05-01,8790000
2020-06-01,9286200
2020-07-01,9449500
2020-08-01,9553700
2020-09-01,9741500
2020-10-01,9766400
2020-11-01,9776800
2020-12-01,9772000
2021-01-01,9714300
2021-02-01,9844800
2021-03-01,9966500
2021-04-01,9872200
2021-05-01,9863000
2021-06-01,9921400
2021-07-01,9980500
2021-08-01,10003300
2021-09-01,10069900
2021-10-01,10110300
2021-11-01,10162700
2021-12-01,10219200
2022-01-01,10124200
2022-02-01,10273400
2022-03-01,10311200
2022-04-01,10342000
2022-05-01,10302500
2022-06-01,10292100
2022-07-01,10326900
2022-08-01,10342300
2022-09-01,10334000
2022-10-01,10374100
2022-11-01,10372900
2022-12-01,10410400
2023-01-01,10483300
2023-02-01,10476400
2023-03-01,10497900
2023-04-01,10535900
2023-05-01,10533500
2023-06-01,10594100
2023-07-01,10584600
2023-08-01,10598500
2023-09-01,10634700
2023-10-01,10666800
2023-11-01,10673400
