"Date","CANLOCOCINOSTSAM"
1980-01-01,101.991082269433
1980-02-01,101.858977164427
1980-03-01,101.734310288523
1980-04-01,101.638156775424
1980-05-01,101.610892237294
1980-06-01,101.663374079735
1980-07-01,101.775602760471
1980-08-01,101.889647597695
1980-09-01,101.964541255524
1980-10-01,101.964750332199
1980-11-01,101.851429706981
1980-12-01,101.608923964835
1981-01-01,101.249456416657
1981-02-01,100.827039774504
1981-03-01,100.356898902611
1981-04-01,99.8421586788626
1981-05-01,99.3038703493391
1981-06-01,98.750179385844
1981-07-01,98.2110303287744
1981-08-01,97.7738510642431
1981-09-01,97.4543874560095
1981-10-01,97.2237331152429
1981-11-01,97.026746261849
1981-12-01,96.8185126897062
1982-01-01,96.5736188522888
1982-02-01,96.2960462327974
1982-03-01,95.9973568573934
1982-04-01,95.7111797462503
1982-05-01,95.5090170627181
1982-06-01,95.4385168318429
1982-07-01,95.5319595511742
1982-08-01,95.8051035420789
1982-09-01,96.2739315608994
1982-10-01,96.9284714442661
1982-11-01,97.6924082743708
1982-12-01,98.5385965792904
1983-01-01,99.4272117587294
1983-02-01,100.237885874399
1983-03-01,100.934031157794
1983-04-01,101.497363561072
1983-05-01,101.870598412451
1983-06-01,102.064633747532
1983-07-01,102.124388746076
1983-08-01,102.107516406013
1983-09-01,102.055258772394
1983-10-01,101.986371781331
1983-11-01,101.893649777382
1983-12-01,101.773566679058
1984-01-01,101.625866665809
1984-02-01,101.455218919385
1984-03-01,101.262993624797
1984-04-01,101.052779536817
1984-05-01,100.837581744769
1984-06-01,100.621854116008
1984-07-01,100.410634075038
1984-08-01,100.218870838954
1984-09-01,100.055704072971
1984-10-01,99.932403306819
1984-11-01,99.8684299984606
1984-12-01,99.8709397646825
1985-01-01,99.9340934637727
1985-02-01,100.033790014713
1985-03-01,100.158091510776
1985-04-01,100.295387776118
1985-05-01,100.421008889368
1985-06-01,100.528745479918
1985-07-01,100.617815058741
1985-08-01,100.681346193945
1985-09-01,100.709766554084
1985-10-01,100.682946440663
1985-11-01,100.565114281421
1985-12-01,100.360264476529
1986-01-01,100.118090378689
1986-02-01,99.9464300579658
1986-03-01,99.8885067562071
1986-04-01,99.9335344550561
1986-05-01,100.019434726181
1986-06-01,100.116868000887
1986-07-01,100.222190179857
1986-08-01,100.349869868708
1986-09-01,100.514786283104
1986-10-01,100.72306385991
1986-11-01,100.960533553482
1986-12-01,101.215756102943
1987-01-01,101.463884869689
1987-02-01,101.649563849465
1987-03-01,101.748541961583
1987-04-01,101.756189802819
1987-05-01,101.682555765297
1987-06-01,101.544985814952
1987-07-01,101.376200734535
1987-08-01,101.237275515472
1987-09-01,101.157280188823
1987-10-01,101.146971058367
1987-11-01,101.208552156398
1987-12-01,101.320069676624
1988-01-01,101.435595422062
1988-02-01,101.482109202663
1988-03-01,101.438696624564
1988-04-01,101.338645217083
1988-05-01,101.278257986644
1988-06-01,101.298675692266
1988-07-01,101.39640301063
1988-08-01,101.528264564694
1988-09-01,101.655585985805
1988-10-01,101.741576445406
1988-11-01,101.749232053101
1988-12-01,101.645966041575
1989-01-01,101.410451468743
1989-02-01,101.047578694778
1989-03-01,100.576959533168
1989-04-01,100.066775268698
1989-05-01,99.6754595942654
1989-06-01,99.4462634769184
1989-07-01,99.3433867228626
1989-08-01,99.2765127773655
1989-09-01,99.189996167213
1989-10-01,99.0757723887294
1989-11-01,98.987665094054
1989-12-01,98.9304358370249
1990-01-01,98.874126623152
1990-02-01,98.766120613254
1990-03-01,98.5722364435146
1990-04-01,98.2922561721115
1990-05-01,97.9815067161048
1990-06-01,97.6645075055052
1990-07-01,97.3646753782326
1990-08-01,97.1343251137746
1990-09-01,97.0058532480176
1990-10-01,97.0151777277846
1990-11-01,97.2176790307903
1990-12-01,97.6224161701816
1991-01-01,98.183916486478
1991-02-01,98.7792442083678
1991-03-01,99.344282998229
1991-04-01,99.836710734276
1991-05-01,100.200942530196
1991-06-01,100.417017154755
1991-07-01,100.479545197618
1991-08-01,100.387089184935
1991-09-01,100.159658437418
1991-10-01,99.8498314938432
1991-11-01,99.5633649067
1991-12-01,99.3590945638596
1992-01-01,99.2733740810459
1992-02-01,99.3384071673362
1992-03-01,99.5426594708396
1992-04-01,99.8294473310078
1992-05-01,100.085327799935
1992-06-01,100.247373047824
1992-07-01,100.287450478476
1992-08-01,100.20304030888
1992-09-01,100.015639366045
1992-10-01,99.7788782691962
1992-11-01,99.5938373164954
1992-12-01,99.4865931325555
1993-01-01,99.4229772160793
1993-02-01,99.317556794329
1993-03-01,99.1346787793213
1993-04-01,98.8969395522057
1993-05-01,98.6990285447467
1993-06-01,98.5920277255179
1993-07-01,98.597967400554
1993-08-01,98.7176763742881
1993-09-01,98.9524820049796
1993-10-01,99.2954393020357
1993-11-01,99.7141324835015
1993-12-01,100.184149892324
1994-01-01,100.658374476692
1994-02-01,101.032445697688
1994-03-01,101.285552923843
1994-04-01,101.452520412357
1994-05-01,101.604454812159
1994-06-01,101.770150954545
1994-07-01,101.923777364611
1994-08-01,101.971468665269
1994-09-01,101.8715044583
1994-10-01,101.62917492022
1994-11-01,101.30215145083
1994-12-01,100.919406829686
1995-01-01,100.502697810179
1995-02-01,100.091952425517
1995-03-01,99.7059938442086
1995-04-01,99.3697411316797
1995-05-01,99.139528605461
1995-06-01,99.0075899512849
1995-07-01,98.9159850359176
1995-08-01,98.7633627300889
1995-09-01,98.5247585260076
1995-10-01,98.2596217012926
1995-11-01,98.1259044479152
1995-12-01,98.1827317159886
1996-01-01,98.3967395761538
