"Date","TWEXMPA"
1973-01-01,108.2803
1973-02-01,103.495
1973-03-01,100
1973-04-01,100.7017
1973-05-01,99.3214
1973-06-01,97.4136
1973-07-01,94.7303
1973-08-01,96.8804
1973-09-01,96.6174
1973-10-01,96.307
1973-11-01,98.7118
1973-12-01,99.6426
1974-01-01,102.908
1974-02-01,100.1977
1974-03-01,98.099
1974-04-01,96.3189
1974-05-01,95.2881
1974-06-01,96.3419
1974-07-01,96.58
1974-08-01,98.4403
1974-09-01,99.3586
1974-10-01,98.2409
1974-11-01,97.4898
1974-12-01,96.4146
1975-01-01,95.4763
1975-02-01,94.1057
1975-03-01,93.0809
1975-04-01,93.9614
1975-05-01,93.2205
1975-06-01,93.1717
1975-07-01,95.7911
1975-08-01,97.2391
1975-09-01,97.9332
1975-10-01,97.5564
1975-11-01,97.2585
1975-12-01,97.8006
1976-01-01,97.0259
1976-02-01,96.1563
1976-03-01,96.5364
1976-04-01,96.4961
1976-05-01,96.5144
1976-06-01,96.6573
1976-07-01,96.2406
1976-08-01,96.1122
1976-09-01,95.07
1976-10-01,95.2266
1976-11-01,95.4167
1976-12-01,95.7234
1977-01-01,94.8818
1977-02-01,95.4529
1977-03-01,95.3116
1977-04-01,94.7285
1977-05-01,94.2822
1977-06-01,94.0793
1977-07-01,92.9699
1977-08-01,93.7103
1977-09-01,93.5852
1977-10-01,92.3913
1977-11-01,91.4018
1977-12-01,89.6544
1978-01-01,89.0138
1978-02-01,88.8093
1978-03-01,87.9192
1978-04-01,87.9605
1978-05-01,89.0457
1978-06-01,87.607
1978-07-01,85.3486
1978-08-01,83.4795
1978-09-01,84.2858
1978-10-01,82.4731
1978-11-01,84.6991
1978-12-01,84.9563
1979-01-01,85.1997
1979-02-01,86.1534
1979-03-01,86.3226
1979-04-01,87.3647
1979-05-01,88.4934
1979-06-01,88.603
1979-07-01,86.5248
1979-08-01,87.4819
1979-09-01,87.5697
1979-10-01,89.0639
1979-11-01,90.6246
1979-12-01,89.3617
1980-01-01,88.9485
1980-02-01,89.87
1980-03-01,93.491
1980-04-01,94.2663
1980-05-01,90.3717
1980-06-01,88.3603
1980-07-01,87.6836
1980-08-01,88.7797
1980-09-01,87.9469
1980-10-01,88.5211
1980-11-01,90.6452
1980-12-01,91.8051
1981-01-01,91.1053
1981-02-01,94.2555
1981-03-01,94.434
1981-04-01,96.2203
1981-05-01,99.4085
1981-06-01,101.5629
1981-07-01,104.48
1981-08-01,106.1941
1981-09-01,103.5503
1981-10-01,102.5232
1981-11-01,100.1009
1981-12-01,99.7147
1982-01-01,101.1124
1982-02-01,104.066
1982-03-01,105.2214
1982-04-01,106.1359
1982-05-01,104.3949
1982-06-01,109.939
1982-07-01,111.4069
1982-08-01,111.1419
1982-09-01,111.3738
1982-10-01,113.1017
1982-11-01,112.6805
1982-12-01,108.0967
1983-01-01,106.5061
1983-02-01,107.7015
1983-03-01,108.2951
1983-04-01,109.2172
1983-05-01,108.8428
1983-06-01,110.6436
1983-07-01,111.447
1983-08-01,113.0122
1983-09-01,112.6605
1983-10-01,110.5887
1983-11-01,112.1248
1983-12-01,113.5258
1984-01-01,114.8192
1984-02-01,113.1681
1984-03-01,111.2004
1984-04-01,112.6094
1984-05-01,115.2165
1984-06-01,115.9985
1984-07-01,119.9506
1984-08-01,119.934
1984-09-01,122.825
1984-10-01,123.8894
1984-11-01,122.0705
1984-12-01,124.4199
1985-01-01,126.7397
1985-02-01,131.1274
1985-03-01,131.551
1985-04-01,126.3152
1985-05-01,126.5185
1985-06-01,124.9752
1985-07-01,120.3777
1985-08-01,118.6372
1985-09-01,119.8913
1985-10-01,113.6158
1985-11-01,111.8123
1985-12-01,111.0633
1986-01-01,109.9539
1986-02-01,105.4478
1986-03-01,102.6893
1986-04-01,101.3277
1986-05-01,99.0193
1986-06-01,99.9441
1986-07-01,97.2022
1986-08-01,95.4914
1986-09-01,95.5512
1986-10-01,95.6623
1986-11-01,97.0275
1986-12-01,96.2063
1987-01-01,92.738
1987-02-01,91.4195
1987-03-01,90.6592
1987-04-01,88.526
