"Date","MANMM101CAM189N"
1960-01-01,9595579227.6964
1960-02-01,9259547270.30626
1960-03-01,9321153129.16112
1960-04-01,9556375499.33422
1960-05-01,9554508655.1265
1960-06-01,9724391478.0293
1960-07-01,9737459387.48336
1960-08-01,9815866844.20772
1960-09-01,10079091877.4967
1960-10-01,10243374167.7763
1960-11-01,10209770972.0373
1960-12-01,10265776298.269
1961-01-01,10114561917.4434
1961-02-01,9838268974.7004
1961-03-01,9924143808.25566
1961-04-01,9927877496.67111
1961-05-01,9950279627.16378
1961-06-01,10043621837.5499
1961-07-01,10260175765.6458
1961-08-01,10472996005.3262
1961-09-01,10519667110.5193
1961-10-01,10654079893.4754
1961-11-01,10837030625.8322
1961-12-01,10922905459.3875
1962-01-01,10560737683.0892
1962-02-01,10170567243.6751
1962-03-01,10204170439.4141
1962-04-01,10405789613.8482
1962-05-01,10422591211.7177
1962-06-01,10474862849.534
1962-07-01,10476729693.7417
1962-08-01,10454327563.249
1962-09-01,10797826897.47
1962-10-01,11096521970.7057
1962-11-01,11131992010.6525
1962-12-01,11344812250.3329
1963-01-01,11061051930.759
1963-02-01,10609275632.49
1963-03-01,10687683089.2144
1963-04-01,11107723035.9521
1963-05-01,11247736351.5313
1963-06-01,11223467376.8309
1963-07-01,11370948069.241
1963-08-01,11251470039.9467
1963-09-01,11468023968.0426
1963-10-01,11619238348.8682
1963-11-01,11647241011.984
1963-12-01,11753651131.8242
1964-01-01,11673376830.8921
1964-02-01,11189864181.0919
1964-03-01,11426953395.4727
1964-04-01,11690178428.7617
1964-05-01,11660308921.4381
1964-06-01,11792854860.1864
1964-07-01,11856327563.249
1964-08-01,11863794940.0799
1964-09-01,11949669773.6352
1964-10-01,12156889480.6924
1964-11-01,12160623169.1079
1964-12-01,12494788282.2903
1965-01-01,12188625832.2237
1965-02-01,11790988015.9787
1965-03-01,11951536617.8429
1965-04-01,12323038615.1798
1965-05-01,12319304926.7643
1965-06-01,12554527296.9374
1965-07-01,12739344873.502
1965-08-01,12883091877.4967
1965-09-01,12828953395.4727
1965-10-01,12942830892.1438
1965-11-01,13114580559.2543
1965-12-01,13310599201.0652
1966-01-01,13038039946.7377
1966-02-01,12692673768.3089
1966-03-01,12840154460.719
1966-04-01,13138849533.9547
1966-05-01,13073509986.6844
1966-06-01,13308732356.8575
1966-07-01,13474881491.3449
1966-08-01,13579424766.9774
1966-09-01,13708237017.3103
1966-10-01,13932258322.237
1966-11-01,14014399467.3768
1966-12-01,14408303595.2064
1967-01-01,14090940079.8935
1967-02-01,13963994673.7683
1967-03-01,14174948069.241
1967-04-01,14524047936.0852
1967-05-01,14494178428.7617
1967-06-01,14632324900.1332
1967-07-01,14852612516.6445
1967-08-01,14888082556.5912
1967-09-01,15225981358.1891
1967-10-01,15388396804.261
1967-11-01,15145707057.257
1967-12-01,15597483355.526
1968-01-01,15233448735.02
1968-02-01,14563251664.4474
1968-03-01,14443773635.1531
1968-04-01,14779805592.5433
1968-05-01,14787272969.3742
1968-06-01,14964623169.1079
1968-07-01,15534010652.4634
1968-08-01,16000721704.3941
1968-09-01,15950316910.7856
1968-10-01,16127667110.5193
1968-11-01,16110865512.6498
1968-12-01,16627981358.1891
1969-01-01,16476766977.3635
1969-02-01,15660956058.5885
1969-03-01,15871909454.0613
1969-04-01,16411427430.0932
1969-05-01,16433829560.5859
1969-06-01,16538372836.2184
1969-07-01,16816532623.1691
1969-08-01,16586910785.6192
1969-09-01,16680252996.0053
1969-10-01,16971480692.4101
1969-11-01,16596245006.6578
