"Date","LFUN25MACAM647N"
1998-03-01,501900
1998-04-01,478000
1998-05-01,454300
1998-06-01,400100
1998-07-01,411300
1998-08-01,384800
1998-09-01,373100
1998-10-01,390200
1998-11-01,411900
1998-12-01,435700
1999-01-01,481300
1999-02-01,471400
1999-03-01,478300
1999-04-01,473200
1999-05-01,403600
1999-06-01,365600
1999-07-01,362700
1999-08-01,380700
1999-09-01,344700
1999-10-01,342200
1999-11-01,354300
1999-12-01,355200
2000-01-01,416900
2000-02-01,400200
2000-03-01,406600
2000-04-01,392400
2000-05-01,347300
2000-06-01,333800
2000-07-01,327100
2000-08-01,340900
2000-09-01,297600
2000-10-01,307700
2000-11-01,340300
2000-12-01,362900
2001-01-01,436600
2001-02-01,425100
2001-03-01,447900
2001-04-01,432500
2001-05-01,390700
2001-06-01,366000
2001-07-01,350100
2001-08-01,363800
2001-09-01,326000
2001-10-01,351800
2001-11-01,389500
2001-12-01,472000
2002-01-01,557200
2002-02-01,522100
2002-03-01,512900
2002-04-01,482000
2002-05-01,436900
2002-06-01,386400
2002-07-01,392000
2002-08-01,377400
2002-09-01,361300
2002-10-01,365400
2002-11-01,385000
2002-12-01,430700
2003-01-01,471800
2003-02-01,466600
2003-03-01,472600
2003-04-01,455400
2003-05-01,436300
2003-06-01,378900
2003-07-01,400300
2003-08-01,414900
2003-09-01,365900
2003-10-01,366200
2003-11-01,388100
2003-12-01,393200
2004-01-01,460600
2004-02-01,469700
2004-03-01,474800
2004-04-01,444800
2004-05-01,392300
2004-06-01,361200
2004-07-01,338900
2004-08-01,341400
2004-09-01,319100
2004-10-01,328600
2004-11-01,371600
2004-12-01,399000
2005-01-01,447300
2005-02-01,448800
2005-03-01,449500
2005-04-01,431800
2005-05-01,372400
2005-06-01,328900
2005-07-01,332000
2005-08-01,353300
2005-09-01,306400
2005-10-01,315400
2005-11-01,341100
2005-12-01,358900
2006-01-01,442700
2006-02-01,436100
2006-03-01,417000
2006-04-01,391300
2006-05-01,338700
2006-06-01,298500
2006-07-01,316900
2006-08-01,331100
2006-09-01,316700
2006-10-01,316300
2006-11-01,355100
2006-12-01,368600
2007-01-01,414500
2007-02-01,410300
2007-03-01,420400
2007-04-01,407800
2007-05-01,347600
2007-06-01,318100
2007-07-01,309700
2007-08-01,316400
2007-09-01,290900
2007-10-01,313500
2007-11-01,331900
2007-12-01,364300
2008-01-01,418200
2008-02-01,389800
2008-03-01,420000
2008-04-01,406100
2008-05-01,336600
2008-06-01,315700
2008-07-01,334500
2008-08-01,320100
2008-09-01,323000
2008-10-01,321100
2008-11-01,383800
2008-12-01,423400
2009-01-01,552900
2009-02-01,581500
2009-03-01,624900
2009-04-01,614500
2009-05-01,553600
2009-06-01,507900
2009-07-01,510200
2009-08-01,495900
2009-09-01,472900
2009-10-01,473600
2009-11-01,513400
2009-12-01,543400
2010-01-01,591100
2010-02-01,576800
2010-03-01,581900
2010-04-01,555000
2010-05-01,521500
2010-06-01,443200
2010-07-01,466600
2010-08-01,472700
2010-09-01,410400
2010-10-01,402200
2010-11-01,432300
2010-12-01,461400
2011-01-01,521500
2011-02-01,503400
2011-03-01,522900
2011-04-01,500300
2011-05-01,432200
2011-06-01,394100
2011-07-01,395200
2011-08-01,395500
2011-09-01,350700
2011-10-01,370800
2011-11-01,403800
2011-12-01,437000
2012-01-01,500700
2012-02-01,463600
2012-03-01,497000
2012-04-01,477200
2012-05-01,429600
2012-06-01,377800
2012-07-01,409500
2012-08-01,4e+05
2012-09-01,346300
2012-10-01,366600
2012-11-01,389800
2012-12-01,399100
2013-01-01,468900
2013-02-01,434600
2013-03-01,463800
2013-04-01,439400
2013-05-01,406800
2013-06-01,382300
2013-07-01,386100
2013-08-01,380100
2013-09-01,345200
2013-10-01,361800
2013-11-01,390000
2013-12-01,437600
2014-01-01,483100
2014-02-01,482100
2014-03-01,467900
2014-04-01,445500
2014-05-01,405600
2014-06-01,379900
2014-07-01,397600
2014-08-01,376700
2014-09-01,336800
2014-10-01,342400
2014-11-01,355500
2014-12-01,367000
2015-01-01,435400
2015-02-01,455400
2015-03-01,466300
2015-04-01,441100
2015-05-01,401300
2015-06-01,371400
2015-07-01,380800
2015-08-01,387200
2015-09-01,367000
2015-10-01,380700
2015-11-01,410900
2015-12-01,449000
2016-01-01,508800
2016-02-01,518600
2016-03-01,522200
2016-04-01,486700
2016-05-01,412900
2016-06-01,375400
2016-07-01,381700
2016-08-01,421100
2016-09-01,367300
2016-10-01,371700
2016-11-01,389600
2016-12-01,409400
2017-01-01,450600
2017-02-01,444600
2017-03-01,469500
2017-04-01,441500
2017-05-01,378700
