"Date","MAM2A2CAM189S"
1968-01-01,2.552e+10
1968-02-01,2.5774e+10
1968-03-01,2.5898e+10
1968-04-01,2.6155e+10
1968-05-01,2.6624e+10
1968-06-01,2.6908e+10
1968-07-01,2.7325e+10
1968-08-01,2.786e+10
1968-09-01,2.8003e+10
1968-10-01,2.8333e+10
1968-11-01,2.8694e+10
1968-12-01,2.8984e+10
1969-01-01,2.9388e+10
1969-02-01,2.9315e+10
1969-03-01,2.9577e+10
1969-04-01,2.992e+10
1969-05-01,3.0076e+10
1969-06-01,3.03e+10
1969-07-01,3.0495e+10
1969-08-01,3.0556e+10
1969-09-01,3.084e+10
1969-10-01,3.1237e+10
1969-11-01,3.1511e+10
1969-12-01,3.1755e+10
1970-01-01,3.1492e+10
1970-02-01,3.1763e+10
1970-03-01,3.2017e+10
1970-04-01,3.2313e+10
1970-05-01,3.2459e+10
1970-06-01,3.2783e+10
1970-07-01,3.302e+10
1970-08-01,3.3296e+10
1970-09-01,3.3647e+10
1970-10-01,3.3773e+10
1970-11-01,3.4131e+10
1970-12-01,3.4647e+10
1971-01-01,3.47e+10
1971-02-01,3.5167e+10
1971-03-01,3.5703e+10
1971-04-01,3.6017e+10
1971-05-01,3.6495e+10
1971-06-01,3.7267e+10
1971-07-01,3.7277e+10
1971-08-01,3.7765e+10
1971-09-01,3.8134e+10
1971-10-01,3.8395e+10
1971-11-01,3.8281e+10
1971-12-01,3.8644e+10
1972-01-01,3.9059e+10
1972-02-01,3.9487e+10
1972-03-01,4.0016e+10
1972-04-01,4.0225e+10
1972-05-01,4.0568e+10
1972-06-01,4.0879e+10
1972-07-01,4.1339e+10
1972-08-01,4.1712e+10
1972-09-01,4.2281e+10
1972-10-01,4.2852e+10
1972-11-01,4.333e+10
1972-12-01,4.3793e+10
1973-01-01,4.435e+10
1973-02-01,4.4833e+10
1973-03-01,4.5087e+10
1973-04-01,4.5699e+10
1973-05-01,4.6378e+10
1973-06-01,4.6928e+10
1973-07-01,4.7668e+10
1973-08-01,4.8419e+10
1973-09-01,4.8964e+10
1973-10-01,4.9888e+10
1973-11-01,5.0881e+10
1973-12-01,5.2028e+10
1974-01-01,5.2896e+10
1974-02-01,5.3667e+10
1974-03-01,5.452e+10
1974-04-01,5.5618e+10
1974-05-01,5.7338e+10
1974-06-01,5.7492e+10
