"Date","LRIN25TTCAM156S"
1995-01-01,16.442241796082
1995-02-01,16.5489505153568
1995-03-01,16.3008058861999
1995-04-01,16.8120677465957
1995-05-01,16.7041649031691
1995-06-01,16.7914742295605
1995-07-01,16.6873955598799
1995-08-01,16.7230254603273
1995-09-01,16.7483997147616
1995-10-01,16.8374445726233
1995-11-01,17.0556526080076
1995-12-01,16.7857172282047
1996-01-01,16.4814288705066
1996-02-01,16.6603635493218
1996-03-01,16.6961274897616
1996-04-01,16.8463446446604
1996-05-01,16.9469503142151
1996-06-01,16.7249697840764
1996-07-01,16.4700616201486
1996-08-01,16.6131091619873
1996-09-01,16.4643943198954
1996-10-01,16.4743454711774
1996-11-01,16.6137044819483
1996-12-01,16.379999042841
1997-01-01,16.3888719812109
1997-02-01,16.4126179683747
1997-03-01,16.4460438004866
1997-04-01,16.3171590607707
1997-05-01,16.174744183967
1997-06-01,16.2974132723649
1997-07-01,16.1907728593612
1997-08-01,15.9821149851523
1997-09-01,15.7774615155797
1997-10-01,15.6873324794436
1997-11-01,15.7096504194364
1997-12-01,15.8871491659293
1998-01-01,15.7729867156181
1998-02-01,15.7099463670621
1998-03-01,15.7776639034686
1998-04-01,15.6507873082817
1998-05-01,15.7161606177015
1998-06-01,15.7773720571416
1998-07-01,15.702372395638
1998-08-01,15.8503019290822
1998-09-01,15.639144362075
1998-10-01,15.6215881901889
1998-11-01,15.5976946785875
1998-12-01,15.4452210158158
1999-01-01,15.5115796377832
1999-02-01,15.41254797952
1999-03-01,15.5430676160942
1999-04-01,15.1674317055359
1999-05-01,15.2465565609344
1999-06-01,15.4254420063207
1999-07-01,15.3079315043059
1999-08-01,15.2122573145728
1999-09-01,15.4621297581497
1999-10-01,15.4484136395876
1999-11-01,15.4585756237835
1999-12-01,15.4924534794033
2000-01-01,15.5691613402763
2000-02-01,15.2529564542064
2000-03-01,15.2174802921741
2000-04-01,15.3134578007208
2000-05-01,15.3147424823702
2000-06-01,15.249290815772
2000-07-01,15.2466957028266
2000-08-01,15.2894738828925
2000-09-01,15.3164881111581
2000-10-01,15.1583023171075
2000-11-01,15.0372048087341
2000-12-01,15.1025327402636
2001-01-01,14.9079648150799
2001-02-01,14.8828519722342
2001-03-01,14.9623799757001
2001-04-01,14.8115675507474
2001-05-01,14.711365079854
2001-06-01,14.9260763509445
2001-07-01,15.1582092452523
2001-08-01,15.0716501340125
2001-09-01,15.2009430327791
2001-10-01,15.0499766358254
2001-11-01,14.9492308612435
2001-12-01,14.8277138507838
2002-01-01,14.6387708296998
2002-02-01,14.6226085821175
2002-03-01,14.3969233706546
2002-04-01,14.3192514165825
2002-05-01,14.1477610571707
2002-06-01,14.0072414520848
2002-07-01,13.8850921486843
2002-08-01,13.9759901813738
2002-09-01,13.6571047482086
2002-10-01,13.8305533369253
2002-11-01,13.9072186777606
2002-12-01,13.7329624340104
2003-01-01,13.9465220264953
2003-02-01,13.7774113855084
2003-03-01,13.8825337429064
2003-04-01,13.8796500402625
2003-05-01,13.5889434987631
2003-06-01,13.6844582047606
2003-07-01,13.4842201738616
2003-08-01,13.5170184883397
2003-09-01,13.4769230035289
2003-10-01,13.4225003097354
2003-11-01,13.4134495206934
2003-12-01,13.4231759959403
2004-01-01,13.539250933939
2004-02-01,13.5218820786365
2004-03-01,13.3926759317059
2004-04-01,13.3685210522576
2004-05-01,13.4572721695376
2004-06-01,13.1602266159936
2004-07-01,13.5116811238176
2004-08-01,13.4682323473901
2004-09-01,13.7007364007745
2004-10-01,13.531323389791
2004-11-01,13.4600783315988
2004-12-01,13.4670502226674
2005-01-01,13.5954581444849
2005-02-01,13.4602799052794
2005-03-01,13.527570457218
2005-04-01,13.7084393056875
2005-05-01,13.8154961864324
2005-06-01,13.6971609716149
2005-07-01,13.9420900730345
2005-08-01,13.6561017819695
2005-09-01,13.8159262867226
2005-10-01,13.7087948485348
2005-11-01,13.9226306915225
2005-12-01,13.8389002399488
2006-01-01,13.6231440880371
2006-02-01,13.8585028059379
2006-03-01,13.9527231093881
2006-04-01,13.5737767949578
2006-05-01,13.5758701395653
2006-06-01,13.6423635609785
2006-07-01,13.666160011186
2006-08-01,13.8492987612395
2006-09-01,13.6732389839826
2006-10-01,13.750836136672
2006-11-01,13.7759421784144
2006-12-01,13.5250076438937
2007-01-01,13.3394642357039
2007-02-01,13.4758340698743
2007-03-01,13.457624895399
2007-04-01,13.6191233700752
2007-05-01,13.5986181034699
2007-06-01,13.4947895356483
2007-07-01,13.4346517730791
2007-08-01,13.6157394628218
2007-09-01,13.4107013091331
2007-10-01,13.4520691751563
2007-11-01,13.2900065110927
2007-12-01,13.3511510034103
2008-01-01,13.3819104401536
2008-02-01,13.3515879330091
2008-03-01,13.3394077349881
2008-04-01,13.4543181968219
2008-05-01,13.3479536466258
2008-06-01,13.3932010543402
2008-07-01,13.4650758009551
2008-08-01,13.401068511058
2008-09-01,13.3852162142251
2008-10-01,13.2173307992463
2008-11-01,13.2495439404134
2008-12-01,13.1525488413734
2009-01-01,13.3884500532647
2009-02-01,13.2981934567029
2009-03-01,13.2593966062893
2009-04-01,13.3604044445909
2009-05-01,13.4347326316482
2009-06-01,13.5799535301135
2009-07-01,13.6870168615458
2009-08-01,13.6704180996074
2009-09-01,13.5909649954124
2009-10-01,13.5267589612369
2009-11-01,13.2025800698375
2009-12-01,13.532723180429
2010-01-01,13.5276031643993
2010-02-01,13.6102759974525
2010-03-01,13.5787919011931
2010-04-01,13.4451855645218
2010-05-01,13.4179462028871
2010-06-01,13.3535646152909
