"Date","MAM2A4CAM189S"
1968-01-01,3.7076e+10
1968-02-01,3.7149e+10
1968-03-01,3.7262e+10
1968-04-01,3.77e+10
1968-05-01,3.8266e+10
1968-06-01,3.8395e+10
1968-07-01,3.8921e+10
1968-08-01,3.9475e+10
1968-09-01,3.9821e+10
1968-10-01,4.0078e+10
1968-11-01,4.0633e+10
1968-12-01,4.0855e+10
1969-01-01,4.1316e+10
1969-02-01,4.1001e+10
1969-03-01,4.1334e+10
1969-04-01,4.1779e+10
1969-05-01,4.2153e+10
1969-06-01,4.2344e+10
1969-07-01,4.2654e+10
1969-08-01,4.2693e+10
1969-09-01,4.3106e+10
1969-10-01,4.3419e+10
1969-11-01,4.3974e+10
1969-12-01,4.4364e+10
1970-01-01,4.427e+10
1970-02-01,4.4495e+10
1970-03-01,4.4873e+10
1970-04-01,4.5252e+10
1970-05-01,4.5672e+10
1970-06-01,4.6015e+10
1970-07-01,4.6483e+10
1970-08-01,4.6765e+10
1970-09-01,4.7232e+10
1970-10-01,4.7472e+10
1970-11-01,4.8207e+10
1970-12-01,4.8569e+10
1971-01-01,4.8878e+10
1971-02-01,4.9395e+10
1971-03-01,5.021e+10
1971-04-01,5.0799e+10
1971-05-01,5.1586e+10
1971-06-01,5.2379e+10
1971-07-01,5.2834e+10
1971-08-01,5.3501e+10
1971-09-01,5.4058e+10
1971-10-01,5.4465e+10
1971-11-01,5.527e+10
1971-12-01,5.6199e+10
1972-01-01,5.694e+10
1972-02-01,5.7312e+10
1972-03-01,5.7982e+10
1972-04-01,5.8475e+10
1972-05-01,5.9224e+10
1972-06-01,5.9763e+10
1972-07-01,6.089e+10
1972-08-01,6.1334e+10
1972-09-01,6.2275e+10
1972-10-01,6.3178e+10
1972-11-01,6.4171e+10
1972-12-01,6.4711e+10
1973-01-01,6.5426e+10
1973-02-01,6.5725e+10
1973-03-01,6.6357e+10
1973-04-01,6.7171e+10
1973-05-01,6.8462e+10
1973-06-01,6.9152e+10
1973-07-01,7.0537e+10
1973-08-01,7.1313e+10
1973-09-01,7.2219e+10
1973-10-01,7.3321e+10
1973-11-01,7.4266e+10
1973-12-01,7.4869e+10
1974-01-01,7.5995e+10
1974-02-01,7.6707e+10
1974-03-01,7.7925e+10
1974-04-01,7.9166e+10
1974-05-01,8.1169e+10
1974-06-01,8.1173e+10
1974-07-01,8.25e+10
1974-08-01,8.3052e+10
1974-09-01,8.4163e+10
1974-10-01,8.4922e+10
1974-11-01,8.6391e+10
1974-12-01,8.7904e+10
1975-01-01,8.9231e+10
1975-02-01,9.0277e+10
1975-03-01,9.1796e+10
1975-04-01,9.316e+10
1975-05-01,9.4295e+10
1975-06-01,9.5276e+10
1975-07-01,9.6823e+10
1975-08-01,9.7682e+10
1975-09-01,9.9255e+10
1975-10-01,1.00394e+11
1975-11-01,1.02184e+11
1975-12-01,1.04171e+11
1976-01-01,1.04132e+11
1976-02-01,1.05171e+11
1976-03-01,1.06388e+11
1976-04-01,1.07727e+11
1976-05-01,1.09572e+11
1976-06-01,1.11269e+11
1976-07-01,1.1233e+11
1976-08-01,1.13547e+11
1976-09-01,1.14875e+11
1976-10-01,1.16244e+11
1976-11-01,1.18126e+11
1976-12-01,1.19089e+11
1977-01-01,1.20704e+11
1977-02-01,1.22088e+11
1977-03-01,1.23528e+11
1977-04-01,1.25139e+11
1977-05-01,1.27202e+11
1977-06-01,1.2895e+11
