"Date","LFUNTTMACAM647S"
1960-01-01,334242.317923819
1960-02-01,352711.327273849
1960-03-01,362822.76624365
1960-04-01,376627.437071368
1960-05-01,396314.244866256
1960-06-01,366929.836522501
1960-07-01,403827.058328886
1960-08-01,422098.256011391
1960-09-01,422022.799691516
1960-10-01,433873.459547583
1960-11-01,424970.007935893
1960-12-01,426551.523077559
1961-01-01,425565.383118055
1961-02-01,425802.828424883
1961-03-01,420969.016293165
1961-04-01,424373.037661431
1961-05-01,426691.924698986
1961-06-01,422272.296698206
1961-07-01,405406.234166808
1961-08-01,379622.760633192
1961-09-01,384873.488044204
1961-10-01,367349.17606265
1961-11-01,343049.694025636
1961-12-01,330055.076446608
1962-01-01,336154.548501158
1962-02-01,343119.108055227
1962-03-01,337106.429325793
1962-04-01,333802.927114855
1962-05-01,310313.9026399
1962-06-01,322740.2421926
1962-07-01,331232.845616148
1962-08-01,323665.829988605
1962-09-01,319590.422179791
1962-10-01,317059.69247846
1962-11-01,327506.511765246
1962-12-01,336762.569159561
1963-01-01,330591.606490541
1963-02-01,323933.023773699
1963-03-01,332648.509665273
1963-04-01,320347.683976981
1963-05-01,323361.222721294
1963-06-01,309211.876618864
1963-07-01,301362.141852075
1963-08-01,294321.629407566
1963-09-01,293958.239193694
1963-10-01,285734.893593844
1963-11-01,283910.772580216
1963-12-01,281028.592675728
1964-01-01,280235.341827102
1964-02-01,281031.859629915
1964-03-01,278258.734856675
1964-04-01,279904.522519384
1964-05-01,261016.864680224
1964-06-01,263761.902630941
1964-07-01,252070.9146913
1964-08-01,247483.629369107
1964-09-01,244413.642562642
1964-10-01,265722.29435967
1964-11-01,229893.641796014
1964-12-01,227553.822260092
1965-01-01,241145.978163998
1965-02-01,242608.004457287
1965-03-01,235813.709631171
1965-04-01,259751.248939375
1965-05-01,233947.11969144
1965-06-01,231616.530896522
1965-07-01,212836.321620102
1965-08-01,207853.831073776
1965-09-01,195664.088857722
1965-10-01,166078.476651507
1965-11-01,188722.672843995
1965-12-01,198570.737788467
1966-01-01,171447.445000721
1966-02-01,166200.823504204
1966-03-01,163744.864875555
1966-04-01,160529.822986252
1966-05-01,166758.851122511
1966-06-01,166878.96629986
1966-07-01,184171.559783671
1966-08-01,182912.411362128
1966-09-01,196227.661348769
1966-10-01,158396.08403111
1966-11-01,175040.927223987
1966-12-01,174302.383363898
1967-01-01,185502.841605682
1967-02-01,187083.327893774
1967-03-01,194751.174987305
1967-04-01,199051.763251023
1967-05-01,201665.903758134
1967-06-01,198115.423871411
1967-07-01,202845.057014806
1967-08-01,201021.303902246
1967-09-01,205088.313470301
1967-10-01,216389.195985571
1967-11-01,216993.486713166
1967-12-01,232817.380986185
1968-01-01,235064.923535832
1968-02-01,242848.614041998
1968-03-01,249824.136506653
1968-04-01,242415.070605668
1968-05-01,241263.734631084
1968-06-01,259854.095402524
1968-07-01,252313.979285782
1968-08-01,242566.967497354
1968-09-01,237670.900666702
1968-10-01,232584.652339852
1968-11-01,244583.667805532
1968-12-01,238761.65608305
1969-01-01,228548.391329224
1969-02-01,232586.575137869
1969-03-01,225279.061940714
1969-04-01,229840.04009058
1969-05-01,236376.768298968
1969-06-01,237179.58962772
1969-07-01,231028.96896262
1969-08-01,235478.844497049
1969-09-01,232786.931093428
1969-10-01,244765.18630118
1969-11-01,242350.158708968
1969-12-01,241103.337117092
1970-01-01,242545.602440285
1970-02-01,265249.891712899
1970-03-01,285768.448511209
1970-04-01,301763.060180732
1970-05-01,328241.791945025
1970-06-01,332630.090192354
1970-07-01,336167.601369051
1970-08-01,337131.588127343
1970-09-01,340921.881468772
1970-10-01,329383.705258677
1970-11-01,328629.289958571
1970-12-01,339843.084858358
1971-01-01,339767.628977784
1971-02-01,341496.551251008
1971-03-01,341109.494671836
1971-04-01,353611.529817207
1971-05-01,334453.264016386
1971-06-01,334903.099659368
1971-07-01,336482.354561234
1971-08-01,329823.264667872
1971-09-01,345223.95906134
1971-10-01,326953.312760326
1971-11-01,335672.432357676
1971-12-01,324783.822893841
1972-01-01,320144.679179296
