"Date","M05F0B46M601NNBR"
1919-01-01,172
1919-02-01,222.3
1919-03-01,270
1919-04-01,303.6
1919-05-01,314.5
1919-06-01,321.2
1919-07-01,329.4
1919-08-01,306
1919-09-01,303.3
1919-10-01,333.7
1919-11-01,348.5
1919-12-01,350.7
1920-01-01,337
1920-02-01,323.3
1920-03-01,290
1920-04-01,282.3
1920-05-01,250.7
1920-06-01,223.9
1920-07-01,210.4
1920-08-01,213.4
1920-09-01,236.3
1920-10-01,268.4
1920-11-01,285.5
1920-12-01,320.7
1921-01-01,347
1921-02-01,360
1921-03-01,366.1
1921-04-01,373.6
1921-05-01,367.9
1921-06-01,364.2
1921-07-01,354.4
1921-08-01,340.9
1921-09-01,325.3
1921-10-01,307.3
1921-11-01,281.3
1921-12-01,268
1922-01-01,260
1922-02-01,247.7
1922-03-01,230.7
1922-04-01,216.8
1922-05-01,206.2
1922-06-01,183.7
1922-07-01,165.9
1922-08-01,158.3
1922-09-01,156.2
1922-10-01,140.9
1922-11-01,142.7
1922-12-01,149.4
1923-01-01,134.2
1923-02-01,125.5
1923-03-01,114.3
1923-04-01,104.8
1923-05-01,102.4
1923-06-01,98.8
1923-07-01,106.8
1923-08-01,106.8
1923-09-01,126.5
1923-10-01,137.1
1923-11-01,132
1923-12-01,155.9
1924-01-01,160.2
1924-02-01,145.6
1924-03-01,119.5
1924-04-01,110.4
1924-05-01,113
1924-06-01,112.2
1924-07-01,126.9
1924-08-01,128.3
1924-09-01,136.8
1924-10-01,NA
1924-11-01,NA
1924-12-01,136.4
1925-01-01,NA
1925-02-01,NA
1925-03-01,122.3
1925-04-01,NA
1925-05-01,NA
1925-06-01,91.3
1925-07-01,88
1925-08-01,77.3
1925-09-01,69
1925-10-01,72.9
1925-11-01,67.8
1925-12-01,73.1
1926-01-01,81.7
1926-02-01,86.4
1926-03-01,75.2
1926-04-01,72.6
1926-05-01,69.4
1926-06-01,66.1
1926-07-01,64.9
1926-08-01,66.7
1926-09-01,70.1
1926-10-01,68.2
1926-11-01,73.9
1926-12-01,85.5
1927-01-01,94
1927-02-01,105.4
1927-03-01,103.1
1927-04-01,99.3
1927-05-01,108.1
1927-06-01,96.4
1927-07-01,104.4
1927-08-01,93.7
1927-09-01,86.5
1927-10-01,83.9
1927-11-01,90.9
1927-12-01,95.3
1928-01-01,96.5
1928-02-01,86.9
1928-03-01,87.3
1928-04-01,72.9
1928-05-01,66.3
1928-06-01,58.8
1928-07-01,54.9
1928-08-01,54.8
1928-09-01,51.8
1928-10-01,45.6
1928-11-01,52.2
1928-12-01,65.5
1929-01-01,62.7
1929-02-01,55.2
1929-03-01,53
1929-04-01,57.5
1929-05-01,70.4
1929-06-01,83.1
1929-07-01,97.7
1929-08-01,104.4
1929-09-01,94.8
1929-10-01,88.4
1929-11-01,126.9
1929-12-01,171.3
1930-01-01,203.4
1930-02-01,233.1
1930-03-01,256
1930-04-01,301.3
1930-05-01,308.6
1930-06-01,316.8
1930-07-01,322
1930-08-01,347.7
1930-09-01,360.6
1930-10-01,364.9
1930-11-01,369.8
1930-12-01,367.2
1931-01-01,363.8
1931-02-01,363.6
1931-03-01,354.2
1931-04-01,367.9
1931-05-01,398.7
1931-06-01,413.5
1931-07-01,440.4
1931-08-01,455.8
1931-09-01,479.9
1931-10-01,498
1931-11-01,521.1
1931-12-01,544.3
1932-01-01,539.4
1932-02-01,536.1
1932-03-01,532.6
1932-04-01,537.2
1932-05-01,549
1932-06-01,554.3
1932-07-01,569.7
1932-08-01,573
1932-09-01,563.7
1932-10-01,558.2
1932-11-01,561.5
1932-12-01,572.8
1933-01-01,572.2
1933-02-01,577.8
1933-03-01,579
1933-04-01,578.2
1933-05-01,564.6
1933-06-01,539.1
1933-07-01,513
1933-08-01,492.4
1933-09-01,484.5
1933-10-01,477.9
1933-11-01,470.7
1933-12-01,470.5
1934-01-01,470.4
1934-02-01,461.2
1934-03-01,443.5
1934-04-01,421.3
1934-05-01,401.2
1934-06-01,375.2
1934-07-01,361.3
1934-08-01,358
1934-09-01,362.8
1934-10-01,360.1
1934-11-01,342.5
1934-12-01,350.8
1935-01-01,342
1935-02-01,322.8
1935-03-01,318
1935-04-01,311.2
1935-05-01,319.3
1935-06-01,321.2
1935-07-01,318.1
1935-08-01,292
1935-09-01,274.7
1935-10-01,250.5
1935-11-01,242.8
1935-12-01,254.8
1936-01-01,256.5
1936-02-01,256.5
1936-03-01,257.6
1936-04-01,252.4
1936-05-01,247.9
1936-06-01,238.5
1936-07-01,230.7
1936-08-01,216.6
1936-09-01,189.5
1936-10-01,169.2
1936-11-01,154.8
1936-12-01,154.2
1937-01-01,138.4
1937-02-01,119
1937-03-01,107.7
1937-04-01,93.2
1937-05-01,104
1937-06-01,112.9
1937-07-01,113.6
1937-08-01,134.3
1937-09-01,150.3
1937-10-01,186.2
1937-11-01,215.6
1937-12-01,250.6
1938-01-01,290.4
1938-02-01,311.8
1938-03-01,326.1
1938-04-01,336
1938-05-01,337.4
1938-06-01,327.1
1938-07-01,312.2
1938-08-01,284.4
1938-09-01,259.9
1938-10-01,237.1
1938-11-01,233.1
1938-12-01,256.6
