"Date","LFWA64MACAM647S"
1976-01-01,7513000
1976-02-01,7529000
1976-03-01,7544700
1976-04-01,7560500
1976-05-01,7576200
1976-06-01,7591900
1976-07-01,7607700
1976-08-01,7623600
1976-09-01,7635800
1976-10-01,7647900
1976-11-01,7659600
1976-12-01,7670400
1977-01-01,7684100
1977-02-01,7697300
1977-03-01,7708200
1977-04-01,7720800
1977-05-01,7735600
1977-06-01,7747000
1977-07-01,7758200
1977-08-01,7772600
1977-09-01,7784100
1977-10-01,7794900
1977-11-01,7806000
1977-12-01,7816300
1978-01-01,7829600
1978-02-01,7842300
1978-03-01,7852700
1978-04-01,7864100
1978-05-01,7878500
1978-06-01,7889000
1978-07-01,7898700
1978-08-01,7911400
1978-09-01,7921600
1978-10-01,7932000
1978-11-01,7942200
1978-12-01,7952100
1979-01-01,7964800
1979-02-01,7977000
1979-03-01,7987300
1979-04-01,8000600
1979-05-01,8011200
1979-06-01,8022100
1979-07-01,8034800
1979-08-01,8045900
1979-09-01,8056900
1979-10-01,8071700
1979-11-01,8083600
1979-12-01,8095400
1980-01-01,8109300
1980-02-01,8121000
1980-03-01,8132300
1980-04-01,8146200
1980-05-01,8158300
1980-06-01,8173500
1980-07-01,8184400
1980-08-01,8195400
1980-09-01,8209400
1980-10-01,8220300
1980-11-01,8230800
1980-12-01,8240900
1981-01-01,8253200
1981-02-01,8264800
1981-03-01,8274500
1981-04-01,8284500
1981-05-01,8294700
1981-06-01,8307000
1981-07-01,8316300
1981-08-01,8325600
1981-09-01,8336800
1981-10-01,8346300
1981-11-01,8355500
1981-12-01,8364800
1982-01-01,8375900
1982-02-01,8386100
1982-03-01,8395100
1982-04-01,8404200
1982-05-01,8413700
1982-06-01,8425100
1982-07-01,8431000
1982-08-01,8441300
1982-09-01,8449200
1982-10-01,8457500
1982-11-01,8465500
1982-12-01,8473400
1983-01-01,8482500
1983-02-01,8491700
1983-03-01,8499000
1983-04-01,8506700
1983-05-01,8516400
1983-06-01,8523700
1983-07-01,8530000
1983-08-01,8538700
1983-09-01,8545800
1983-10-01,8553400
1983-11-01,8561100
1983-12-01,8568700
1984-01-01,8577400
1984-02-01,8586300
1984-03-01,8593500
1984-04-01,8602400
1984-05-01,8610000
1984-06-01,8617400
1984-07-01,8625100
1984-08-01,8631700
1984-09-01,8638400
1984-10-01,8646700
1984-11-01,8653500
1984-12-01,8659700
1985-01-01,8667300
1985-02-01,8673600
1985-03-01,8679900
1985-04-01,8688000
1985-05-01,8695000
1985-06-01,8701900
1985-07-01,8710200
1985-08-01,8717100
1985-09-01,8726100
1985-10-01,8733400
1985-11-01,8740800
1985-12-01,8747500
1986-01-01,8755900
1986-02-01,8762400
1986-03-01,8769100
1986-04-01,8778000
1986-05-01,8785200
1986-06-01,8794000
1986-07-01,8800000
1986-08-01,8805200
1986-09-01,8811600
1986-10-01,8816800
1986-11-01,8822200
1986-12-01,8828000
1987-01-01,8834800
1987-02-01,8842000
1987-03-01,8848400
1987-04-01,8855400
1987-05-01,8862500
1987-06-01,8871700
1987-07-01,8878900
1987-08-01,8886000
1987-09-01,8895000
1987-10-01,8901700
1987-11-01,8908700
1987-12-01,8915000
1988-01-01,8922400
1988-02-01,8929800
1988-03-01,8936700
1988-04-01,8944100
1988-05-01,8953900
1988-06-01,8961600
1988-07-01,8969200
1988-08-01,8978600
1988-09-01,8985600
1988-10-01,8992300
1988-11-01,8998900
1988-12-01,9005400
1989-01-01,9014900
1989-02-01,9021800
1989-03-01,9029500
1989-04-01,9037400
1989-05-01,9048000
1989-06-01,9056500
1989-07-01,9065500
1989-08-01,9076700
1989-09-01,9085500
1989-10-01,9096200
1989-11-01,9104700
1989-12-01,9113100
1990-01-01,9122600
1990-02-01,9130800
1990-03-01,9139800
1990-04-01,9152500
1990-05-01,9163100
1990-06-01,9173300
1990-07-01,9185900
1990-08-01,9194700
1990-09-01,9202400
1990-10-01,9211700
1990-11-01,9219800
