"Date","MAM1A2CAM189S"
1975-03-01,3.0706e+10
1975-04-01,3.1026e+10
1975-05-01,3.1058e+10
1975-06-01,3.1176e+10
1975-07-01,3.198e+10
1975-08-01,3.2017e+10
1975-09-01,3.2435e+10
1975-10-01,3.2711e+10
1975-11-01,3.301e+10
1975-12-01,3.401e+10
1976-01-01,3.3191e+10
1976-02-01,3.3271e+10
1976-03-01,3.3803e+10
1976-04-01,3.3606e+10
1976-05-01,3.3781e+10
1976-06-01,3.4191e+10
1976-07-01,3.391e+10
1976-08-01,3.4158e+10
1976-09-01,3.4396e+10
1976-10-01,3.4388e+10
1976-11-01,3.4502e+10
1976-12-01,3.4803e+10
1977-01-01,3.5149e+10
1977-02-01,3.5188e+10
1977-03-01,3.6029e+10
1977-04-01,3.6215e+10
1977-05-01,3.6585e+10
1977-06-01,3.7117e+10
1977-07-01,3.6991e+10
1977-08-01,3.7404e+10
1977-09-01,3.7414e+10
1977-10-01,3.7745e+10
1977-11-01,3.8272e+10
1977-12-01,3.8661e+10
1978-01-01,3.9003e+10
1978-02-01,3.9084e+10
1978-03-01,3.998e+10
1978-04-01,3.9628e+10
1978-05-01,4.007e+10
1978-06-01,4.0165e+10
1978-07-01,4.0494e+10
1978-08-01,4.0858e+10
1978-09-01,4.1173e+10
1978-10-01,4.1426e+10
1978-11-01,4.2769e+10
1978-12-01,4.1783e+10
1979-01-01,4.1893e+10
1979-02-01,4.1606e+10
1979-03-01,4.1673e+10
1979-04-01,4.2166e+10
1979-05-01,4.2873e+10
1979-06-01,4.3225e+10
1979-07-01,4.3736e+10
1979-08-01,4.3808e+10
1979-09-01,4.389e+10
1979-10-01,4.4104e+10
1979-11-01,4.3719e+10
1979-12-01,4.3621e+10
1980-01-01,4.4131e+10
1980-02-01,4.4007e+10
1980-03-01,4.5485e+10
1980-04-01,4.5185e+10
1980-05-01,4.4741e+10
1980-06-01,4.5314e+10
1980-07-01,4.6153e+10
1980-08-01,4.6581e+10
1980-09-01,4.7472e+10
1980-10-01,4.8537e+10
1980-11-01,4.9286e+10
1980-12-01,4.9725e+10
1981-01-01,4.8523e+10
