"Date","LFIN64FECAM647S"
1995-01-01,3058467.50287272
1995-02-01,3084330.72013473
1995-03-01,3074132.25900176
1995-04-01,3126006.81937429
1995-05-01,3127073.10208455
1995-06-01,3126348.70673819
1995-07-01,3122695.14528306
1995-08-01,3139378.46244248
1995-09-01,3140798.70150362
1995-10-01,3144347.01932602
1995-11-01,3174269.10259782
1995-12-01,3167771.85187986
1996-01-01,3157706.29807755
1996-02-01,3143677.39559388
1996-03-01,3161428.64311918
1996-04-01,3174743.63681531
1996-05-01,3176975.00658946
1996-06-01,3149337.4900647
1996-07-01,3141998.5525944
1996-08-01,3159184.64011082
1996-09-01,3134857.21519311
1996-10-01,3156098.07377699
1996-11-01,3166759.94591782
1996-12-01,3171800.5424144
1997-01-01,3160087.53495556
1997-02-01,3163161.95747502
1997-03-01,3163952.70720086
1997-04-01,3146128.52516973
1997-05-01,3159485.27115326
1997-06-01,3122303.84206204
1997-07-01,3151933.70227523
1997-08-01,3134454.43813155
1997-09-01,3151993.75848132
1997-10-01,3142707.97837952
1997-11-01,3136197.62088868
1997-12-01,3168759.29185516
1998-01-01,3140412.30976812
1998-02-01,3121499.44467087
1998-03-01,3121574.9004001
1998-04-01,3114448.80640636
1998-05-01,3122378.79716759
1998-06-01,3120602.73213604
1998-07-01,3111471.46987368
1998-08-01,3108765.09466516
1998-09-01,3068718.35932409
1998-10-01,3077299.86814347
1998-11-01,3066636.75509205
1998-12-01,3052853.30043052
1999-01-01,3055144.86785179
1999-02-01,3067767.61366858
1999-03-01,3080878.28317087
1999-04-01,3034295.71192879
1999-05-01,3040332.64110976
1999-06-01,3064190.83395927
1999-07-01,3042197.53385857
1999-08-01,3058993.20984018
1999-09-01,3064450.9243206
1999-10-01,3082217.89376328
1999-11-01,3090363.7842374
1999-12-01,3083267.87755518
2000-01-01,3084533.24921166
2000-02-01,3041286.92059801
2000-03-01,3043685.90916413
2000-04-01,3056535.27830081
2000-05-01,3051149.34986557
2000-06-01,3049523.29538642
2000-07-01,3038767.37625156
2000-08-01,3024788.67428437
2000-09-01,3015280.78642361
2000-10-01,2996537.42574246
2000-11-01,3008063.79057488
2000-12-01,3014617.19214032
2001-01-01,3017189.86659174
2001-02-01,3037394.16961712
2001-03-01,3024106.8274891
2001-04-01,3012801.75389352
2001-05-01,3026563.29031853
2001-06-01,3051743.66339549
2001-07-01,3044827.52491837
2001-08-01,3058010.86640805
2001-09-01,3054142.6714503
2001-10-01,3062617.48918242
2001-11-01,3032428.89321007
2001-12-01,3020934.34957401
2002-01-01,2998029.97623239
2002-02-01,3017442.84944068
2002-03-01,2994055.30688584
2002-04-01,2976292.54731398
2002-05-01,2965633.23992125
2002-06-01,2951482.81655404
2002-07-01,2923196.11523516
2002-08-01,2888434.84076746
2002-09-01,2887364.24138833
2002-10-01,2882024.95849521
2002-11-01,2872451.62448922
2002-12-01,2861159.47999977
2003-01-01,2875923.52152773
2003-02-01,2863175.82514104
2003-03-01,2861654.11028871
2003-04-01,2869052.70186045
2003-05-01,2855206.09954843
2003-06-01,2850044.82180126
2003-07-01,2840591.63389376
2003-08-01,2821825.03756784
2003-09-01,2828151.32762532
2003-10-01,2836345.16895448
2003-11-01,2829697.85053536
2003-12-01,2807527.91460595
2004-01-01,2849927.89107169
2004-02-01,2855412.83527672
2004-03-01,2863226.4575875
2004-04-01,2857913.41182708
2004-05-01,2840994.02518687
2004-06-01,2824587.43789141
2004-07-01,2856747.30233656
2004-08-01,2881612.5068178
2004-09-01,2885312.38746995
2004-10-01,2888526.95409274
2004-11-01,2865875.60747963
2004-12-01,2888739.05881944
2005-01-01,2909465.72240268
2005-02-01,2901938.32311268
2005-03-01,2939433.09947958
2005-04-01,2944352.49180972
2005-05-01,2941492.96713692
2005-06-01,2947807.11237257
2005-07-01,2974290.98257212
2005-08-01,2958852.75168422
2005-09-01,2960476.45107525
2005-10-01,2940034.29762083
2005-11-01,2966764.95365793
2005-12-01,2955865.13173811
2006-01-01,2919477.41454898
2006-02-01,2950474.17800304
2006-03-01,2948662.96856275
2006-04-01,2925591.16932824
2006-05-01,2914469.59563312
2006-06-01,2927525.26223609
2006-07-01,2903628.91081684
2006-08-01,2960249.72718835
2006-09-01,2959360.31646695
2006-10-01,2944842.64642115
2006-11-01,2946084.06150047
2006-12-01,2924212.69236222
2007-01-01,2908426.62474279
2007-02-01,2908947.9753549
2007-03-01,2879794.16436734
2007-04-01,2913453.88878497
2007-05-01,2913175.52509214
2007-06-01,2914594.51880214
2007-07-01,2879903.00678933
2007-08-01,2880802.81384454
2007-09-01,2870324.0995736
2007-10-01,2870752.05545585
2007-11-01,2882781.15067212
2007-12-01,2895724.26305937
2008-01-01,2912029.47223347
2008-02-01,2890282.29052678
2008-03-01,2915945.69374084
2008-04-01,2926883.47494286
2008-05-01,2898736.55017062
2008-06-01,2921556.91732767
2008-07-01,2943536.90735597
2008-08-01,2936018.48802022
2008-09-01,2938060.02520452
2008-10-01,2905917.19543552
2008-11-01,2923755.60063648
2008-12-01,2894660.2376129
2009-01-01,2939822.7174728
2009-02-01,2923627.00367409
2009-03-01,2904458.79355478
2009-04-01,2911806.45808537
