"Date","COCANZ21"
2012-06-01,100
2012-07-01,96.8
2012-08-01,102.3
2012-09-01,109.8
2012-10-01,113.6
2012-11-01,114.6
2012-12-01,106.7
2013-01-01,105.7
2013-02-01,108.5
2013-03-01,110
2013-04-01,114.3
2013-05-01,120.7
2013-06-01,119.7
2013-07-01,122.8
2013-08-01,126.8
2013-09-01,124.5
2013-10-01,117
2013-11-01,107.5
2013-12-01,107.4
2014-01-01,114.3
2014-02-01,133.3
2014-03-01,138.5
2014-04-01,130
2014-05-01,129.4
2014-06-01,132.4
2014-07-01,129.3
2014-08-01,118.7
2014-09-01,116.2
2014-10-01,110.5
2014-11-01,101.2
2014-12-01,81.6
2015-01-01,64.9
2015-02-01,64.5
2015-03-01,63.1
2015-04-01,66.3
2015-05-01,74.9
2015-06-01,79.5
2015-07-01,72.7
2015-08-01,58.9
2015-09-01,53.6
2015-10-01,57.5
2015-11-01,54.8
2015-12-01,48.9
2016-01-01,41.9
2016-02-01,38.6
2016-03-01,43.7
2016-04-01,48.8
2016-05-01,53.9
2016-06-01,59.5
2016-07-01,57.8
2016-08-01,56
2016-09-01,55.8
2016-10-01,61.3
2016-11-01,58.5
2016-12-01,62.8
2017-01-01,66.4
2017-02-01,67.5
2017-03-01,64.3
2017-04-01,64.2
2017-05-01,65.9
2017-06-01,62.7
2017-07-01,62.2
2017-08-01,63.7
2017-09-01,65.9
2017-10-01,66.6
2017-11-01,73.6
2017-12-01,76.5
2018-01-01,78.3
2018-02-01,72.1
2018-03-01,69.4
2018-04-01,73.7
2018-05-01,82
2018-06-01,81.5
2018-07-01,83.7
2018-08-01,80.5
2018-09-01,74.8
2018-10-01,75.9
2018-11-01,55.1
2018-12-01,44.1
2019-01-01,70.2
2019-02-01,91.6
2019-03-01,101
2019-04-01,106.7
2019-05-01,107.2
2019-06-01,94
2019-07-01,93.3
2019-08-01,91.3
2019-09-01,92.8
2019-10-01,90.3
2019-11-01,92.8
2019-12-01,91.3
2020-01-01,88
2020-02-01,75.2
2020-03-01,51.9
2020-04-01,27.5
2020-05-01,32.7
2020-06-01,64.3
2020-07-01,70.4
2020-08-01,73.6
2020-09-01,68.3
2020-10-01,68.4
2020-11-01,70.9
2020-12-01,78.9
2021-01-01,84.2
2021-02-01,95.3
2021-03-01,104.2
2021-04-01,104.7
2021-05-01,109.6
2021-06-01,117.7
2021-07-01,121.7
2021-08-01,117.2
2021-09-01,121.4
2021-10-01,138.5
2021-11-01,144
2021-12-01,126.8
2022-01-01,139.4
2022-02-01,156.6
2022-03-01,183.4
2022-04-01,187
2022-05-01,195.6
2022-06-01,208
2022-07-01,182
2022-08-01,163.8
2022-09-01,151.2
2022-10-01,146.8
2022-11-01,139.9
2022-12-01,136.9
2023-01-01,137.3
2023-02-01,121.5
2023-03-01,117.5
2023-04-01,126.1
2023-05-01,120.8
2023-06-01,120
2023-07-01,123.4
2023-08-01,136.3
2023-09-01,145.5
2023-10-01,143.8
2023-11-01,136.7
