"Date","LFEM25MACAM647N"
1976-01-01,3827000
1976-02-01,3842200
1976-03-01,3862500
1976-04-01,3888600
1976-05-01,3972200
1976-06-01,4017300
1976-07-01,4030900
1976-08-01,4042800
1976-09-01,4043700
1976-10-01,4015400
1976-11-01,3991100
1976-12-01,3944900
1977-01-01,3874400
1977-02-01,3881900
1977-03-01,3885800
1977-04-01,3915200
1977-05-01,4016900
1977-06-01,4060700
1977-07-01,4073300
1977-08-01,4090400
1977-09-01,4098000
1977-10-01,4097100
1977-11-01,4063800
1977-12-01,4009800
1978-01-01,3943500
1978-02-01,3958000
1978-03-01,3970600
1978-04-01,3989300
1978-05-01,4085800
1978-06-01,4161500
1978-07-01,4168800
1978-08-01,4180300
1978-09-01,4187900
1978-10-01,4187900
1978-11-01,4154900
1978-12-01,4105400
1979-01-01,4043200
1979-02-01,4051900
1979-03-01,4083900
1979-04-01,4106000
1979-05-01,4209300
1979-06-01,4268600
1979-07-01,4299400
1979-08-01,4299800
1979-09-01,4318700
1979-10-01,4311300
1979-11-01,4269300
1979-12-01,4212900
1980-01-01,4147700
1980-02-01,4153900
1980-03-01,4172600
1980-04-01,4194900
1980-05-01,4267400
1980-06-01,4346300
1980-07-01,4346100
1980-08-01,4367100
1980-09-01,4379900
1980-10-01,4375000
1980-11-01,4358900
1980-12-01,4313600
1981-01-01,4257800
1981-02-01,4280300
1981-03-01,4298700
1981-04-01,4342700
1981-05-01,4404500
1981-06-01,4477900
1981-07-01,4475900
1981-08-01,4489000
1981-09-01,4463800
1981-10-01,4442900
1981-11-01,4403900
1981-12-01,4316700
1982-01-01,4241200
1982-02-01,4245000
1982-03-01,4260500
1982-04-01,4252400
1982-05-01,4327400
1982-06-01,4362900
1982-07-01,4351200
1982-08-01,4326700
1982-09-01,4308300
1982-10-01,4288300
1982-11-01,4221500
1982-12-01,4159500
1983-01-01,4093400
1983-02-01,4118100
1983-03-01,4166200
1983-04-01,4200200
1983-05-01,4315200
1983-06-01,4383000
1983-07-01,4409800
1983-08-01,4437900
1983-09-01,4444400
1983-10-01,4432700
1983-11-01,4388000
1983-12-01,4334700
1984-01-01,4235500
1984-02-01,4254600
1984-03-01,4261700
1984-04-01,4307100
1984-05-01,4406700
1984-06-01,4486000
1984-07-01,4528900
1984-08-01,4531600
1984-09-01,4532400
1984-10-01,4532000
1984-11-01,4472200
1984-12-01,4430700
1985-01-01,4363500
1985-02-01,4382800
1985-03-01,4405900
1985-04-01,4472100
1985-05-01,4580200
1985-06-01,4623100
1985-07-01,4656200
1985-08-01,4666800
1985-09-01,4679000
1985-10-01,4654400
1985-11-01,4627000
1985-12-01,4585900
1986-01-01,4539700
1986-02-01,4556000
1986-03-01,4574800
1986-04-01,4623800
1986-05-01,4714300
1986-06-01,4783200
1986-07-01,4792300
1986-08-01,4815100
1986-09-01,4820000
1986-10-01,4804600
1986-11-01,4761800
1986-12-01,4725200
1987-01-01,4641600
1987-02-01,4656000
1987-03-01,4706600
1987-04-01,4760200
1987-05-01,4876700
1987-06-01,4948400
1987-07-01,4952300
1987-08-01,4981400
1987-09-01,4986800
1987-10-01,4994000
1987-11-01,4952500
1987-12-01,4911800
1988-01-01,4847000
1988-02-01,4870300
1988-03-01,4887400
1988-04-01,4924800
1988-05-01,5046000
1988-06-01,5095800
1988-07-01,5096800
1988-08-01,5126600
1988-09-01,5127700
1988-10-01,5113000
1988-11-01,5072500
1988-12-01,5033500
1989-01-01,4963600
1989-02-01,4980400
1989-03-01,5008100
1989-04-01,5040000
1989-05-01,5167500
1989-06-01,5245900
1989-07-01,5246800
1989-08-01,5287600
1989-09-01,5289100
1989-10-01,5270700
1989-11-01,5189600
1989-12-01,5113200
1990-01-01,5037100
1990-02-01,5051200
1990-03-01,5060800
1990-04-01,5129100
1990-05-01,5229800
1990-06-01,5304900
1990-07-01,5330800
1990-08-01,5336200
1990-09-01,5321800
1990-10-01,5287900
1990-11-01,5176600
1990-12-01,5096600
1991-01-01,5001200
1991-02-01,4986100
1991-03-01,4969700
1991-04-01,5037900
1991-05-01,5161900
1991-06-01,5230400
1991-07-01,5250900
1991-08-01,5246400
1991-09-01,5252600
1991-10-01,5221800
1991-11-01,5133400
1991-12-01,5051000
1992-01-01,4957600
1992-02-01,4953400
1992-03-01,4960000
1992-04-01,4996800
1992-05-01,5114900
1992-06-01,5204200
1992-07-01,5220000
1992-08-01,5202000
1992-09-01,5207200
1992-10-01,5190500
1992-11-01,5126300
1992-12-01,5058400
1993-01-01,4981300
1993-02-01,5013000
1993-03-01,5019900
1993-04-01,5055400
1993-05-01,5180900
1993-06-01,5279700
1993-07-01,5284700
1993-08-01,5296100
1993-09-01,5293700
1993-10-01,5280400
1993-11-01,5226200
1993-12-01,5137700
1994-01-01,5040900
1994-02-01,5070300
1994-03-01,5093600
1994-04-01,5144400
1994-05-01,5304100
1994-06-01,5368100
1994-07-01,5416800
1994-08-01,5433500
1994-09-01,5430300
1994-10-01,5419300
1994-11-01,5374900
1994-12-01,5300200
1995-01-01,5216700
1995-02-01,5215300
1995-03-01,5241700
1995-04-01,5278200
1995-05-01,5404400
1995-06-01,5483200
1995-07-01,5496800
1995-08-01,5526100
1995-09-01,5559900
1995-10-01,5509600
1995-11-01,5465000
1995-12-01,5393200
1996-01-01,5317500
1996-02-01,5300800
1996-03-01,5311000
1996-04-01,5364100
1996-05-01,5468600
1996-06-01,5524900
1996-07-01,5563400
1996-08-01,5594000
1996-09-01,5583000
1996-10-01,5551900
1996-11-01,5493900
1996-12-01,5455000
1997-01-01,5367200
1997-02-01,5371100
1997-03-01,5403300
1997-04-01,5427900
1997-05-01,5568000
1997-06-01,5668300
1997-07-01,5688400
1997-08-01,5721000
1997-09-01,5748000
1997-10-01,5721200
1997-11-01,5670900
1997-12-01,5623200
1998-01-01,5512000
1998-02-01,5541100
1998-03-01,5561400
1998-04-01,5618700
1998-05-01,5694400
1998-06-01,5772800
1998-07-01,5772900
1998-08-01,5791600
1998-09-01,5797100
1998-10-01,5783500
1998-11-01,5729100
1998-12-01,5677600
1999-01-01,5589600
1999-02-01,5623300
1999-03-01,5623500
1999-04-01,5681300
1999-05-01,5793000
1999-06-01,5831600
1999-07-01,5845600
1999-08-01,5839100
1999-09-01,5852900
1999-10-01,5850500
1999-11-01,5821400
1999-12-01,5795700
2000-01-01,5700100
2000-02-01,5752900
2000-03-01,5755000
2000-04-01,5782700
2000-05-01,5895200
2000-06-01,5930000
2000-07-01,5947500
2000-08-01,5940200
2000-09-01,5957400
2000-10-01,5948400
2000-11-01,5909700
2000-12-01,5844700
2001-01-01,5768000
2001-02-01,5798800
2001-03-01,5771400
2001-04-01,5816700
2001-05-01,5920000
2001-06-01,5956000
2001-07-01,5948000
2001-08-01,5947800
2001-09-01,5963800
2001-10-01,5952600
2001-11-01,5899500
2001-12-01,5798500
2002-01-01,5686100
2002-02-01,5733100
2002-03-01,5766900
2002-04-01,5814300
2002-05-01,5936300
2002-06-01,6006200
2002-07-01,6008400
2002-08-01,6025900
2002-09-01,6026000
2002-10-01,6015200
2002-11-01,5964600
2002-12-01,5900400
2003-01-01,5823300
2003-02-01,5860000
2003-03-01,5849200
2003-04-01,5885500
2003-05-01,5980400
2003-06-01,6039100
2003-07-01,6028600
2003-08-01,6013000
2003-09-01,6035300
2003-10-01,6028600
2003-11-01,5996100
2003-12-01,5947900
2004-01-01,5862200
2004-02-01,5849100
2004-03-01,5875600
2004-04-01,5926600
2004-05-01,6019400
2004-06-01,6093500
2004-07-01,6095300
2004-08-01,6111500
2004-09-01,6096500
2004-10-01,6107500
2004-11-01,6032000
2004-12-01,5976500
2005-01-01,5888900
2005-02-01,5906500
2005-03-01,5929300
2005-04-01,5963300
2005-05-01,6074200
2005-06-01,6134700
2005-07-01,6114100
2005-08-01,6134100
2005-09-01,6145000
