"Date","LFUNTTFECAM647S"
1977-02-01,365000
1977-03-01,358200
1977-04-01,374600
1977-05-01,360400
1977-06-01,359400
1977-07-01,372900
1977-08-01,381900
1977-09-01,386600
1977-10-01,409100
1977-11-01,403200
1977-12-01,398900
1978-01-01,394100
1978-02-01,397200
1978-03-01,409600
1978-04-01,397500
1978-05-01,422600
1978-06-01,412000
1978-07-01,416000
1978-08-01,418100
1978-09-01,421600
1978-10-01,415100
1978-11-01,422000
1978-12-01,426200
1979-01-01,421000
1979-02-01,407100
1979-03-01,402900
1979-04-01,404600
1979-05-01,389000
1979-06-01,392400
1979-07-01,392400
1979-08-01,386300
1979-09-01,379500
1979-10-01,395000
1979-11-01,384700
1979-12-01,382600
1980-01-01,395000
1980-02-01,397000
1980-03-01,399100
1980-04-01,399300
1980-05-01,408500
1980-06-01,403400
1980-07-01,396600
1980-08-01,402300
1980-09-01,386800
1980-10-01,387800
1980-11-01,374600
1980-12-01,384100
1981-01-01,393100
1981-02-01,396200
1981-03-01,395500
1981-04-01,385500
1981-05-01,385100
1981-06-01,392400
1981-07-01,388600
1981-08-01,387800
1981-09-01,445000
1981-10-01,451600
1981-11-01,459800
1981-12-01,453200
1982-01-01,438700
1982-02-01,456100
1982-03-01,474700
1982-04-01,497700
1982-05-01,519300
1982-06-01,539400
1982-07-01,579000
1982-08-01,571800
1982-09-01,573500
1982-10-01,607800
1982-11-01,624500
1982-12-01,641600
1983-01-01,632700
1983-02-01,632300
1983-03-01,630800
1983-04-01,623300
1983-05-01,613800
1983-06-01,606600
1983-07-01,588100
1983-08-01,582500
1983-09-01,577900
1983-10-01,581000
1983-11-01,568400
1983-12-01,585300
1984-01-01,586900
1984-02-01,596200
1984-03-01,589100
1984-04-01,599100
1984-05-01,615700
1984-06-01,595500
1984-07-01,600500
1984-08-01,597800
1984-09-01,643300
1984-10-01,621900
1984-11-01,627300
1984-12-01,612400
1985-01-01,559900
1985-02-01,589400
1985-03-01,594100
1985-04-01,609200
1985-05-01,589500
1985-06-01,589500
1985-07-01,587100
1985-08-01,579500
1985-09-01,583500
1985-10-01,575300
1985-11-01,595200
1985-12-01,574800
1986-01-01,569100
1986-02-01,570300
1986-03-01,567900
1986-04-01,568400
1986-05-01,547000
1986-06-01,549200
1986-07-01,550600
1986-08-01,548900
1986-09-01,541000
1986-10-01,553000
1986-11-01,552700
1986-12-01,555500
1987-01-01,564100
1987-02-01,566100
1987-03-01,565700
1987-04-01,559200
1987-05-01,541400
1987-06-01,548600
1987-07-01,537000
1987-08-01,526800
1987-09-01,520700
1987-10-01,516200
1987-11-01,516000
1987-12-01,500800
1988-01-01,507800
1988-02-01,491100
1988-03-01,490700
1988-04-01,481700
1988-05-01,486500
1988-06-01,483400
1988-07-01,503300
1988-08-01,516800
1988-09-01,503200
1988-10-01,487600
1988-11-01,500900
1988-12-01,465600
1989-01-01,479600
1989-02-01,481700
1989-03-01,474900
1989-04-01,495700
1989-05-01,495000
1989-06-01,472000
1989-07-01,475200
1989-08-01,476100
1989-09-01,472500
1989-10-01,460500
1989-11-01,475100
1989-12-01,486300
1990-01-01,490800
1990-02-01,493900
1990-03-01,459100
1990-04-01,481300
1990-05-01,495300
1990-06-01,484200
1990-07-01,497800
1990-08-01,508300
1990-09-01,533000
1990-10-01,555600
1990-11-01,567800
1990-12-01,578400
1991-01-01,596500
1991-02-01,608900
1991-03-01,630400
1991-04-01,618000
1991-05-01,611900
1991-06-01,635100
1991-07-01,636800
1991-08-01,627400
1991-09-01,614600
1991-10-01,622400
1991-11-01,625500
1991-12-01,616500
1992-01-01,619200
1992-02-01,619400
1992-03-01,640000
1992-04-01,627500
1992-05-01,630800
1992-06-01,649200
1992-07-01,660000
1992-08-01,668200
1992-09-01,671600
1992-10-01,652100
1992-11-01,723300
1992-12-01,707600
1993-01-01,670100
1993-02-01,662700
1993-03-01,679600
1993-04-01,720700
1993-05-01,718700
1993-06-01,703100
1993-07-01,708100
1993-08-01,682500
1993-09-01,683500
1993-10-01,688900
1993-11-01,687500
1993-12-01,706400
1994-01-01,696600
1994-02-01,667100
1994-03-01,646600
1994-04-01,676300
1994-05-01,670500
1994-06-01,642400
1994-07-01,622800
1994-08-01,636100
1994-09-01,626500
1994-10-01,634600
1994-11-01,596300
1994-12-01,599000
1995-01-01,615100
1995-02-01,619500
1995-03-01,626700
1995-04-01,598700
1995-05-01,594800
1995-06-01,599200
1995-07-01,611700
1995-08-01,609000
1995-09-01,590400
1995-10-01,591300
1995-11-01,598200
1995-12-01,598700
1996-01-01,600100
1996-02-01,608400
1996-03-01,608100
1996-04-01,596900
1996-05-01,582500
1996-06-01,630400
1996-07-01,642100
1996-08-01,627100
1996-09-01,661400
1996-10-01,653300
1996-11-01,643700
1996-12-01,637800
1997-01-01,623900
1997-02-01,618100
1997-03-01,611600
1997-04-01,621300
1997-05-01,622200
1997-06-01,631900
1997-07-01,598400
1997-08-01,597400
1997-09-01,596700
1997-10-01,613400
1997-11-01,614300
1997-12-01,568100
1998-01-01,607600
1998-02-01,590300
1998-03-01,577500
1998-04-01,560000
1998-05-01,565600
1998-06-01,559700
1998-07-01,542400
1998-08-01,540400
1998-09-01,555000
1998-10-01,527700
1998-11-01,532200
1998-12-01,549300
1999-01-01,543400
1999-02-01,539000
1999-03-01,538500
1999-04-01,572300
1999-05-01,557100
1999-06-01,526600
1999-07-01,522600
1999-08-01,500200
1999-09-01,497600
1999-10-01,488200
1999-11-01,473300
1999-12-01,468600
2000-01-01,470100
2000-02-01,489600
2000-03-01,493400
2000-04-01,476200
2000-05-01,467700
2000-06-01,462100
2000-07-01,488600
2000-08-01,499600
2000-09-01,499300
2000-10-01,516200
2000-11-01,497400
2000-12-01,489200
2001-01-01,498800
2001-02-01,494200
2001-03-01,494300
2001-04-01,498500
2001-05-01,489800
2001-06-01,505400
2001-07-01,506600
2001-08-01,513800
2001-09-01,516000
2001-10-01,515500
2001-11-01,519800
2001-12-01,546400
2002-01-01,532500
2002-02-01,542700
2002-03-01,552800
2002-04-01,548600
2002-05-01,552300
2002-06-01,558300
2002-07-01,556400
2002-08-01,538800
2002-09-01,547800
2002-10-01,550000
2002-11-01,547600
2002-12-01,546700
2003-01-01,552500
2003-02-01,546200
2003-03-01,552400
2003-04-01,579900
2003-05-01,584600
2003-06-01,562200
2003-07-01,562700
2003-08-01,569100
2003-09-01,594100
2003-10-01,559100
2003-11-01,555800
2003-12-01,552400
2004-01-01,555100
2004-02-01,546900
