"Date","LFHU24TTCAM647N"
1976-01-01,375900
1976-02-01,371700
1976-03-01,360700
1976-04-01,341900
1976-05-01,352700
1976-06-01,381000
1976-07-01,437300
1976-08-01,346300
1976-09-01,310200
1976-10-01,320400
1976-11-01,343600
1976-12-01,358600
1977-01-01,403300
1977-02-01,427000
1977-03-01,411100
1977-04-01,400200
1977-05-01,399900
1977-06-01,421000
1977-07-01,492300
1977-08-01,417000
1977-09-01,390000
1977-10-01,384900
1977-11-01,400400
1977-12-01,401400
1978-01-01,441700
1978-02-01,444900
1978-03-01,455400
1978-04-01,431400
1978-05-01,443400
1978-06-01,453500
1978-07-01,494100
1978-08-01,422200
1978-09-01,391000
1978-10-01,367100
1978-11-01,403000
1978-12-01,412200
1979-01-01,450200
1979-02-01,456800
1979-03-01,440100
1979-04-01,432600
1979-05-01,412200
1979-06-01,414200
1979-07-01,419200
1979-08-01,370900
1979-09-01,340200
1979-10-01,360600
1979-11-01,369700
1979-12-01,366500
1980-01-01,433700
1980-02-01,418700
1980-03-01,445700
1980-04-01,423600
1980-05-01,434400
1980-06-01,487100
1980-07-01,468200
1980-08-01,413300
1980-09-01,360900
1980-10-01,375800
1980-11-01,366400
1980-12-01,379300
1981-01-01,429800
1981-02-01,422900
1981-03-01,460900
1981-04-01,398100
1981-05-01,413900
1981-06-01,438200
1981-07-01,426100
1981-08-01,371200
1981-09-01,402100
1981-10-01,409400
1981-11-01,430300
1981-12-01,433400
1982-01-01,494000
1982-02-01,491700
1982-03-01,544900
1982-04-01,524300
1982-05-01,562700
1982-06-01,614000
1982-07-01,692000
1982-08-01,615200
1982-09-01,565900
1982-10-01,597200
1982-11-01,591500
1982-12-01,609100
1983-01-01,641300
1983-02-01,638200
1983-03-01,679700
1983-04-01,640100
1983-05-01,649800
1983-06-01,645100
1983-07-01,646900
1983-08-01,578500
1983-09-01,513300
1983-10-01,504300
1983-11-01,524600
1983-12-01,526600
1984-01-01,558800
1984-02-01,558600
1984-03-01,576500
1984-04-01,559500
1984-05-01,587700
1984-06-01,545800
1984-07-01,558300
1984-08-01,509200
1984-09-01,500200
1984-10-01,481600
1984-11-01,497600
1984-12-01,464600
1985-01-01,492000
1985-02-01,495900
1985-03-01,540200
1985-04-01,503100
1985-05-01,503800
1985-06-01,511700
1985-07-01,506600
1985-08-01,454500
1985-09-01,431900
1985-10-01,435300
1985-11-01,447300
1985-12-01,430600
1986-01-01,483700
1986-02-01,499200
1986-03-01,503000
1986-04-01,454100
1986-05-01,471500
1986-06-01,468200
1986-07-01,474800
1986-08-01,416100
1986-09-01,391800
1986-10-01,386000
1986-11-01,389200
1986-12-01,386200
1987-01-01,433900
1987-02-01,445700
1987-03-01,470200
1987-04-01,402300
1987-05-01,422100
1987-06-01,418700
1987-07-01,428000
1987-08-01,369900
1987-09-01,320400
1987-10-01,334600
1987-11-01,345200
1987-12-01,313900
1988-01-01,356100
1988-02-01,336400
1988-03-01,360700
1988-04-01,328600
1988-05-01,364300
1988-06-01,327300
1988-07-01,377000
1988-08-01,328600
1988-09-01,306600
1988-10-01,306800
1988-11-01,306600
1988-12-01,290100
1989-01-01,334700
1989-02-01,332700
1989-03-01,324900
1989-04-01,314500
1989-05-01,337700
1989-06-01,322900
1989-07-01,347600
1989-08-01,294800
1989-09-01,262900
1989-10-01,282800
1989-11-01,291600
1989-12-01,282800
1990-01-01,346500
1990-02-01,331900
1990-03-01,310100
1990-04-01,313200
1990-05-01,348500
1990-06-01,320400
1990-07-01,382800
1990-08-01,341900
1990-09-01,323600
1990-10-01,342400
1990-11-01,353300
1990-12-01,352000
1991-01-01,416700
1991-02-01,426400
1991-03-01,443000
1991-04-01,419800
1991-05-01,460400
1991-06-01,456000
1991-07-01,519200
1991-08-01,431500
1991-09-01,371400
1991-10-01,366900
1991-11-01,383000
1991-12-01,356200
1992-01-01,416100
1992-02-01,427300
1992-03-01,451400
1992-04-01,415200
1992-05-01,477000
1992-06-01,508200
1992-07-01,543500
1992-08-01,486100
1992-09-01,395900
1992-10-01,371800
1992-11-01,424200
1992-12-01,394900
1993-01-01,407500
1993-02-01,405400
1993-03-01,450700
1993-04-01,429500
1993-05-01,478600
1993-06-01,501500
1993-07-01,544100
1993-08-01,440300
1993-09-01,365900
1993-10-01,372000
1993-11-01,403000
1993-12-01,364600
1994-01-01,426200
1994-02-01,435100
1994-03-01,413100
1994-04-01,399500
1994-05-01,445400
1994-06-01,421900
1994-07-01,475100
1994-08-01,398800
1994-09-01,327100
1994-10-01,347500
1994-11-01,335400
1994-12-01,315800
1995-01-01,349400
1995-02-01,350800
1995-03-01,370600
1995-04-01,353400
1995-05-01,393600
1995-06-01,394500
1995-07-01,482400
1995-08-01,383900
1995-09-01,332600
1995-10-01,320500
