"Date","LFEASETTCAM647N"
1992-09-01,9310800
1992-10-01,9377300
1992-11-01,9338700
1992-12-01,9358600
1993-01-01,9232000
1993-02-01,9293000
1993-03-01,9323300
1993-04-01,9321200
1993-05-01,9472500
1993-06-01,9626200
1993-07-01,9632100
1993-08-01,9630500
1993-09-01,9520000
1993-10-01,9525700
1993-11-01,9515200
1993-12-01,9519100
1994-01-01,9380400
1994-02-01,9466400
1994-03-01,9479200
1994-04-01,9461500
1994-05-01,9680700
1994-06-01,9808900
1994-07-01,9855600
1994-08-01,9849500
1994-09-01,9716500
1994-10-01,9729700
1994-11-01,9755300
1994-12-01,9750700
1995-01-01,9627900
1995-02-01,9657400
1995-03-01,9693100
1995-04-01,9677800
1995-05-01,9838900
1995-06-01,9977100
1995-07-01,10001200
1995-08-01,9997300
1995-09-01,9855500
1995-10-01,9887100
1995-11-01,9836800
1995-12-01,9882700
1996-01-01,9764700
1996-02-01,9822900
1996-03-01,9827900
1996-04-01,9857200
1996-05-01,10034400
1996-06-01,10121600
1996-07-01,10148500
1996-08-01,10110800
1996-09-01,9913300
1996-10-01,9920500
1996-11-01,9914900
1996-12-01,9955200
1997-01-01,9826400
1997-02-01,9882400
1997-03-01,9931000
1997-04-01,9953500
1997-05-01,10161000
1997-06-01,10319500
1997-07-01,10334600
1997-08-01,10354200
1997-09-01,10199300
1997-10-01,10219900
1997-11-01,10208400
1997-12-01,10232400
1998-01-01,10055300
1998-02-01,10141900
1998-03-01,10180900
1998-04-01,10227000
1998-05-01,10398800
1998-06-01,10542100
1998-07-01,10569000
1998-08-01,10550700
1998-09-01,10450300
1998-10-01,10463200
1998-11-01,10475000
1998-12-01,10500800
1999-01-01,10392600
1999-02-01,10441400
1999-03-01,10464600
1999-04-01,10526400
1999-05-01,10710400
1999-06-01,10832000
1999-07-01,10860800
1999-08-01,10835000
1999-09-01,10702800
1999-10-01,10725800
1999-11-01,10728600
1999-12-01,10794200
2000-01-01,10635900
2000-02-01,10730800
2000-03-01,10769200
2000-04-01,10797200
2000-05-01,11000300
2000-06-01,11112900
2000-07-01,11118500
2000-08-01,11104200
2000-09-01,10986600
2000-10-01,11032800
2000-11-01,11036400
2000-12-01,11082200
2001-01-01,10911100
2001-02-01,10959900
2001-03-01,10982100
2001-04-01,11041600
2001-05-01,11254700
2001-06-01,11329700
2001-07-01,11339400
2001-08-01,11307900
2001-09-01,11173600
2001-10-01,11213400
2001-11-01,11243500
2001-12-01,11234200
2002-01-01,11108300
2002-02-01,11134400
2002-03-01,11192400
2002-04-01,11272900
2002-05-01,11464600
2002-06-01,11584200
2002-07-01,11587600
2002-08-01,11597100
2002-09-01,11455700
2002-10-01,11490800
2002-11-01,11512800
2002-12-01,11584900
2003-01-01,11438500
2003-02-01,11527600
2003-03-01,11576800
2003-04-01,11602900
2003-05-01,11758500
2003-06-01,11928200
2003-07-01,11868800
2003-08-01,11829100
2003-09-01,11736700
2003-10-01,11818800
2003-11-01,11826300
2003-12-01,11884200
2004-01-01,11709000
2004-02-01,11754300
2004-03-01,11737100
2004-04-01,11799600
2004-05-01,11982200
2004-06-01,12125100
2004-07-01,12066600
2004-08-01,12010300
2004-09-01,11934500
2004-10-01,11970100
2004-11-01,11992200
2004-12-01,12016900
2005-01-01,11834800
2005-02-01,11946700
2005-03-01,11925300
2005-04-01,11974800
2005-05-01,12205200
2005-06-01,12271200
2005-07-01,12286100
2005-08-01,12229900
2005-09-01,12113100
2005-10-01,12213500
2005-11-01,12227500
2005-12-01,12246200
2006-01-01,12178000
2006-02-01,12185200
2006-03-01,12219000
2006-04-01,12266500
2006-05-01,12550000
2006-06-01,12662000
2006-07-01,12609700
2006-08-01,12547200
2006-09-01,12408200
2006-10-01,12492700
2006-11-01,12471700
2006-12-01,12534800
2007-01-01,12437600
2007-02-01,12530100
2007-03-01,12588500
2007-04-01,12618700
2007-05-01,12830600
2007-06-01,12971700
2007-07-01,12957400
2007-08-01,12905400
2007-09-01,12790700
2007-10-01,12897700
2007-11-01,12916300
2007-12-01,12958100
2008-01-01,12803500
2008-02-01,12894500
2008-03-01,12885000
2008-04-01,12906200
2008-05-01,13086500
2008-06-01,13221200
2008-07-01,13137900
2008-08-01,13086400
2008-09-01,12990700
2008-10-01,13086000
2008-11-01,13013300
2008-12-01,13027100
2009-01-01,12834000
2009-02-01,12886200
2009-03-01,12850900
2009-04-01,12918600
2009-05-01,13130200
2009-06-01,13227800
2009-07-01,13109500
2009-08-01,13085500
2009-09-01,12972500
2009-10-01,13012000
2009-11-01,13074700
2009-12-01,13065000
2010-01-01,12948100
2010-02-01,12991000
2010-03-01,13017700
2010-04-01,13113100
2010-05-01,13314400
2010-06-01,13508800
2010-07-01,13396900
2010-08-01,13369000
2010-09-01,13269500
2010-10-01,13282000
2010-11-01,13297700
2010-12-01,13326200
2011-01-01,13210500
2011-02-01,13243200
2011-03-01,13221400
2011-04-01,13316500
2011-05-01,13474800
2011-06-01,13644900
2011-07-01,13561700
2011-08-01,13532500
2011-09-01,13408000
2011-10-01,13423700
2011-11-01,13417300
2011-12-01,13436900
2012-01-01,13287300
2012-02-01,13321700
2012-03-01,13373800
2012-04-01,13495400
2012-05-01,13654100
2012-06-01,13745500
2012-07-01,13645200
2012-08-01,13660100
2012-09-01,13582900
2012-10-01,13624100
2012-11-01,13651700
2012-12-01,13689800
2013-01-01,13573700
2013-02-01,13661600
2013-03-01,13609000
2013-04-01,13661300
2013-05-01,13904300
2013-06-01,13993700
2013-07-01,13865300
2013-08-01,13888200
2013-09-01,13810700
2013-10-01,13802800
2013-11-01,13800400
2013-12-01,13784400
2014-01-01,13660900
2014-02-01,13696200
2014-03-01,13723000
2014-04-01,13766900
2014-05-01,13981300
2014-06-01,14096300
2014-07-01,14017200
2014-08-01,13957800
2014-09-01,13876600
2014-10-01,13927300
2014-11-01,13904600
2014-12-01,13921600
2015-01-01,13791800
2015-02-01,13875100
2015-03-01,13906600
2015-04-01,13912500
2015-05-01,14135100
2015-06-01,14242000
2015-07-01,14119800
2015-08-01,14126500
2015-09-01,14031300
2015-10-01,14109700
2015-11-01,14015200
2015-12-01,14008400
2016-01-01,13862900
2016-02-01,13919800
2016-03-01,13962200
2016-04-01,14025500
2016-05-01,14278700
2016-06-01,14402600
2016-07-01,14247900
2016-08-01,14236200
2016-09-01,14182100
2016-10-01,14244700
2016-11-01,14261700
2016-12-01,14294700
2017-01-01,14216600
2017-02-01,14251600
2017-03-01,14289200
2017-04-01,14304100
2017-05-01,14575500
2017-06-01,14710100
2017-07-01,14603900
2017-08-01,14594300
2017-09-01,14502700
2017-10-01,14537400
2017-11-01,14583600
2017-12-01,14622200
2018-01-01,14459400
2018-02-01,14486600
2018-03-01,14525300
2018-04-01,14581400
2018-05-01,14814100
2018-06-01,14934500
2018-07-01,14931400
2018-08-01,14846000
2018-09-01,14776900
2018-10-01,14843800
2018-11-01,14882500
2018-12-01,14914800
2019-01-01,14833300
2019-02-01,14926600
2019-03-01,14924700
2019-04-01,15030300
2019-05-01,15263600
2019-06-01,15372800
2019-07-01,15233900
2019-08-01,15235700
2019-09-01,15177700
2019-10-01,15236700
2019-11-01,15181600
2019-12-01,15218800
2020-01-01,15044500
2020-02-01,15079900
2020-03-01,14022800
2020-04-01,12678300
2020-05-01,12986000
2020-06-01,13959500
2020-07-01,14169500
2020-08-01,14334800
2020-09-01,14625000
2020-10-01,14720000
2020-11-01,14722100
2020-12-01,14621500
2021-01-01,14240200
2021-02-01,14559700
2021-03-01,14783500
2021-04-01,14634100
2021-05-01,14821500
2021-06-01,15221400
2021-07-01,15159400
2021-08-01,15181400
2021-09-01,15280500
2021-10-01,15379800
2021-11-01,15483600
2021-12-01,15509100
2022-01-01,15086100
2022-02-01,15450600
2022-03-01,15465900
2022-04-01,15534900
2022-05-01,15829400
2022-06-01,15869400
2022-07-01,15711600
2022-08-01,15640600
2022-09-01,15626300
2022-10-01,15722600
2022-11-01,15745300
2022-12-01,15767200
2023-01-01,15724500
2023-02-01,15769400
2023-03-01,15850700
2023-04-01,15898500
2023-05-01,16104100
2023-06-01,16250600
2023-07-01,16105700
2023-08-01,16110800
2023-09-01,16124900
2023-10-01,16192000
2023-11-01,16153000
