"Date","LFWA64FECAM647N"
1997-02-01,9884600
1997-03-01,9893200
1997-04-01,9904400
1997-05-01,9913400
1997-06-01,9924000
1997-07-01,9931700
1997-08-01,9939600
1997-09-01,9949400
1997-10-01,9956900
1997-11-01,9964000
1997-12-01,9970300
1998-01-01,9977800
1998-02-01,9986100
1998-03-01,9993700
1998-04-01,10001500
1998-05-01,10009300
1998-06-01,10018700
1998-07-01,10026000
1998-08-01,10033000
1998-09-01,10042200
1998-10-01,10049900
1998-11-01,10057500
1998-12-01,10064900
1999-01-01,10073700
1999-02-01,10083500
1999-03-01,10092900
1999-04-01,10102300
1999-05-01,10111900
1999-06-01,10123700
1999-07-01,10132600
1999-08-01,10142600
1999-09-01,10151700
1999-10-01,10160900
1999-11-01,10169700
1999-12-01,10178300
2000-01-01,10187800
2000-02-01,10198100
2000-03-01,10207500
2000-04-01,10217300
2000-05-01,10230100
2000-06-01,10240600
2000-07-01,10250400
2000-08-01,10262000
2000-09-01,10272200
2000-10-01,10282400
2000-11-01,10292500
2000-12-01,10302200
2001-01-01,10317500
2001-02-01,10327600
2001-03-01,10338800
2001-04-01,10353700
2001-05-01,10365800
2001-06-01,10378000
2001-07-01,10392000
2001-08-01,10403000
2001-09-01,10413400
2001-10-01,10423800
2001-11-01,10433900
2001-12-01,10443100
2002-01-01,10456200
2002-02-01,10467000
2002-03-01,10478900
2002-04-01,10494200
2002-05-01,10506400
2002-06-01,10518800
2002-07-01,10532300
2002-08-01,10540700
2002-09-01,10550600
2002-10-01,10558700
2002-11-01,10566900
2002-12-01,10574400
2003-01-01,10582900
2003-02-01,10591000
2003-03-01,10600900
2003-04-01,10613000
2003-05-01,10622800
2003-06-01,10635800
2003-07-01,10646100
2003-08-01,10655700
2003-09-01,10668100
2003-10-01,10678000
2003-11-01,10687400
2003-12-01,10696000
2004-01-01,10705900
2004-02-01,10716700
2004-03-01,10727400
2004-04-01,10738400
2004-05-01,10749700
2004-06-01,10764200
2004-07-01,10775100
2004-08-01,10788100
2004-09-01,10798600
2004-10-01,10808600
2004-11-01,10817900
2004-12-01,10826500
2005-01-01,10836400
2005-02-01,10848200
2005-03-01,10859500
2005-04-01,10871100
2005-05-01,10886000
2005-06-01,10898700
2005-07-01,10911000
2005-08-01,10925200
2005-09-01,10935800
2005-10-01,10945300
2005-11-01,10955200
2005-12-01,10963600
2006-01-01,10974300
2006-02-01,10982700
2006-03-01,10992600
2006-04-01,11003000
2006-05-01,11016000
2006-06-01,11026900
2006-07-01,11038200
2006-08-01,11052000
2006-09-01,11062600
2006-10-01,11072800
2006-11-01,11082700
2006-12-01,11091900
2007-01-01,11102000
2007-02-01,11109900
2007-03-01,11119200
2007-04-01,11130900
2007-05-01,11140800
2007-06-01,11151500
2007-07-01,11164900
2007-08-01,11175500
2007-09-01,11185700
2007-10-01,11195500
2007-11-01,11204800
2007-12-01,11213200
2008-01-01,11222500
2008-02-01,11230500
2008-03-01,11240200
2008-04-01,11252400
2008-05-01,11263000
2008-06-01,11277100
2008-07-01,11288900
2008-08-01,11299400
2008-09-01,11311200
2008-10-01,11321000
2008-11-01,11330200
2008-12-01,11338500
2009-01-01,11346800
2009-02-01,11356200
2009-03-01,11365900
2009-04-01,11376400
2009-05-01,11387200
2009-06-01,11401000
2009-07-01,11412900
2009-08-01,11423800
2009-09-01,11435900
2009-10-01,11445300
2009-11-01,11453900
2009-12-01,11461200
2010-01-01,11468500
2010-02-01,11476900
2010-03-01,11486600
2010-04-01,11496700
2010-05-01,11507400
2010-06-01,11521200
2010-07-01,11532800
2010-08-01,11545000
2010-09-01,11553700
2010-10-01,11561800
2010-11-01,11568800
2010-12-01,11574800
2011-01-01,11579500
2011-02-01,11584700
2011-03-01,11590800
2011-04-01,11597400
2011-05-01,11605200
2011-06-01,11612700
2011-07-01,11617900
2011-08-01,11625900
2011-09-01,11631600
2011-10-01,11636700
2011-11-01,11641000
2011-12-01,11645300
2012-01-01,11648000
2012-02-01,11651100
2012-03-01,11655500
2012-04-01,11662500
2012-05-01,11668600
2012-06-01,11675400
2012-07-01,11682800
2012-08-01,11687100
2012-09-01,11691100
2012-10-01,11695700
2012-11-01,11700000
2012-12-01,11704000
2013-01-01,11705900
2013-02-01,11708900
2013-03-01,11713900
2013-04-01,11720700
2013-05-01,11727100
2013-06-01,11733700
2013-07-01,11740900
2013-08-01,11745500
2013-09-01,11750200
2013-10-01,11754600
2013-11-01,11758200
