"Date","LFUN25MACAM647S"
1976-01-01,181100
1976-02-01,183100
1976-03-01,168600
1976-04-01,173200
1976-05-01,170900
1976-06-01,180700
1976-07-01,183700
1976-08-01,175400
1976-09-01,176000
1976-10-01,211200
1976-11-01,200900
1976-12-01,203500
1977-01-01,201300
1977-02-01,215700
1977-03-01,224700
1977-04-01,217000
1977-05-01,214400
1977-06-01,213300
1977-07-01,212700
1977-08-01,210200
1977-09-01,217900
1977-10-01,215100
1977-11-01,220600
1977-12-01,232400
1978-01-01,227000
1978-02-01,231900
1978-03-01,241500
1978-04-01,240500
1978-05-01,242500
1978-06-01,236700
1978-07-01,226400
1978-08-01,238600
1978-09-01,236000
1978-10-01,235000
1978-11-01,237400
1978-12-01,229200
1979-01-01,236900
1979-02-01,226400
1979-03-01,227200
1979-04-01,223100
1979-05-01,213500
1979-06-01,206800
1979-07-01,198800
1979-08-01,205100
1979-09-01,197100
1979-10-01,200100
1979-11-01,204900
1979-12-01,212100
1980-01-01,222100
1980-02-01,237200
1980-03-01,224500
1980-04-01,231500
1980-05-01,237100
1980-06-01,232300
1980-07-01,233900
1980-08-01,232400
1980-09-01,230800
1980-10-01,223600
1980-11-01,227800
1980-12-01,228400
1981-01-01,228300
1981-02-01,230200
1981-03-01,231800
1981-04-01,222200
1981-05-01,230000
1981-06-01,229800
1981-07-01,230500
1981-08-01,225100
1981-09-01,257000
1981-10-01,269600
1981-11-01,254300
1981-12-01,300600
1982-01-01,295800
1982-02-01,306800
1982-03-01,323000
1982-04-01,350700
1982-05-01,370600
1982-06-01,414200
1982-07-01,440900
1982-08-01,459000
1982-09-01,491700
1982-10-01,517200
1982-11-01,519000
1982-12-01,523300
1983-01-01,494000
1983-02-01,495200
1983-03-01,481300
1983-04-01,478600
1983-05-01,490600
1983-06-01,504800
1983-07-01,482200
1983-08-01,463300
1983-09-01,463300
1983-10-01,452600
1983-11-01,447600
1983-12-01,441500
1984-01-01,444900
1984-02-01,449100
1984-03-01,459900
1984-04-01,465600
1984-05-01,481100
1984-06-01,463400
1984-07-01,446300
1984-08-01,468600
1984-09-01,497100
1984-10-01,465900
1984-11-01,460000
1984-12-01,456300
1985-01-01,456600
1985-02-01,453500
1985-03-01,454800
1985-04-01,439500
1985-05-01,431900
1985-06-01,434200
1985-07-01,429600
1985-08-01,426100
1985-09-01,408500
1985-10-01,430600
1985-11-01,412700
1985-12-01,409600
1986-01-01,404100
1986-02-01,391200
1986-03-01,399200
1986-04-01,402700
1986-05-01,399900
1986-06-01,406600
1986-07-01,407200
1986-08-01,408900
1986-09-01,410700
1986-10-01,405700
1986-11-01,411700
1986-12-01,405300
1987-01-01,404300
1987-02-01,405200
1987-03-01,389200
1987-04-01,387000
1987-05-01,376100
1987-06-01,382000
1987-07-01,368000
1987-08-01,371800
1987-09-01,374800
1987-10-01,353800
1987-11-01,345800
1987-12-01,348500
1988-01-01,345200
1988-02-01,337600
1988-03-01,338900
1988-04-01,335900
1988-05-01,334700
1988-06-01,333000
1988-07-01,336600
1988-08-01,327500
1988-09-01,335900
1988-10-01,341600
1988-11-01,332900
1988-12-01,334700
1989-01-01,340900
1989-02-01,342800
1989-03-01,347000
1989-04-01,348300
1989-05-01,351600
1989-06-01,340700
1989-07-01,347800
1989-08-01,337500
1989-09-01,333000
1989-10-01,321900
1989-11-01,349400
1989-12-01,366500
1990-01-01,373500
1990-02-01,363500
1990-03-01,364300
1990-04-01,370900
1990-05-01,378100
1990-06-01,376600
1990-07-01,395600
1990-08-01,404300
1990-09-01,426700
1990-10-01,440100
1990-11-01,464700
1990-12-01,482900
1991-01-01,494700
1991-02-01,525000
1991-03-01,544500
1991-04-01,528400
1991-05-01,525200
1991-06-01,529500
1991-07-01,523900
1991-08-01,542900
1991-09-01,532100
1991-10-01,543600
1991-11-01,549600
1991-12-01,548300
1992-01-01,555800
1992-02-01,565000
1992-03-01,584800
1992-04-01,579600
1992-05-01,598800
1992-06-01,621700
1992-07-01,614200
1992-08-01,645100
1992-09-01,651200
1992-10-01,640100
1992-11-01,664800
1992-12-01,627700
1993-01-01,601800
1993-02-01,585800
1993-03-01,592000
1993-04-01,604300
1993-05-01,612100
1993-06-01,622400
1993-07-01,627000
1993-08-01,606400
1993-09-01,648500
1993-10-01,607800
1993-11-01,604300
1993-12-01,613400
1994-01-01,619800
1994-02-01,592100
1994-03-01,559600
1994-04-01,584800
1994-05-01,555500
1994-06-01,556300
1994-07-01,541800
1994-08-01,544500
1994-09-01,571200
1994-10-01,531500
1994-11-01,545900
1994-12-01,529200
1995-01-01,516500
1995-02-01,516000
1995-03-01,525400
1995-04-01,513400
1995-05-01,527000
1995-06-01,511800
1995-07-01,523300
1995-08-01,513700
1995-09-01,489700
1995-10-01,500800
1995-11-01,490400
1995-12-01,505100
1996-01-01,520800
1996-02-01,519600
1996-03-01,523800
1996-04-01,516200
1996-05-01,517100
1996-06-01,536100
1996-07-01,540300
1996-08-01,519100
1996-09-01,528000
1996-10-01,536600
1996-11-01,522100
1996-12-01,522200
1997-01-01,503000
1997-02-01,521400
1997-03-01,505200
1997-04-01,516600
1997-05-01,504900
1997-06-01,462800
1997-07-01,460700
1997-08-01,468000
1997-09-01,467100
1997-10-01,458800
1997-11-01,455000
1997-12-01,443500
1998-01-01,456000
1998-02-01,449500
1998-03-01,434800
1998-04-01,429000
1998-05-01,451100
1998-06-01,440600
1998-07-01,449800
1998-08-01,427000
1998-09-01,438100
1998-10-01,440900
1998-11-01,434400
1998-12-01,435100
1999-01-01,417300
1999-02-01,414600
1999-03-01,414500
1999-04-01,422800
1999-05-01,401700
1999-06-01,400400
1999-07-01,396100
1999-08-01,407100
1999-09-01,406900
1999-10-01,389700
1999-11-01,376500
1999-12-01,354000
2000-01-01,361700
2000-02-01,352000
2000-03-01,352200
2000-04-01,348200
2000-05-01,345500
2000-06-01,362700
2000-07-01,355300
2000-08-01,366500
2000-09-01,355000
2000-10-01,352700
2000-11-01,369000
2000-12-01,360700
2001-01-01,372400
2001-02-01,374700
2001-03-01,388700
2001-04-01,391900
2001-05-01,392200
2001-06-01,399300
2001-07-01,374500
2001-08-01,392300
2001-09-01,392400
2001-10-01,401200
2001-11-01,409100
2001-12-01,472200
2002-01-01,478600
2002-02-01,459300
2002-03-01,444000
2002-04-01,434600
2002-05-01,436200
2002-06-01,419300
2002-07-01,430200
2002-08-01,410600
2002-09-01,426000
2002-10-01,419800
2002-11-01,401500
2002-12-01,424400
2003-01-01,403900
2003-02-01,407000
2003-03-01,408100
2003-04-01,411200
2003-05-01,434000
2003-06-01,425000
2003-07-01,441400
2003-08-01,458300
2003-09-01,431300
2003-10-01,421400
2003-11-01,405800
2003-12-01,387200
2004-01-01,394500
2004-02-01,404000
2004-03-01,407300
2004-04-01,400500
