"Date","LFIN24FECAM647S"
1995-01-01,721720.058241175
1995-02-01,736389.546101368
1995-03-01,734787.700605202
1995-04-01,731732.564602718
1995-05-01,731527.842405941
1995-06-01,734093.180121583
1995-07-01,726727.203341173
1995-08-01,745161.617525943
1995-09-01,751273.282637406
1995-10-01,742036.751428354
1995-11-01,752478.14192379
1995-12-01,753325.730444255
1996-01-01,756148.207201877
1996-02-01,746482.162599912
1996-03-01,758910.442280055
1996-04-01,756677.439029904
1996-05-01,757572.171073944
1996-06-01,760935.743419048
1996-07-01,762887.227123254
1996-08-01,767304.223781926
1996-09-01,762035.256511457
1996-10-01,767327.15875443
1996-11-01,764399.311095729
1996-12-01,772342.162088121
1997-01-01,772008.029261269
1997-02-01,769422.550633436
1997-03-01,773923.862178715
1997-04-01,777160.879055238
1997-05-01,799028.296517502
1997-06-01,764265.188980475
1997-07-01,804073.386486371
1997-08-01,777628.328277593
1997-09-01,793965.295564074
1997-10-01,805801.489203979
1997-11-01,805201.880511116
1997-12-01,813877.534746605
1998-01-01,800194.391390153
1998-02-01,801101.13586417
1998-03-01,793931.897493409
1998-04-01,786640.135121148
1998-05-01,782902.286560655
1998-06-01,788703.927658141
1998-07-01,791605.159015014
1998-08-01,771205.892132283
1998-09-01,757346.499178764
1998-10-01,750789.864062604
1998-11-01,749957.84474329
1998-12-01,742789.279163943
1999-01-01,742324.509382731
1999-02-01,753342.873082028
1999-03-01,758888.81025006
1999-04-01,742490.551647396
1999-05-01,744431.30016355
1999-06-01,752056.526119573
1999-07-01,752546.83406231
1999-08-01,779974.483868452
1999-09-01,756758.60638325
1999-10-01,761540.871095107
1999-11-01,766376.06566619
1999-12-01,760592.23615039
2000-01-01,764064.948093671
2000-02-01,743111.18311385
2000-03-01,740384.136892127
2000-04-01,756465.878082268
2000-05-01,743824.677851286
2000-06-01,744845.308373561
2000-07-01,737998.312013271
2000-08-01,732250.615454036
2000-09-01,716499.303501411
2000-10-01,720571.545951778
2000-11-01,726391.186692669
2000-12-01,726208.746645174
2001-01-01,724660.113255598
2001-02-01,736813.165141189
2001-03-01,736552.198128082
2001-04-01,733021.33730513
2001-05-01,749592.106234448
2001-06-01,758676.082607398
2001-07-01,751200.06084753
2001-08-01,759845.449428366
2001-09-01,740979.387975627
2001-10-01,745110.234470928
2001-11-01,726988.69957332
2001-12-01,729266.187418973
2002-01-01,728486.95988726
2002-02-01,730813.265438433
2002-03-01,723997.189222217
2002-04-01,716142.009477096
2002-05-01,706325.204863422
2002-06-01,713111.344525719
2002-07-01,691567.006676925
2002-08-01,668781.341898394
2002-09-01,703402.076817998
2002-10-01,690748.939283193
2002-11-01,687623.447475518
2002-12-01,696927.286818476
2003-01-01,691029.790195063
2003-02-01,682447.186988951
2003-03-01,685628.332291839
2003-04-01,684323.632759716
2003-05-01,688688.515799643
2003-06-01,679732.261866226
2003-07-01,682133.339930803
2003-08-01,671052.132167617
2003-09-01,688717.14535431
2003-10-01,698013.586802965
2003-11-01,698997.094639178
2003-12-01,689074.180867844
2004-01-01,701470.810985632
2004-02-01,705063.646486011
