"Date","CANCPGRHO01GYM"
1960-01-01,2.21791118799331
1960-02-01,2.21791118799331
1960-03-01,2.21791118799331
1960-04-01,2.95611787925344
1960-05-01,2.01291444482049
1960-06-01,2.01291444482049
1960-07-01,2.01291444482049
1960-08-01,1.36546105805668
1960-09-01,1.36546105805668
1960-10-01,1.36546105805668
1960-11-01,1.35927427110866
1960-12-01,1.35927427110866
1961-01-01,1.35927427110866
1961-02-01,1.35927427110866
1961-03-01,1.35927427110866
1961-04-01,0.898044918393296
1961-05-01,0.898044918393296
1961-06-01,0.898044918393296
1961-07-01,1.07515078508731
1961-08-01,0.898044918393296
1961-09-01,1.34706737758994
1961-10-01,1.52417324428394
1961-11-01,1.07034469700689
1961-12-01,1.07034469700689
1962-01-01,1.07034469700689
1962-02-01,1.07034469700689
1962-03-01,1.07034469700689
1962-04-01,1.06558138560254
1962-05-01,1.95563323855927
1962-06-01,2.13116277120508
1962-07-01,2.12742850589131
1962-08-01,2.75171823032924
1962-09-01,2.29647240624864
1962-10-01,2.11801928689495
1962-11-01,2.11801928689495
1962-12-01,2.11801928689495
1963-01-01,2.56030061246283
1963-02-01,2.56030061246283
1963-03-01,2.56030061246283
1963-04-01,2.10869293184384
1963-05-01,1.21730489902835
1963-06-01,1.04334598440798
1963-07-01,0.869983999006914
1963-08-01,0.866216028584157
1963-09-01,1.29932404287625
1963-10-01,1.73243205716831
1963-11-01,1.73243205716831
1963-12-01,1.73243205716831
1964-01-01,1.29372083426048
1964-02-01,1.72496111234729
1964-03-01,2.15620139043411
1964-04-01,2.15620139043411
1964-05-01,2.58744166852093
1964-06-01,2.9276259138283
1964-07-01,3.35886619191512
1964-08-01,2.91505502244313
1964-09-01,2.6436765620791
1964-10-01,2.63242157207169
1964-11-01,3.05815406026059
1964-12-01,3.05815406026059
1965-01-01,3.05815406026059
1965-02-01,3.46911738867255
1965-03-01,3.03233479154412
1965-04-01,3.03233479154412
1965-05-01,3.01958795940278
1965-06-01,2.67909977199247
1965-07-01,2.25069565756303
1965-08-01,2.66792186560417
1965-09-01,2.49924437630207
1965-10-01,2.07406432425427
1965-11-01,1.65239710363911
1965-12-01,2.22843323001636
1966-01-01,2.80446935639362
1966-02-01,2.37177451379839
1966-03-01,2.37177451379839
1966-04-01,2.53337621336435
1966-05-01,2.68398125996736
1966-06-01,2.84492355605552
1966-07-01,2.84492355605552
1966-08-01,2.99365048839052
1966-09-01,3.15393874042394
1966-10-01,3.56032293566194
1966-11-01,3.96670713089992
1966-12-01,3.94435555474874
1967-01-01,3.92225446022402
1967-02-01,3.50633487756691
1967-03-01,4.06441441190405
1967-04-01,4.85719068936519
1967-05-01,4.67354084818149
1967-06-01,4.97920774680612
1967-07-01,5.13569801440831
1967-08-01,5.1074413350065
1967-09-01,5.64885141168547
1967-10-01,5.23427155869071
1967-11-01,4.97710539181547
1967-12-01,4.56136442761935
1968-01-01,5.31009897139916
1968-02-01,5.69676309516156
1968-03-01,6.05080284633034
1968-04-01,5.61450981441136
1968-05-01,6.12256721671834
1968-06-01,6.09518687533302
1968-07-01,6.08611443425715
1968-08-01,5.6788569043247
1968-09-01,5.86679147691451
1968-10-01,6.9067391735586
1968-11-01,6.74973257919408
1968-12-01,6.59318647816455
1969-01-01,6.65583423594272
1969-02-01,6.63148559708772
1969-03-01,6.57390227100127
1969-04-01,7.12015423290484
1969-05-01,7.05916563333799
1969-06-01,7.0294104255761
1969-07-01,7.01954768774504
1969-08-01,7.14982276065136
1969-09-01,6.59836336618123
1969-10-01,6.39659996484429
1969-11-01,6.67175407862447
1969-12-01,7.7181652941359
1970-01-01,7.00167572302697
1970-02-01,7.11297162098404
1970-03-01,6.71473936620399
1970-04-01,6.31004639387468
1970-05-01,6.05721142825126
1970-06-01,5.77080450495745
1970-07-01,6.4280228042419
1970-08-01,6.48121286828729
1970-09-01,6.25969879191374
1970-10-01,6.7369230491801
1970-11-01,6.78858874483463
1970-12-01,6.20273864945355
1971-01-01,6.16282677363344
1971-02-01,6.45559319025774
1971-03-01,6.10802248165679
1971-04-01,6.06931640946866
1971-05-01,5.47151383278711
1971-06-01,5.34060932594905
1971-07-01,5.17748581898918
1971-08-01,5.28416797244201
1971-09-01,5.1550355498767
1971-10-01,5.21284697409303
1971-11-01,5.93006103964394
1971-12-01,5.47968945945706
1972-01-01,5.14342559119777
1972-02-01,4.68683387297415
1972-03-01,4.86326073155111
1972-04-01,4.53548988618492
1972-05-01,5.54945959076937
1972-06-01,5.54945959076937
1972-07-01,5.75074526281374
1972-08-01,5.61039314509561
1972-09-01,5.90611081202811
1972-10-01,5.83034494142139
1972-11-01,5.08100606383387
1972-12-01,6.0621978284013
1973-01-01,6.3329515657407
1973-02-01,7.00290443665922
1973-03-01,6.98283588878821
1973-04-01,7.36134708838327
1973-05-01,6.89599252679506
1973-06-01,7.17900312262803
1973-07-01,7.01203238120585
1973-08-01,7.10284043525273
1973-09-01,7.36223369481547
1973-10-01,6.72130811653072
1973-11-01,6.81131859264386
1973-12-01,6.36827256069653
1974-01-01,6.06268834526069
1974-02-01,5.84476365555668
1974-03-01,6.09697703465988
1974-04-01,6.2193019032418
1974-05-01,6.55554893209258
1974-06-01,7.48294566428257
1974-07-01,7.173536270537
1974-08-01,7.93170031835225
1974-09-01,7.73294597287426
1974-10-01,8.56244191207558
1974-11-01,8.89081384778342
1974-12-01,8.94631367824042
1975-01-01,8.15675105219342
1975-02-01,8.25269554993919
1975-03-01,8.15771318101601
1975-04-01,7.69406654807643
1975-05-01,7.47871102431554
