"Date","LFHUADFECAM647N"
1994-11-01,431200
1994-12-01,417000
1995-01-01,480800
1995-02-01,466800
1995-03-01,486000
1995-04-01,438100
1995-05-01,426100
1995-06-01,430800
1995-07-01,468300
1995-08-01,521600
1995-09-01,426700
1995-10-01,421600
1995-11-01,429300
1995-12-01,412000
1996-01-01,458800
1996-02-01,453900
1996-03-01,475800
1996-04-01,438900
1996-05-01,422500
1996-06-01,450400
1996-07-01,490300
1996-08-01,529200
1996-09-01,482100
1996-10-01,481200
1996-11-01,458300
1996-12-01,439000
1997-01-01,472100
1997-02-01,453500
1997-03-01,449900
1997-04-01,436000
1997-05-01,432400
1997-06-01,420100
1997-07-01,432900
1997-08-01,477100
1997-09-01,414500
1997-10-01,435100
1997-11-01,427900
1997-12-01,376300
1998-01-01,446800
1998-02-01,432600
1998-03-01,415000
1998-04-01,393900
1998-05-01,378700
1998-06-01,375900
1998-07-01,405500
1998-08-01,452500
1998-09-01,394800
1998-10-01,368200
1998-11-01,366800
1998-12-01,359500
1999-01-01,404200
1999-02-01,392700
1999-03-01,385400
1999-04-01,393200
1999-05-01,372900
1999-06-01,348400
1999-07-01,383500
1999-08-01,438300
1999-09-01,337900
1999-10-01,321500
1999-11-01,318700
1999-12-01,303800
2000-01-01,345200
2000-02-01,346800
2000-03-01,339100
2000-04-01,331000
2000-05-01,311200
2000-06-01,308600
2000-07-01,363300
2000-08-01,432000
2000-09-01,347400
2000-10-01,351800
2000-11-01,341100
2000-12-01,319900
2001-01-01,369700
2001-02-01,352900
2001-03-01,356900
2001-04-01,347700
2001-05-01,340500
2001-06-01,342500
2001-07-01,388900
2001-08-01,463200
2001-09-01,360300
2001-10-01,362500
2001-11-01,357100
2001-12-01,363400
2002-01-01,392800
2002-02-01,386900
2002-03-01,393900
2002-04-01,389200
2002-05-01,367200
2002-06-01,372900
2002-07-01,414800
2002-08-01,473100
2002-09-01,384700
2002-10-01,374400
2002-11-01,376700
2002-12-01,358800
2003-01-01,404700
2003-02-01,391300
2003-03-01,398100
2003-04-01,404700
2003-05-01,402700
2003-06-01,383800
2003-07-01,416300
2003-08-01,501600
2003-09-01,411900
2003-10-01,379800
2003-11-01,384300
2003-12-01,359900
