"Date","CANSLRTTO01MLSAM"
1997-10-01,25184179111.7658
1997-11-01,25254125397.7684
1997-12-01,26201853621.2187
1998-01-01,25047425960.1377
1998-02-01,25614782010.694
1998-03-01,25543077649.2802
1998-04-01,26060077396.9871
1998-05-01,25971294588.7217
1998-06-01,25652831785.6649
1998-07-01,25763088229.3099
1998-08-01,25637009106.9641
1998-09-01,25951202298.308
1998-10-01,25792473204.0399
1998-11-01,26009344363.6926
1998-12-01,26011228015.9189
1999-01-01,26312989102.5693
1999-02-01,26582476947.7428
1999-03-01,26615880380.5555
1999-04-01,26337853311.9562
1999-05-01,26237643013.518
1999-06-01,26626805563.468
1999-07-01,26769084094.9598
1999-08-01,27119192255.4182
1999-09-01,27091942086.5446
1999-10-01,26999517550.6417
1999-11-01,27178464512.1386
1999-12-01,27498183083.3462
2000-01-01,27624764512.9524
2000-02-01,27475579256.6308
2000-03-01,27798562825.0307
2000-04-01,27549167270.2709
2000-05-01,27754736516.5659
2000-06-01,27748206522.1814
2000-07-01,28248378976.667
2000-08-01,28366421182.8473
2000-09-01,28560311785.3393
2000-10-01,28235067834.2679
2000-11-01,28141010799.7689
2000-12-01,28192999601.2143
2001-01-01,28551772561.9135
2001-02-01,28263573771.2923
2001-03-01,28369309449.5943
2001-04-01,28612300586.7847
2001-05-01,28621593271.1011
2001-06-01,28513094902.8672
2001-07-01,28542479877.5972
2001-08-01,28655750164.8043
2001-09-01,28051725684.2431
2001-10-01,28715147998.3398
2001-11-01,29487570987.9306
2001-12-01,29945424055.7323
2002-01-01,30375524647.4002
2002-02-01,30027425715.9832
2002-03-01,29887909874.4232
2002-04-01,30003440544.3018
2002-05-01,29770746705.9484
2002-06-01,30232994962.2781
2002-07-01,30063717415.5429
2002-08-01,30112817950.2413
2002-09-01,29969283650.5986
2002-10-01,30285234917.3537
2002-11-01,30046890122.3214
2002-12-01,30239776110.2927
2003-01-01,30394110016.0328
2003-02-01,30793193134.3745
2003-03-01,30579210241.4688
2003-04-01,30538272199.751
2003-05-01,30815671384.2748
2003-06-01,30952298959.0878
2003-07-01,31174318768.159
2003-08-01,31108139786.6089
2003-09-01,30801481204.1702
2003-10-01,30878083061.3723
2003-11-01,30796960438.8271
2003-12-01,30447982469.7045
2004-01-01,3.086e+10
2004-02-01,3.1544e+10
2004-03-01,3.1505e+10
2004-04-01,3.1036e+10
2004-05-01,3.1025e+10
2004-06-01,3.1027e+10
2004-07-01,3.1137e+10
2004-08-01,3.143e+10
2004-09-01,3.1829e+10
2004-10-01,3.1908e+10
2004-11-01,3.2147e+10
2004-12-01,3.1835e+10
2005-01-01,3.2464e+10
2005-02-01,3.2878e+10
2005-03-01,3.2332e+10
2005-04-01,3.2146e+10
2005-05-01,3.2256e+10
2005-06-01,3.2813e+10
2005-07-01,3.2981e+10
2005-08-01,3.2494e+10
2005-09-01,3.208e+10
2005-10-01,3.2596e+10
2005-11-01,3.2893e+10
2005-12-01,3.3046e+10
2006-01-01,3.3408e+10
2006-02-01,3.3694e+10
2006-03-01,3.3764e+10
2006-04-01,3.4035e+10
2006-05-01,3.3828e+10
2006-06-01,3.4091e+10
2006-07-01,3.4484e+10
2006-08-01,3.4335e+10
2006-09-01,3.428e+10
2006-10-01,3.4336e+10
2006-11-01,3.4529e+10
2006-12-01,3.51e+10
2007-01-01,3.4954e+10
2007-02-01,3.4945e+10
2007-03-01,3.5094e+10
2007-04-01,3.5562e+10
2007-05-01,3.585e+10
2007-06-01,3.5685e+10
2007-07-01,3.571e+10
2007-08-01,3.6213e+10
2007-09-01,3.5723e+10
2007-10-01,3.5803e+10
2007-11-01,3.6378e+10
2007-12-01,3.697e+10
2008-01-01,3.7192e+10
2008-02-01,3.6875e+10
2008-03-01,3.6959e+10
2008-04-01,3.7175e+10
2008-05-01,3.7084e+10
2008-06-01,3.7077e+10
2008-07-01,3.6946e+10
2008-08-01,3.6838e+10
2008-09-01,3.7006e+10
2008-10-01,3.6887e+10
2008-11-01,3.6042e+10
2008-12-01,3.4993e+10
2009-01-01,3.5661e+10
2009-02-01,3.55e+10
2009-03-01,3.5617e+10
2009-04-01,3.5864e+10
2009-05-01,3.5995e+10
2009-06-01,3.6033e+10
2009-07-01,3.6126e+10
2009-08-01,3.6267e+10
2009-09-01,3.6761e+10
2009-10-01,3.6788e+10
2009-11-01,3.6037e+10
2009-12-01,3.6692e+10
2010-01-01,3.7076e+10
2010-02-01,3.7117e+10
2010-03-01,3.8013e+10
2010-04-01,3.7561e+10
2010-05-01,3.7325e+10
2010-06-01,3.777e+10
2010-07-01,3.7823e+10
2010-08-01,3.7834e+10
2010-09-01,3.7966e+10
2010-10-01,3.7854e+10
2010-11-01,3.8447e+10
2010-12-01,3.8162e+10
2011-01-01,3.7932e+10
2011-02-01,3.813e+10
2011-03-01,3.7987e+10
2011-04-01,3.8168e+10
2011-05-01,3.7878e+10
2011-06-01,3.8719e+10
2011-07-01,3.8335e+10
2011-08-01,3.8317e+10
2011-09-01,3.8359e+10
2011-10-01,3.8594e+10
2011-11-01,3.8663e+10
2011-12-01,3.9357e+10
2012-01-01,3.8984e+10
2012-02-01,3.8874e+10
2012-03-01,3.9175e+10
2012-04-01,3.8577e+10
2012-05-01,3.8831e+10
2012-06-01,3.9107e+10
2012-07-01,3.9125e+10
2012-08-01,3.8938e+10
2012-09-01,3.892e+10
2012-10-01,3.8973e+10
2012-11-01,3.9164e+10
2012-12-01,3.9133e+10
2013-01-01,3.959e+10
2013-02-01,3.9289e+10
2013-03-01,3.9646e+10
2013-04-01,3.9779e+10
2013-05-01,4.0517e+10
2013-06-01,4.008e+10
2013-07-01,4.0458e+10
2013-08-01,4.0763e+10
2013-09-01,4.0594e+10
2013-10-01,4.0887e+10
2013-11-01,4.0975e+10
2013-12-01,4.0798e+10
2014-01-01,4.1206e+10
2014-02-01,4.1207e+10
2014-03-01,4.1147e+10
2014-04-01,4.1611e+10
2014-05-01,4.1709e+10
2014-06-01,4.2021e+10
2014-07-01,4.231e+10
2014-08-01,4.2234e+10
2014-09-01,4.2481e+10
2014-10-01,4.2466e+10
2014-11-01,4.2513e+10
2014-12-01,4.285e+10
2015-01-01,4.1859e+10
2015-02-01,4.2309e+10
2015-03-01,4.2486e+10
2015-04-01,4.2627e+10
2015-05-01,4.2595e+10
2015-06-01,4.2709e+10
2015-07-01,4.2956e+10
2015-08-01,4.3214e+10
2015-09-01,4.3556e+10
2015-10-01,4.3298e+10
2015-11-01,4.3528e+10
2015-12-01,4.3478e+10
2016-01-01,4.4166e+10
2016-02-01,4.4702e+10
2016-03-01,4.4123e+10
2016-04-01,4.4326e+10
2016-05-01,4.3926e+10
2016-06-01,4.4122e+10
2016-07-01,4.4265e+10
2016-08-01,4.4349e+10
